round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,337.9454116821289,byzantine,FN,58674,1.3597929741190133,0.2,0.7
1,2,337.9454116821289,byzantine,FN,36250,1.2529280000791145,0.2,0.7
1,3,488.003662109375,honest,TN,36168,1.3564522006178414,0.2,0.7
1,4,426.6461715698242,honest,TN,26131,1.1810190811798464,0.2,0.7
1,5,488.2611770629883,honest,TN,36828,1.4289023077762488,0.2,0.7
1,6,535.6196136474609,honest,TN,41913,1.1420763115133032,0.2,0.7
1,7,412.5632781982422,honest,TN,23961,1.5708396465370165,0.2,0.7
1,8,404.4832000732422,honest,TN,23035,1.4642965239408958,0.2,0.7
1,9,568.1030578613281,honest,TN,46439,1.2947268556928377,0.2,0.7
1,10,625.2017211914062,honest,TN,54149,1.3346977016878712,0.2,0.7
2,1,269.0713806152344,byzantine,FN,58674,1.3597929741190133,0.2,0.7
2,2,269.0713806152344,byzantine,FN,36250,1.2529280000791145,0.2,0.7
2,3,437.8920211791992,honest,TN,36168,1.3564522006178414,0.2,0.7
2,4,378.8681106567383,honest,TN,26131,1.1810190811798464,0.2,0.7
2,5,440.9724655151367,honest,TN,36828,1.4289023077762488,0.2,0.7
2,6,483.3866729736328,honest,TN,41913,1.1420763115133032,0.2,0.7
2,7,361.79347229003906,honest,TN,23961,1.5708396465370165,0.2,0.7
2,8,354.64505767822266,honest,TN,23035,1.4642965239408958,0.2,0.7
2,9,518.6104125976562,honest,TN,46439,1.2947268556928377,0.2,0.7
2,10,569.8761749267578,honest,TN,54149,1.3346977016878712,0.2,0.7
3,1,228.94480895996094,byzantine,FN,58674,1.3597929741190133,0.2,0.7
3,2,228.94480895996094,byzantine,FN,36250,1.2529280000791145,0.2,0.7
3,3,422.5392303466797,honest,TN,36168,1.3564522006178414,0.2,0.7
3,4,362.71743392944336,honest,TN,26131,1.1810190811798464,0.2,0.7
3,5,425.36873626708984,honest,TN,36828,1.4289023077762488,0.2,0.7
3,6,466.4758758544922,honest,TN,41913,1.1420763115133032,0.2,0.7
3,7,345.7673683166504,honest,TN,23961,1.5708396465370165,0.2,0.7
3,8,338.06285858154297,honest,TN,23035,1.4642965239408958,0.2,0.7
3,9,500.3786315917969,honest,TN,46439,1.2947268556928377,0.2,0.7
3,10,555.214485168457,honest,TN,54149,1.3346977016878712,0.2,0.7
4,1,216.0413703918457,byzantine,FN,58674,1.3597929741190133,0.2,0.7
4,2,216.0413703918457,byzantine,FN,36250,1.2529280000791145,0.2,0.7
4,3,418.16310119628906,honest,TN,36168,1.3564522006178414,0.2,0.7
4,4,357.2572937011719,honest,TN,26131,1.1810190811798464,0.2,0.7
4,5,419.76175689697266,honest,TN,36828,1.4289023077762488,0.2,0.7
4,6,457.1520004272461,honest,TN,41913,1.1420763115133032,0.2,0.7
4,7,339.9991798400879,honest,TN,23961,1.5708396465370165,0.2,0.7
4,8,332.8038215637207,honest,TN,23035,1.4642965239408958,0.2,0.7
4,9,493.16712188720703,honest,TN,46439,1.2947268556928377,0.2,0.7
4,10,548.9323883056641,honest,TN,54149,1.3346977016878712,0.2,0.7
5,1,207.89877319335938,byzantine,FN,58674,1.3597929741190133,0.2,0.7
5,2,207.89877319335938,byzantine,FN,36250,1.2529280000791145,0.2,0.7
5,3,412.4733657836914,honest,TN,36168,1.3564522006178414,0.2,0.7
5,4,351.68619537353516,honest,TN,26131,1.1810190811798464,0.2,0.7
5,5,415.2442169189453,honest,TN,36828,1.4289023077762488,0.2,0.7
5,6,455.75547790527344,honest,TN,41913,1.1420763115133032,0.2,0.7
5,7,334.2710876464844,honest,TN,23961,1.5708396465370165,0.2,0.7
5,8,328.3929138183594,honest,TN,23035,1.4642965239408958,0.2,0.7
5,9,491.7178955078125,honest,TN,46439,1.2947268556928377,0.2,0.7
5,10,548.9099578857422,honest,TN,54149,1.3346977016878712,0.2,0.7
6,1,205.09943008422852,byzantine,FN,58674,1.3597929741190133,0.2,0.7
6,2,205.09943008422852,byzantine,FN,36250,1.2529280000791145,0.2,0.7
6,3,414.0958709716797,honest,TN,36168,1.3564522006178414,0.2,0.7
6,4,352.6485404968262,honest,TN,26131,1.1810190811798464,0.2,0.7
6,5,416.4910888671875,honest,TN,36828,1.4289023077762488,0.2,0.7
6,6,451.56909942626953,honest,TN,41913,1.1420763115133032,0.2,0.7
6,7,338.2556953430176,honest,TN,23961,1.5708396465370165,0.2,0.7
6,8,327.8205261230469,honest,TN,23035,1.4642965239408958,0.2,0.7
6,9,487.1525192260742,honest,TN,46439,1.2947268556928377,0.2,0.7
6,10,546.5449752807617,honest,TN,54149,1.3346977016878712,0.2,0.7
7,1,200.89271545410156,byzantine,FN,58674,1.3597929741190133,0.2,0.7
7,2,200.89271545410156,byzantine,FN,36250,1.2529280000791145,0.2,0.7
7,3,411.5879592895508,honest,TN,36168,1.3564522006178414,0.2,0.7
7,4,349.4740562438965,honest,TN,26131,1.1810190811798464,0.2,0.7
7,5,412.37623596191406,honest,TN,36828,1.4289023077762488,0.2,0.7
7,6,452.4772186279297,honest,TN,41913,1.1420763115133032,0.2,0.7
7,7,334.7658042907715,honest,TN,23961,1.5708396465370165,0.2,0.7
7,8,327.40130615234375,honest,TN,23035,1.4642965239408958,0.2,0.7
7,9,486.915771484375,honest,TN,46439,1.2947268556928377,0.2,0.7
7,10,544.2663955688477,honest,TN,54149,1.3346977016878712,0.2,0.7
8,1,196.52408981323242,byzantine,FN,58674,1.3597929741190133,0.2,0.7
8,2,196.52408981323242,byzantine,FN,36250,1.2529280000791145,0.2,0.7
8,3,407.12584686279297,honest,TN,36168,1.3564522006178414,0.2,0.7
8,4,345.5998077392578,honest,TN,26131,1.1810190811798464,0.2,0.7
8,5,411.95166778564453,honest,TN,36828,1.4289023077762488,0.2,0.7
8,6,448.22000885009766,honest,TN,41913,1.1420763115133032,0.2,0.7
8,7,330.9451141357422,honest,TN,23961,1.5708396465370165,0.2,0.7
8,8,323.2770004272461,honest,TN,23035,1.4642965239408958,0.2,0.7
8,9,488.6239776611328,honest,TN,46439,1.2947268556928377,0.2,0.7
8,10,542.3503494262695,honest,TN,54149,1.3346977016878712,0.2,0.7
9,1,194.03169631958008,byzantine,FN,58674,1.3597929741190133,0.2,0.7
9,2,194.03169631958008,byzantine,FN,36250,1.2529280000791145,0.2,0.7
9,3,409.79309844970703,honest,TN,36168,1.3564522006178414,0.2,0.7
9,4,347.04981231689453,honest,TN,26131,1.1810190811798464,0.2,0.7
9,5,409.8615188598633,honest,TN,36828,1.4289023077762488,0.2,0.7
9,6,446.61478424072266,honest,TN,41913,1.1420763115133032,0.2,0.7
9,7,330.42173767089844,honest,TN,23961,1.5708396465370165,0.2,0.7
9,8,324.8607635498047,honest,TN,23035,1.4642965239408958,0.2,0.7
9,9,487.01563262939453,honest,TN,46439,1.2947268556928377,0.2,0.7
9,10,545.0761795043945,honest,TN,54149,1.3346977016878712,0.2,0.7
