round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,340.69477462768555,byzantine,FN,58674,1.3597929741190133,10.0,0.7
1,2,340.69477462768555,byzantine,FN,36250,1.2529280000791145,10.0,0.7
1,3,525.9436798095703,honest,TN,36168,1.3564522006178414,10.0,0.7
1,4,458.5939025878906,honest,TN,26131,1.1810190811798464,10.0,0.7
1,5,537.7975463867188,honest,TN,36828,1.4289023077762488,10.0,0.7
1,6,575.0136489868164,honest,TN,41913,1.1420763115133032,10.0,0.7
1,7,441.03260040283203,honest,TN,23961,1.5708396465370165,10.0,0.7
1,8,433.37213134765625,honest,TN,23035,1.4642965239408958,10.0,0.7
1,9,608.2289810180664,honest,TN,46439,1.2947268556928377,10.0,0.7
1,10,668.1104354858398,honest,TN,54149,1.3346977016878712,10.0,0.7
2,1,240.22839736938477,byzantine,FN,58674,1.3597929741190133,10.0,0.7
2,2,240.22839736938477,byzantine,FN,36250,1.2529280000791145,10.0,0.7
2,3,438.2377624511719,honest,TN,36168,1.3564522006178414,10.0,0.7
2,4,374.1639823913574,honest,TN,26131,1.1810190811798464,10.0,0.7
2,5,445.0022201538086,honest,TN,36828,1.4289023077762488,10.0,0.7
2,6,480.8927764892578,honest,TN,41913,1.1420763115133032,10.0,0.7
2,7,356.56985092163086,honest,TN,23961,1.5708396465370165,10.0,0.7
2,8,352.5634002685547,honest,TN,23035,1.4642965239408958,10.0,0.7
2,9,517.3688659667969,honest,TN,46439,1.2947268556928377,10.0,0.7
2,10,568.8029098510742,honest,TN,54149,1.3346977016878712,10.0,0.7
3,1,211.92082595825195,byzantine,FN,58674,1.3597929741190133,10.0,0.7
3,2,211.92082595825195,byzantine,FN,36250,1.2529280000791145,10.0,0.7
3,3,416.3135757446289,honest,TN,36168,1.3564522006178414,10.0,0.7
3,4,354.2168502807617,honest,TN,26131,1.1810190811798464,10.0,0.7
3,5,416.94115447998047,honest,TN,36828,1.4289023077762488,10.0,0.7
3,6,459.05078887939453,honest,TN,41913,1.1420763115133032,10.0,0.7
3,7,337.07934951782227,honest,TN,23961,1.5708396465370165,10.0,0.7
