round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.758951,0.258436,0.410725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.457805,0.606008,0.755026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.129766,0.012690,0.025148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.374525,0.549242,0.709520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.049754,0.019301,0.037926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.010051,0.078145,0.145020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.712444,0.384904,0.556460,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.934504,0.191406,0.321628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.912400,0.149225,0.259740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.695002,0.350673,0.519704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.803520,0.260003,0.374090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,10,0.0000,2.1384,232.36,10.00,N/A,0.9890,3.4069e+02,5.3101e+02,0.6416,0
2,1,0.778289,0.733129,0.714085,0.941176,0.998558,0.000000,0.372854,0.068027,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.035756,0.655164,0.854110,0.947368,0.959872,0.000000,0.147314,0.044053,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.891333,0.733018,0.208617,0.979044,0.984774,0.000000,0.119159,0.079260,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.912753,0.681474,0.788131,0.974359,0.872928,0.000000,0.414684,0.038217,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.807684,0.770340,0.252189,0.975819,0.956594,0.000000,0.262577,0.054176,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.483946,0.309575,0.175487,0.978858,0.827195,0.000000,0.256545,0.055556,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.819523,0.814495,0.842012,0.971751,0.967528,0.000000,0.295567,0.061856,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.379228,0.406641,0.707137,0.975439,0.967306,0.000000,0.001671,0.064062,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.620467,0.895736,0.762621,0.980606,0.971248,0.000000,0.449640,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.805725,0.821506,0.835443,0.973767,0.774648,0.000000,0.306433,0.068966,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.953470,0.682108,0.613983,0.969819,0.928065,0.000000,0.262644,0.053417,0.000000,0.000000,0,10,0.0000,2.7603,230.94,10.00,N/A,0.9890,2.4023e+02,4.4170e+02,0.5439,0
3,1,0.475481,0.869325,0.884439,0.200000,0.988128,0.000000,0.675844,0.775258,0.617100,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.585325,0.866931,0.940221,0.681818,0.989865,0.000000,0.376543,0.916608,0.611236,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.431422,0.908435,0.419048,0.968270,0.988627,0.000000,0.432432,0.966079,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.684783,0.788912,0.892175,0.943700,0.962025,0.000000,0.629550,0.517361,0.153846,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.392389,0.913511,0.561265,0.986743,0.985469,0.000000,0.574830,0.915767,0.604167,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.888040,0.612495,0.639692,0.982600,0.955326,0.000000,0.094933,0.429530,0.619878,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.544679,0.878333,0.926234,0.949260,0.986188,0.000000,0.505643,0.756522,0.604167,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.484207,0.899219,0.897253,0.921136,0.996491,0.000000,0.058824,0.990377,0.510417,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.365028,0.924806,0.898551,0.989998,0.985925,0.000000,0.548148,0.000000,0.485549,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.508084,0.893967,0.923769,0.993126,0.967626,0.000000,0.468134,0.676790,0.530806,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
