round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,0.14455880535987164,byzantine,FN,58674,1.3597929741190133,0.5,0.7
1,2,0.12615711320758088,byzantine,FN,36250,1.2529280000791145,0.5,0.7
1,3,0.19275737672480883,honest,TN,36168,1.3564522006178414,0.5,0.7
1,4,0.1343563209958768,honest,TN,26131,1.1810190811798464,0.5,0.7
1,5,0.1938996514593079,honest,TN,36828,1.4289023077762488,0.5,0.7
1,6,0.23110841208455285,honest,TN,41913,1.1420763115133032,0.5,0.7
1,7,0.1180271534819134,honest,TN,23961,1.5708396465370165,0.5,0.7
1,8,0.11065285750816986,honest,TN,23035,1.4642965239408958,0.5,0.7
1,9,0.26148606925498946,honest,TN,46439,1.2947268556928377,0.5,0.7
1,10,0.3057340693259188,honest,TN,54149,1.3346977016878712,0.5,0.7
2,1,0.11167309508886661,byzantine,FN,58674,1.3597929741190133,0.5,0.7
2,2,0.09738022078129878,byzantine,FN,36250,1.2529280000791145,0.5,0.7
2,3,0.1692628562268101,honest,TN,36168,1.3564522006178414,0.5,0.7
2,4,0.11705878952020551,honest,TN,26131,1.1810190811798464,0.5,0.7
2,5,0.17085782370345748,honest,TN,36828,1.4289023077762488,0.5,0.7
2,6,0.20418780860849733,honest,TN,41913,1.1420763115133032,0.5,0.7
2,7,0.10167334104145558,honest,TN,23961,1.5708396465370165,0.5,0.7
2,8,0.09531119210881475,honest,TN,23035,1.4642965239408958,0.5,0.7
2,9,0.2334673949664138,honest,TN,46439,1.2947268556928377,0.5,0.7
2,10,0.2747162303304379,honest,TN,54149,1.3346977016878712,0.5,0.7
3,1,0.09567268725915412,byzantine,FN,58674,1.3597929741190133,0.5,0.7
3,2,0.08371958820343539,byzantine,FN,36250,1.2529280000791145,0.5,0.7
3,3,0.1587819928727543,honest,TN,36168,1.3564522006178414,0.5,0.7
3,4,0.10982365384268762,honest,TN,26131,1.1810190811798464,0.5,0.7
3,5,0.16036842072793583,honest,TN,36828,1.4289023077762488,0.5,0.7
3,6,0.19049597752696698,honest,TN,41913,1.1420763115133032,0.5,0.7
3,7,0.09586132358352262,honest,TN,23961,1.5708396465370165,0.5,0.7
3,8,0.08941761736926748,honest,TN,23035,1.4642965239408958,0.5,0.7
3,9,0.21792031027473838,honest,TN,46439,1.2947268556928377,0.5,0.7
3,10,0.2576115385707058,honest,TN,54149,1.3346977016878712,0.5,0.7
4,1,0.08739028081534508,byzantine,FN,58674,1.3597929741190133,0.5,0.7
4,2,0.07677017901810379,byzantine,FN,36250,1.2529280000791145,0.5,0.7
4,3,0.15213141435893318,honest,TN,36168,1.3564522006178414,0.5,0.7
4,4,0.10524224292734016,honest,TN,26131,1.1810190811798464,0.5,0.7
4,5,0.15311672536792126,honest,TN,36828,1.4289023077762488,0.5,0.7
4,6,0.18013384511546457,honest,TN,41913,1.1420763115133032,0.5,0.7
4,7,0.09181927072377824,honest,TN,23961,1.5708396465370165,0.5,0.7
4,8,0.08596649293569762,honest,TN,23035,1.4642965239408958,0.5,0.7
4,9,0.2065714559865584,honest,TN,46439,1.2947268556928377,0.5,0.7
4,10,0.24494294261154267,honest,TN,54149,1.3346977016878712,0.5,0.7
5,1,0.08417019302542747,byzantine,FN,58674,1.3597929741190133,0.5,0.7
5,2,0.07407018910948618,byzantine,FN,36250,1.2529280000791145,0.5,0.7
5,3,0.14820546299260492,honest,TN,36168,1.3564522006178414,0.5,0.7
5,4,0.10270082456640738,honest,TN,26131,1.1810190811798464,0.5,0.7
5,5,0.14982193536515284,honest,TN,36828,1.4289023077762488,0.5,0.7
5,6,0.17757503286651577,honest,TN,41913,1.1420763115133032,0.5,0.7
5,7,0.08970551184409671,honest,TN,23961,1.5708396465370165,0.5,0.7
5,8,0.08432649434323344,honest,TN,23035,1.4642965239408958,0.5,0.7
5,9,0.20288708171452893,honest,TN,46439,1.2947268556928377,0.5,0.7
5,10,0.24086202000234766,honest,TN,54149,1.3346977016878712,0.5,0.7
6,1,0.0823877401740996,byzantine,FN,58674,1.3597929741190133,0.5,0.7
6,2,0.0725950019893645,byzantine,FN,36250,1.2529280000791145,0.5,0.7
6,3,0.1473720079689498,honest,TN,36168,1.3564522006178414,0.5,0.7
6,4,0.10228433482852581,honest,TN,26131,1.1810190811798464,0.5,0.7
6,5,0.14881225303211637,honest,TN,36828,1.4289023077762488,0.5,0.7
6,6,0.17378228565800752,honest,TN,41913,1.1420763115133032,0.5,0.7
6,7,0.09015914440627582,honest,TN,23961,1.5708396465370165,0.5,0.7
