round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.811999,0.478221,0.337432,0.003523,0.998018,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.857881,0.204071,0.341678,0.011187,0.946203,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.797692,0.607614,0.237288,0.405808,0.895579,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.870922,0.167011,0.323899,0.074730,0.619608,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.784180,0.536526,0.319149,0.523918,0.721435,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.095440,0.160799,0.346847,0.213042,0.387782,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.805840,0.452497,0.356404,0.260373,0.864417,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.894300,0.235547,0.339434,0.069565,0.899371,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.743398,0.586628,0.335135,0.556435,0.753310,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.797048,0.367791,0.330043,0.445487,0.304372,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.845870,0.379670,0.326731,0.256407,0.739009,0.000000,0.000000,0.000000,0.000000,0.000000,0,10,0.0000,0.1239,231.28,0.50,N/A,10.6836,1.3536e-01,1.9350e-01,0.6995,0
2,1,1.317148,0.656902,0.630110,0.007030,0.994079,0.000000,0.181106,0.129353,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.458267,0.560328,0.766329,0.012632,0.914373,0.000000,0.053079,0.117816,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.402884,0.521274,0.148893,0.139303,0.812088,0.000000,0.066667,0.118734,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.425115,0.491047,0.712434,0.059468,0.464706,0.000000,0.172218,0.160494,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.379739,0.346689,0.206219,0.113521,0.561214,0.000000,0.148627,0.175966,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.743385,0.112280,0.157366,0.128315,0.243740,0.000000,0.099071,0.222222,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.360059,0.604957,0.766917,0.117293,0.768826,0.000000,0.111421,0.129032,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.632897,0.350000,0.561376,0.029056,0.837073,0.000000,0.002457,0.151085,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.276412,0.460271,0.695701,0.132485,0.587763,0.000000,0.182903,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.392930,0.358983,0.746095,0.135503,0.177706,0.000000,0.117647,0.131737,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.438883,0.446273,0.539144,0.087461,0.636157,0.000000,0.113519,0.133644,0.000000,0.000000,0,10,0.0000,0.1450,228.64,0.50,N/A,10.6836,1.0453e-01,1.7082e-01,0.6119,0
3,1,0.895526,0.804294,0.709215,0.000000,0.995508,0.000000,0.664242,0.798768,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,1.160429,0.578699,0.722818,0.000000,0.908815,0.000000,0.194175,0.804328,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.974913,0.632993,0.329268,0.005982,0.795995,0.000000,0.378812,0.809287,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.135219,0.607782,0.695286,0.005128,0.446328,0.000000,0.625698,0.800000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
