round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.670041,0.257669,0.412523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.524627,0.603774,0.755045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.943236,0.012690,0.025506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.434835,0.547176,0.709375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.876364,0.019057,0.037745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.012571,0.077501,0.144458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.650899,0.383778,0.560153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.903635,0.190234,0.322517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.751757,0.149225,0.261105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.641420,0.349344,0.519461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.740938,0.259045,0.374789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,10,0.0000,0.9321,242.46,5.00,N/A,1.4960,5.1551e-01,7.8922e-01,0.6532,0
2,1,0.835302,0.725767,0.710806,0.941176,0.998558,0.000000,0.313849,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.076747,0.673535,0.862300,0.928571,0.959872,0.000000,0.145194,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.988512,0.712864,0.186312,0.953168,0.977960,0.000000,0.104878,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.966744,0.680096,0.792663,0.940828,0.840426,0.000000,0.371601,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.884138,0.742976,0.224924,0.952172,0.935510,0.000000,0.231169,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.314473,0.301632,0.178060,0.955111,0.770449,0.000000,0.293040,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.875154,0.811866,0.846715,0.943089,0.959264,0.000000,0.236686,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.474493,0.396484,0.665691,0.942029,0.961883,0.000000,0.001828,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.685488,0.880039,0.755556,0.963439,0.955846,0.000000,0.389764,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.871595,0.810204,0.839849,0.952309,0.701531,0.000000,0.265560,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.997264,0.673546,0.606288,0.947189,0.906130,0.000000,0.235357,0.000000,0.000000,0.000000,0,10,0.0000,1.2943,227.90,5.00,N/A,1.4960,3.6830e-01,6.6641e-01,0.5527,0
3,1,0.473373,0.909969,0.895249,0.367347,0.995649,0.000000,0.785403,0.919099,0.565891,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.667754,0.876117,0.943647,0.707317,0.996656,0.000000,0.442708,0.972519,0.580645,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.459416,0.917392,0.480000,0.980188,0.994762,0.000000,0.503497,0.971910,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.686927,0.852617,0.901478,0.935484,0.950000,0.000000,0.757856,0.824859,0.200000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.427245,0.924261,0.605809,0.986890,0.986111,0.000000,0.666667,0.959908,0.574468,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.065169,0.591026,0.629278,0.982528,0.963455,0.000000,0.114121,0.756098,0.578015,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.556106,0.896357,0.940546,0.957265,0.992461,0.000000,0.579592,0.905028,0.574468,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
