round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
1,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,3,nan,0.0012,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,4,nan,0.0740,0.1379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,5,nan,0.0017,0.0034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,6,nan,0.0165,0.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,7,nan,0.0751,0.1397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,8,nan,0.0235,0.0458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,9,nan,0.0785,0.1455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,10,nan,0.0719,0.1341,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,MEAN,nan,0.0649,0.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,nan,0.0642,0.1207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,2,nan,0.2425,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
