round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.936100,0.000791,0.000000,0.000000,0.000000,0.000000,0.000000,0.001594,0.000000,0.000000,0,0,1,N/A,0.00
1,2,1.998871,0.067821,0.000000,0.000000,0.000000,0.000000,0.000000,0.127479,0.000000,0.000000,0,0,1,N/A,0.00
1,3,1.670522,0.397795,0.000000,0.000000,0.000000,0.000000,0.000000,0.572011,0.000000,0.000000,0,1,0,N/A,0.00
1,4,1.735418,0.395191,0.000000,0.000000,0.000000,0.000000,0.000000,0.567276,0.000000,0.000000,0,0,0,N/A,0.00
1,5,1.494886,0.171498,0.000000,0.000000,0.000000,0.000700,0.000000,0.292796,0.000000,0.000000,0,1,0,N/A,0.00
1,6,1.502613,0.479198,0.000000,0.000000,0.000000,0.000000,0.000000,0.648615,0.000000,0.000000,0,0,0,N/A,0.00
1,7,1.838405,0.337152,0.000000,0.000000,0.000000,0.000000,0.000000,0.508642,0.000000,0.000000,0,1,0,N/A,0.00
1,8,2.227970,0.036769,0.000000,0.000000,0.000000,0.000000,0.000000,0.071753,0.000000,0.000000,0,1,0,N/A,0.00
1,9,2.340717,0.003033,0.000000,0.000000,0.000000,0.000000,0.000000,0.006130,0.000000,0.000000,0,1,0,N/A,0.00
1,10,2.355576,0.025882,0.000000,0.000000,0.000000,0.000000,0.000000,0.050779,0.000000,0.000000,0,1,0,N/A,0.00
1,MEAN,1.910108,0.191513,0.000000,0.000000,0.000000,0.000070,0.000000,0.284708,0.000000,0.000000,0,1,1,15.0020,1334.91
2,1,2.042492,0.000791,0.000000,0.000000,0.000000,0.000000,0.000000,0.001599,0.000000,0.000000,0,0,1,N/A,0.00
2,2,2.128361,0.067821,0.000000,0.000000,0.000000,0.000000,0.000000,0.127878,0.000000,0.000000,0,0,1,N/A,0.00
2,3,1.593779,0.397795,0.000000,0.000000,0.000000,0.000000,0.000000,0.572789,0.000000,0.000000,0,1,0,N/A,0.00
2,4,1.695097,0.395349,0.000000,0.000000,0.000000,0.002169,0.000000,0.568244,0.000000,0.000000,0,0,0,N/A,0.00
2,5,1.277765,0.171769,0.000000,0.000000,0.000000,0.001398,0.000000,0.293135,0.000000,0.000000,0,1,0,N/A,0.00
2,6,1.290880,0.478970,0.000000,0.000000,0.000000,0.000573,0.000000,0.648352,0.000000,0.000000,0,0,0,N/A,0.00
2,7,1.876254,0.337425,0.000000,0.000000,0.000000,0.004751,0.000000,0.511272,0.000000,0.000000,0,1,0,N/A,0.00
2,8,2.619256,0.036769,0.000000,0.000000,0.000000,0.000000,0.000000,0.072008,0.000000,0.000000,0,1,0,N/A,0.00
