round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.806713,0.610193,0.000000,0.123077,0.000000,0.000000,0.863331,0.715928,0.000000,0.185782,0,0,1,N/A,0.00
1,2,2.022356,0.336429,0.000000,0.088889,0.000000,0.000000,0.850746,0.415071,0.000000,0.444533,0,0,1,N/A,0.00
1,3,2.249018,0.372078,0.000000,0.186520,0.000000,0.000000,0.854978,0.421366,0.000000,0.523265,0,0,0,N/A,0.00
1,4,1.446891,0.566275,0.000000,0.174187,0.000000,0.000000,0.856644,0.027107,0.000000,0.746015,0,1,0,N/A,0.00
1,5,2.387213,0.364232,0.000000,0.169257,0.000000,0.000000,0.848314,0.330430,0.000000,0.054485,0,0,0,N/A,0.00
1,6,1.875674,0.416320,0.000000,0.190576,0.000000,0.000000,0.843915,0.169167,0.000000,0.493687,0,1,0,N/A,0.00
1,7,2.039285,0.486133,0.000000,0.141243,0.000000,0.000000,0.881356,0.703492,0.000000,0.395792,0,1,0,N/A,0.00
1,8,1.798100,0.468645,0.000000,0.170883,0.000000,0.000000,0.861674,0.577164,0.000000,0.334928,0,1,0,N/A,0.00
1,9,2.633048,0.248932,0.000000,0.000000,0.000000,0.000000,0.903226,0.110951,0.000000,0.617490,0,1,0,N/A,0.00
1,10,1.489452,0.658727,0.000000,0.157943,0.000000,0.000000,0.858467,0.836482,0.000000,0.292557,0,1,0,N/A,0.00
1,MEAN,1.974775,0.452796,0.000000,0.140258,0.000000,0.000000,0.862265,0.430716,0.000000,0.408853,0,6,1.0000,14.9942,2722.90
2,1,1.266719,0.547016,0.248011,0.050339,0.910876,0.178249,0.994721,0.539152,0.002384,0.116174,0,0,1,N/A,0.00
2,2,0.869557,0.674124,0.484848,0.296564,0.798680,0.923201,0.995652,0.545082,0.000000,0.588734,0,0,1,N/A,0.00
2,3,0.761278,0.728959,0.022845,0.516427,0.990985,0.507213,0.992778,0.545455,0.002778,0.472562,0,0,0,N/A,0.00
2,4,0.402956,0.854502,0.485320,0.490427,0.786164,0.887332,0.995537,0.375000,0.012821,0.861923,0,1,0,N/A,0.00
2,5,0.397926,0.892916,0.034321,0.302135,0.994536,0.986287,0.993383,0.560965,0.000000,0.087336,0,0,0,N/A,0.00
