round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.858931,0.668409,0.795874,0.187919,0.086957,0.000000,0.000000,0.142012,0.121417,0.000000,0,0,1,N/A,0.00
1,2,1.829256,0.787570,0.880104,0.109422,0.000000,0.000000,0.000000,0.166667,0.126649,0.000000,0,0,1,N/A,0.00
1,3,2.061713,0.065987,0.055738,0.163580,0.096573,0.000000,0.000000,0.218263,0.200000,0.000000,0,1,0,N/A,0.00
1,4,1.855105,0.596864,0.738536,0.168847,0.104628,0.000000,0.000000,0.124224,0.152284,0.000000,0,1,0,N/A,0.00
1,5,1.963396,0.083535,0.061190,0.049587,0.098300,0.000000,0.000000,0.143807,0.092157,0.000000,0,1,0,N/A,0.00
1,6,2.009627,0.143034,0.179831,0.148964,0.035088,0.000000,0.000000,0.150000,0.124234,0.000000,0,1,0,N/A,0.00
1,7,1.854810,0.691211,0.814580,0.195804,0.084416,0.000000,0.000000,0.160000,0.104869,0.000000,0,1,0,N/A,0.00
1,8,1.941182,0.260984,0.367396,0.161391,0.118919,0.000000,0.000000,0.119760,0.103666,0.000000,0,1,0,N/A,0.00
1,9,1.930629,0.295248,0.413203,0.167324,0.091725,0.000000,0.000000,0.133333,0.123321,0.000000,0,1,0,N/A,0.00
1,10,1.865662,0.684431,0.809586,0.165631,0.100840,0.000000,0.000000,0.145695,0.180791,0.000000,0,1,0,N/A,0.00
1,MEAN,1.917031,0.427727,0.511604,0.151847,0.081744,0.000000,0.000000,0.150376,0.132939,0.000000,0,8,1.0000,N/A,383.43
2,1,1.625989,0.668409,0.795874,0.187919,0.086957,0.000000,0.000000,0.142012,0.121417,0.000000,0,0,1,N/A,0.00
2,2,1.549139,0.787570,0.880104,0.109422,0.000000,0.000000,0.000000,0.166667,0.126649,0.000000,0,0,1,N/A,0.00
2,3,2.011659,0.065987,0.055738,0.163580,0.096573,0.000000,0.000000,0.218263,0.200000,0.000000,0,1,0,N/A,0.00
2,4,1.624649,0.596864,0.738536,0.168847,0.104628,0.000000,0.000000,0.124224,0.152284,0.000000,0,1,0,N/A,0.00
2,5,1.893708,0.083535,0.061190,0.049587,0.098300,0.000000,0.000000,0.143807,0.092157,0.000000,0,1,0,N/A,0.00
2,6,2.052051,0.143034,0.179831,0.148964,0.035088,0.000000,0.000000,0.150000,0.124234,0.000000,0,1,0,N/A,0.00
2,7,1.663345,0.691211,0.814580,0.195804,0.084416,0.000000,0.000000,0.160000,0.104869,0.000000,0,1,0,N/A,0.00
2,8,1.858523,0.260984,0.367396,0.161391,0.118919,0.000000,0.000000,0.119760,0.103666,0.000000,0,1,0,N/A,0.00
2,9,1.806366,0.295248,0.413203,0.167324,0.091725,0.000000,0.000000,0.133333,0.123321,0.000000,0,1,0,N/A,0.00
2,10,1.669687,0.684431,0.809586,0.165631,0.100840,0.000000,0.000000,0.145695,0.180791,0.000000,0,1,0,N/A,0.00
2,MEAN,1.775512,0.427727,0.511604,0.151847,0.081744,0.000000,0.000000,0.150376,0.132939,0.000000,0,8,1.0000,N/A,358.73
3,1,1.512299,0.445811,0.682444,0.187919,0.020852,0.000000,0.312388,0.255556,0.121417,0.000000,0,0,1,N/A,0.00
3,2,1.472098,0.500255,0.701284,0.109422,0.009103,0.000000,0.261569,0.240000,0.126649,0.000000,0,0,1,N/A,0.00
3,3,1.848679,0.157586,0.049498,0.163580,0.353184,0.000000,0.347475,0.308668,0.200000,0.000000,0,1,0,N/A,0.00
3,4,1.521523,0.440485,0.660288,0.168847,0.134121,0.000000,0.421136,0.264368,0.152284,0.000000,0,1,0,N/A,0.00
3,5,1.778681,0.257429,0.059325,0.049587,0.424570,0.000000,0.020942,0.275126,0.092157,0.000000,0,1,0,N/A,0.00
