round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.770290,0.539967,0.184370,0.957041,0.777778,0.000000,0.459190,0.798290,0.000000,0.000000,0,0,1,N/A,0.00
1,2,1.751004,0.410279,0.186852,0.757436,0.794723,0.000000,0.154296,0.522264,0.000000,0.000000,0,0,1,N/A,0.00
1,3,1.684402,0.825821,0.172662,0.960571,0.760148,0.000000,0.886455,0.207254,0.000000,0.000000,0,1,0,N/A,0.00
1,4,1.708077,0.533333,0.173556,0.677100,0.788403,0.000000,0.040898,0.803403,0.000000,0.000000,0,0,0,N/A,0.00
1,5,1.775216,0.719923,0.175115,0.759459,0.773832,0.000000,0.694932,0.846948,0.000000,0.000000,0,1,0,N/A,0.00
1,6,1.623193,0.669765,0.195459,0.975925,0.781395,0.000000,0.078247,0.277228,0.000000,0.000000,0,1,0,N/A,0.00
1,7,1.789818,0.295327,0.170092,0.768194,0.822602,0.000000,0.083333,0.733972,0.000000,0.000000,0,1,0,N/A,0.00
1,8,1.641976,0.677306,0.180875,0.976559,0.797410,0.000000,0.289906,0.800921,0.000000,0.000000,0,1,0,N/A,0.00
1,9,1.631241,0.715149,0.160317,0.946196,0.786174,0.000000,0.205301,0.663462,0.000000,0.000000,0,1,0,N/A,0.00
1,10,1.731036,0.401884,0.179976,0.441782,0.786085,0.000000,0.055808,0.458982,0.000000,0.000000,0,0,0,N/A,0.00
1,MEAN,1.710625,0.578875,0.177927,0.822026,0.786855,0.000000,0.294837,0.611272,0.000000,0.000000,0,6,1.0000,N/A,233.13
2,1,0.981304,0.650034,0.614507,0.977472,0.992424,0.077821,0.381259,0.977096,0.010753,0.000000,0,0,1,N/A,0.00
2,2,0.897237,0.667962,0.621221,0.972314,0.994793,0.130435,0.148148,0.979263,0.079171,0.000000,0,0,1,N/A,0.00
2,3,0.998230,0.620703,0.206219,0.991887,0.970588,0.065789,0.635049,0.892857,0.383358,0.000000,0,1,0,N/A,0.00
2,4,0.741745,0.858112,0.605634,0.969528,0.993924,0.100000,0.069140,0.973963,0.820104,0.000000,0,0,0,N/A,0.00
2,5,1.034682,0.731954,0.456471,0.916256,0.993902,0.096939,0.581899,0.973002,0.034946,0.000000,0,1,0,N/A,0.00
2,6,0.623443,0.864816,0.613128,0.992807,0.979245,0.068522,0.148810,0.736842,0.805241,0.000000,0,1,0,N/A,0.00
2,7,0.931783,0.676717,0.621871,0.928339,0.992126,0.000000,0.109244,0.980423,0.788462,0.000000,0,1,0,N/A,0.00
2,8,0.618154,0.876359,0.601592,0.995809,0.976462,0.062500,0.372388,0.978795,0.835348,0.000000,0,1,0,N/A,0.00
2,9,0.633297,0.840311,0.599196,0.993181,0.987728,0.068493,0.210356,0.968363,0.125899,0.000000,0,1,0,N/A,0.00
2,10,0.789940,0.796988,0.616079,0.925861,0.995156,0.000000,0.070000,0.978297,0.842340,0.000000,0,1,0,N/A,0.00
2,MEAN,0.824981,0.758396,0.555592,0.966345,0.987635,0.067050,0.272629,0.943890,0.472562,0.000000,0,7,1.0000,N/A,221.91
3,1,0.673028,0.831605,0.852037,0.992132,0.963235,0.077821,0.408753,0.982769,0.068293,0.509804,0,0,1,N/A,0.00
3,2,0.570048,0.948958,0.962252,0.992153,0.996163,0.130435,0.411674,0.979263,0.578125,0.436364,0,0,1,N/A,0.00
3,3,0.850024,0.473007,0.065951,0.993948,0.959770,0.065789,0.401183,0.909091,0.679500,0.105263,0,1,0,N/A,0.00
3,4,0.479456,0.940961,0.889014,0.994086,0.997053,0.100000,0.180049,0.977810,0.880577,0.484581,0,0,0,N/A,0.00
3,5,0.772562,0.701155,0.273565,0.991023,0.990881,0.096939,0.387888,0.977742,0.157895,0.507042,0,1,0,N/A,0.00
3,6,0.510736,0.898612,0.753344,0.992727,0.956920,0.068522,0.260465,0.774194,0.876830,0.222222,0,1,0,N/A,0.00
3,7,0.622922,0.937899,0.953215,1.000000,1.000000,0.000000,0.320675,0.984399,0.891551,0.837838,0,1,0,N/A,0.00
3,8,0.458086,0.905759,0.781038,0.990826,0.956393,0.121212,0.345391,0.981636,0.874074,0.076923,0,1,0,N/A,0.00
3,9,0.436915,0.940764,0.901422,0.994230,0.985574,0.068493,0.410714,0.971114,0.601770,0.032787,0,1,0,N/A,0.00
3,10,0.494724,0.959206,0.956140,0.991363,0.998276,0.000000,0.279720,0.981697,0.903410,0.700000,0,1,0,N/A,0.00
3,MEAN,0.586850,0.853793,0.738798,0.993249,0.980427,0.072921,0.340651,0.951971,0.651202,0.391282,0,7,1.0000,N/A,225.61
4,1,0.548615,0.905145,0.919944,0.996868,0.977612,0.777778,0.736495,0.992641,0.072727,0.541667,0,0,1,N/A,0.00
4,2,0.495518,0.944189,0.954952,0.997284,0.998848,0.708520,0.556314,0.969163,0.614173,0.494845,0,0,1,N/A,0.00
4,3,0.728446,0.732875,0.157655,0.996805,0.970930,0.819277,0.760684,0.387597,0.667579,0.117647,0,1,0,N/A,0.00
4,4,0.344216,0.956806,0.935662,0.996845,0.997829,0.762749,0.238426,0.995432,0.908986,0.518868,0,0,0,N/A,0.00
4,5,0.513402,0.871511,0.535252,0.998217,0.993902,0.786992,0.767351,0.990714,0.165517,0.514286,0,1,0,N/A,0.00
4,6,0.330895,0.943030,0.900844,0.997487,0.977570,0.787717,0.364532,0.770833,0.907066,0.281690,0,1,0,N/A,0.00
4,7,0.536287,0.927716,0.949931,1.000000,1.000000,0.000000,0.387879,0.999233,0.909653,0.837838,0,1,0,N/A,0.00
4,8,0.340133,0.939891,0.890008,0.996412,0.983308,0.727273,0.617860,0.994012,0.893785,0.121212,0,1,0,N/A,0.00
4,9,0.308224,0.962020,0.932862,0.997579,0.992749,0.782979,0.600362,0.975936,0.723404,0.043478,0,1,0,N/A,0.00
4,10,0.408264,0.953746,0.954765,0.996659,0.998621,0.222222,0.320527,0.991896,0.923906,0.733333,0,1,0,N/A,0.00
4,MEAN,0.455400,0.913693,0.813187,0.997416,0.989137,0.637551,0.535043,0.906746,0.678680,0.420486,0,7,1.0000,N/A,245.11
5,1,0.463242,0.913962,0.923873,0.996868,0.988679,0.850780,0.797610,0.994914,0.070485,0.536082,0,0,1,N/A,0.00
5,2,0.434453,0.916284,0.924221,0.997965,0.999424,0.814516,0.493856,0.989761,0.595420,0.500000,0,0,1,N/A,0.00
5,3,0.577467,0.878788,0.531401,0.998228,0.991098,0.930909,0.903738,0.892857,0.665459,0.111111,0,1,0,N/A,0.00
5,4,0.290521,0.950737,0.920588,0.997945,0.999483,0.872763,0.207668,0.991179,0.911635,0.555556,0,0,0,N/A,0.00
5,5,0.406077,0.931424,0.832117,0.998217,0.998473,0.888227,0.890073,0.988752,0.165517,0.514286,0,1,0,N/A,0.00
5,6,0.266323,0.948461,0.920231,0.998192,0.991485,0.891331,0.367265,0.757895,0.910410,0.285714,0,1,0,N/A,0.00
5,7,0.472520,0.903155,0.925528,1.000000,1.000000,0.000000,0.371631,0.998462,0.914356,0.837838,0,1,0,N/A,0.00
5,8,0.276236,0.948248,0.924456,0.997542,0.994644,0.800000,0.692360,0.993959,0.897545,0.121212,0,1,0,N/A,0.00
