round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,nan,0.407325,0.578864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,2,nan,0.540622,0.701823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,3,nan,0.016170,0.031826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,4,nan,0.168268,0.288064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,5,nan,0.047401,0.090512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,6,nan,0.110199,0.198521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,7,nan,0.514776,0.679673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,8,nan,0.123439,0.219753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,9,nan,0.200583,0.334142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,10,nan,0.317236,0.481669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,MEAN,nan,0.244602,0.360485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,323.27
2,1,2.085714,0.000775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001549,0.000000,0,0,0,N/A,0.00
2,2,2.023781,0.003974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007916,0.000000,0,0,0,N/A,0.00
2,3,2.191660,0.111281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200275,0.000000,0,0,0,N/A,0.00
2,4,1.984690,0.118710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212227,0.000000,0,0,0,N/A,0.00
2,5,2.109016,0.004090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008148,0.000000,0,0,0,N/A,0.00
2,6,2.006799,0.152444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,0.000000,0,0,0,N/A,0.00
2,7,2.019385,0.173123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295149,0.000000,0,0,0,N/A,0.00
2,8,2.016866,0.162807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280024,0.000000,0,0,0,N/A,0.00
2,9,2.015974,0.003884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007739,0.000000,0,0,0,N/A,0.00
2,10,1.980550,0.148539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258658,0.000000,0,0,0,N/A,0.00
2,MEAN,2.043443,0.087963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153624,0.000000,0,,N/A,N/A,290.67
3,1,nan,0.407325,0.578864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,2,nan,0.540622,0.701823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,3,nan,0.016170,0.031826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,4,nan,0.168268,0.288064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,5,nan,0.047401,0.090512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,6,nan,0.110199,0.198521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,7,nan,0.514776,0.679673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,8,nan,0.123439,0.219753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,9,nan,0.200583,0.334142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,10,nan,0.317236,0.481669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
3,MEAN,nan,0.244602,0.360485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,283.87
