round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,nan,0.646426,0.785247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,2,nan,0.779674,0.876199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,3,nan,0.027567,0.053654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,4,nan,0.569351,0.725588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,5,nan,0.029867,0.058001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,6,nan,0.093949,0.171762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,7,nan,0.678279,0.808303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,8,nan,0.214598,0.353365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,9,nan,0.248131,0.397605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,10,nan,0.670854,0.803007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,MEAN,nan,0.395870,0.503273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,360.58
2,1,nan,0.646426,0.785247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
2,2,nan,0.779674,0.876199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
2,3,nan,0.027567,0.053654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
2,4,nan,0.569351,0.725588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
2,5,nan,0.029867,0.058001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
2,6,nan,0.093949,0.171762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
2,7,nan,0.678279,0.808303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
