round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.656677,0.656879,0.795874,0.166915,0.000000,0.000000,0.000000,0.142012,0.000000,0.000000,0,0,0,N/A,0.00
1,2,1.605428,0.784513,0.880104,0.105572,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0,0,0,N/A,0.00
1,3,2.158248,0.049707,0.055738,0.146611,0.000000,0.000000,0.000000,0.218263,0.000000,0.000000,0,0,0,N/A,0.00
1,4,1.703094,0.591019,0.738536,0.164829,0.000000,0.000000,0.000000,0.124224,0.000000,0.000000,0,0,0,N/A,0.00
1,5,2.136542,0.048363,0.061190,0.016997,0.000000,0.000000,0.000000,0.143807,0.000000,0.000000,0,0,0,N/A,0.00
1,6,1.911268,0.111648,0.179831,0.131313,0.000000,0.000000,0.000000,0.150000,0.000000,0.000000,0,0,0,N/A,0.00
1,7,1.687763,0.684086,0.814580,0.164706,0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0,0,0,N/A,0.00
1,8,1.874037,0.248031,0.367396,0.156237,0.000000,0.000000,0.000000,0.119760,0.000000,0.000000,0,0,0,N/A,0.00
1,9,1.857424,0.275627,0.413203,0.157202,0.000000,0.000000,0.000000,0.133333,0.000000,0.000000,0,0,0,N/A,0.00
1,10,1.702829,0.680117,0.809586,0.154739,0.000000,0.000000,0.000000,0.145695,0.000000,0.000000,0,0,0,N/A,0.00
1,MEAN,1.829331,0.412999,0.511604,0.136512,0.000000,0.000000,0.000000,0.150376,0.000000,0.000000,0,,N/A,N/A,708.69
2,1,1.472162,0.668409,0.795874,0.187919,0.086957,0.000000,0.000000,0.142012,0.121417,0.000000,0,0,0,N/A,0.00
2,2,1.379468,0.787570,0.880104,0.109422,0.000000,0.000000,0.000000,0.166667,0.126649,0.000000,0,0,0,N/A,0.00
2,3,2.169887,0.065987,0.055738,0.163580,0.096573,0.000000,0.000000,0.218263,0.200000,0.000000,0,0,0,N/A,0.00
2,4,1.530929,0.596864,0.738536,0.168847,0.104628,0.000000,0.000000,0.124224,0.152284,0.000000,0,0,0,N/A,0.00
2,5,2.150325,0.083535,0.061190,0.049587,0.098300,0.000000,0.000000,0.143807,0.092157,0.000000,0,0,0,N/A,0.00
2,6,1.946339,0.143034,0.179831,0.148964,0.035088,0.000000,0.000000,0.150000,0.124234,0.000000,0,0,0,N/A,0.00
2,7,1.527692,0.691211,0.814580,0.195804,0.084416,0.000000,0.000000,0.160000,0.104869,0.000000,0,0,0,N/A,0.00
2,8,1.828335,0.260984,0.367396,0.161391,0.118919,0.000000,0.000000,0.119760,0.103666,0.000000,0,0,0,N/A,0.00
2,9,1.787803,0.295248,0.413203,0.167324,0.091725,0.000000,0.000000,0.133333,0.123321,0.000000,0,0,0,N/A,0.00
2,10,1.537358,0.684431,0.809586,0.165631,0.100840,0.000000,0.000000,0.145695,0.180791,0.000000,0,0,0,N/A,0.00
2,MEAN,1.733030,0.427727,0.511604,0.151847,0.081744,0.000000,0.000000,0.150376,0.132939,0.000000,0,,N/A,N/A,600.93
3,1,1.255655,0.649808,0.834135,0.258929,0.048443,0.000000,0.000000,0.142012,0.390748,0.000000,0,0,0,N/A,0.00
3,2,1.203860,0.695492,0.869066,0.183381,0.014184,0.000000,0.000000,0.166667,0.197590,0.000000,0,0,0,N/A,0.00
3,3,1.778795,0.121771,0.076127,0.231924,0.284097,0.000000,0.000000,0.218263,0.110714,0.000000,0,0,0,N/A,0.00
3,4,1.317954,0.545830,0.824874,0.252481,0.146299,0.000000,0.000000,0.124224,0.080084,0.000000,0,0,0,N/A,0.00
3,5,1.748485,0.213766,0.096904,0.059524,0.307314,0.000000,0.000000,0.143807,0.278871,0.000000,0,0,0,N/A,0.00
3,6,1.601833,0.318172,0.365485,0.222915,0.004062,0.000000,0.000000,0.150000,0.499014,0.000000,0,0,0,N/A,0.00
3,7,1.311430,0.631301,0.868266,0.203209,0.103926,0.000000,0.000000,0.160000,0.253968,0.000000,0,0,0,N/A,0.00
3,8,1.537717,0.308419,0.598056,0.237583,0.126866,0.000000,0.000000,0.119760,0.231302,0.000000,0,0,0,N/A,0.00
3,9,1.491875,0.369327,0.596391,0.236284,0.198529,0.000000,0.000000,0.133333,0.329401,0.000000,0,0,0,N/A,0.00
3,10,1.333516,0.603604,0.836330,0.220974,0.089888,0.000000,0.000000,0.145695,0.134137,0.000000,0,0,0,N/A,0.00
3,MEAN,1.458112,0.445749,0.596563,0.210720,0.132361,0.000000,0.000000,0.150376,0.250583,0.000000,0,,N/A,N/A,414.78
4,1,0.999505,0.679785,0.815763,0.661230,0.085714,0.400433,0.814118,0.255556,0.288398,0.000000,0,0,0,N/A,0.00
