round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s
1,1,1.802478,0.523108,0.642121,0.872888,0.605505,0.040486,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,2,1.708851,0.879283,0.911560,0.912029,0.963731,0.111111,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,3,1.936080,0.191113,0.039911,0.868782,0.711864,0.026846,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,4,1.771072,0.706700,0.552525,0.903095,0.978308,0.060284,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,5,1.874413,0.189124,0.107539,0.822006,0.904828,0.052356,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,6,1.825931,0.684611,0.467270,0.914866,0.664975,0.047930,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,7,1.822571,0.649561,0.752868,0.870796,0.937238,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,8,1.842341,0.611760,0.419438,0.918677,0.748417,0.064516,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,9,1.737637,0.821968,0.756979,0.920268,0.869816,0.035211,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,10,1.756685,0.804667,0.772844,0.915699,0.987214,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00
1,MEAN,1.807806,0.606190,0.542306,0.891911,0.837190,0.043874,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,315.33
2,1,0.865712,0.841391,0.874680,0.995705,0.988764,0.740286,0.373746,0.989387,0.036939,0.512195,0,0,0,N/A,0.00
2,2,0.769148,0.949135,0.964055,0.996950,0.999233,0.801619,0.301291,0.980527,0.435754,0.518519,0,0,0,N/A,0.00
2,3,1.087075,0.470206,0.079309,0.998228,0.988235,0.505353,0.358352,0.757576,0.557088,0.133333,0,0,0,N/A,0.00
2,4,0.642030,0.961820,0.924332,0.995760,0.999587,0.861756,0.176471,0.985059,0.900116,0.475610,0,0,0,N/A,0.00
2,5,0.852317,0.764918,0.355388,0.987654,0.998478,0.829971,0.362264,0.986530,0.100840,0.393443,0,0,0,N/A,0.00
2,6,0.685430,0.945081,0.866242,0.997588,0.985889,0.842105,0.269231,0.813187,0.892007,0.268657,0,0,0,N/A,0.00
2,7,0.845391,0.932708,0.949972,0.989583,1.000000,0.000000,0.238095,0.990698,0.896128,0.750000,0,0,0,N/A,0.00
2,8,0.696206,0.916130,0.806462,0.996824,0.984103,0.632911,0.310134,0.984496,0.871396,0.000000,0,0,0,N/A,0.00
2,9,0.632066,0.964502,0.945862,0.997781,0.994071,0.850394,0.340299,0.980874,0.519084,0.000000,0,0,0,N/A,0.00
2,10,0.692432,0.958066,0.949359,0.992417,0.999724,0.206897,0.195349,0.983444,0.913990,0.698225,0,0,0,N/A,0.00
2,MEAN,0.776781,0.870396,0.771566,0.994849,0.993808,0.627129,0.292523,0.945178,0.612334,0.374998,0,,N/A,N/A,278.66
3,1,0.615743,0.846817,0.913642,0.989002,0.992424,0.454128,0.520202,0.996285,0.029963,0.440367,0,0,0,N/A,0.00
3,2,0.534026,0.920170,0.944285,0.989761,0.997691,0.387947,0.415800,0.992054,0.361905,0.365079,0,0,0,N/A,0.00
3,3,0.932440,0.578304,0.165125,0.991465,0.988166,0.261134,0.556180,0.781250,0.494915,0.064516,0,0,0,N/A,0.00
3,4,0.406646,0.954277,0.913152,0.990403,0.997929,0.739771,0.283525,0.996281,0.903387,0.411067,0,0,0,N/A,0.00
3,5,0.580885,0.821222,0.570962,0.966957,0.996942,0.753086,0.571246,0.995164,0.080000,0.493151,0,0,0,N/A,0.00
3,6,0.428905,0.939529,0.876381,0.991138,0.993327,0.827897,0.330709,1.000000,0.896552,0.145161,0,0,0,N/A,0.00
3,7,0.583522,0.907149,0.927456,0.998249,1.000000,0.000000,0.311239,0.998462,0.893097,0.833333,0,0,0,N/A,0.00
3,8,0.459900,0.916633,0.848030,0.991763,0.990038,0.247619,0.487648,0.992316,0.864537,0.044944,0,0,0,N/A,0.00
3,9,0.396044,0.951770,0.933148,0.992718,0.996021,0.750000,0.452747,0.998628,0.500000,0.020408,0,0,0,N/A,0.00
3,10,0.468857,0.940068,0.927069,0.992337,0.998275,0.019169,0.289703,0.993443,0.912010,0.678571,0,0,0,N/A,0.00
3,MEAN,0.540697,0.877594,0.801925,0.989379,0.995081,0.444075,0.421900,0.974388,0.593637,0.349660,0,,N/A,N/A,281.03
4,1,0.494681,0.879857,0.915294,0.995301,0.996198,0.467290,0.670483,0.993128,0.070707,0.559140,0,0,0,N/A,0.00
4,2,0.401214,0.931826,0.946710,0.995245,0.999231,0.421268,0.532361,0.990847,0.639344,0.500000,0,0,0,N/A,0.00
4,3,0.867384,0.689712,0.170397,0.994683,0.997015,0.249516,0.714590,1.000000,0.692603,0.125000,0,0,0,N/A,0.00
4,4,0.316632,0.955289,0.911266,0.995073,0.998706,0.754717,0.313131,0.991638,0.903950,0.526316,0,0,0,N/A,0.00
4,5,0.488151,0.863330,0.593333,0.975524,0.996942,0.745476,0.713556,0.991633,0.201681,0.514286,0,0,0,N/A,0.00
4,6,0.337736,0.945202,0.866494,0.995077,0.998092,0.812568,0.469697,0.986301,0.898400,0.281690,0,0,0,N/A,0.00
4,7,0.458418,0.913139,0.929894,1.000000,1.000000,0.000000,0.422977,0.994595,0.902059,0.849315,0,0,0,N/A,0.00
4,8,0.376923,0.929923,0.846962,0.996000,0.997687,0.225000,0.643330,0.991180,0.887118,0.148148,0,0,0,N/A,0.00
4,9,0.296907,0.960401,0.933408,0.996166,0.998011,0.749216,0.575290,0.994490,0.747253,0.043478,0,0,0,N/A,0.00
4,10,0.368206,0.943848,0.929038,0.997137,0.998758,0.022059,0.397572,0.990099,0.915652,0.743961,0,0,0,N/A,0.00
4,MEAN,0.440625,0.901253,0.804280,0.994021,0.998064,0.444711,0.545299,0.992391,0.685877,0.429133,0,,N/A,N/A,277.13
5,1,0.365667,0.918806,0.932489,0.997265,0.996198,0.667674,0.780964,0.999415,0.130081,0.541667,0,0,0,N/A,0.00
5,2,0.301957,0.950901,0.960930,0.998646,0.997691,0.578249,0.649399,0.996595,0.686275,0.461538,0,0,0,N/A,0.00
5,3,0.700955,0.768271,0.183088,0.997880,0.997015,0.413580,0.803874,0.847458,0.743811,0.125000,0,0,0,N/A,0.00
5,4,0.247210,0.958660,0.928580,0.996311,0.997876,0.864528,0.330383,0.999117,0.883886,0.482456,0,0,0,N/A,0.00
5,5,0.360860,0.908325,0.637782,0.977391,0.996942,0.853093,0.823018,0.999196,0.282353,0.514286,0,0,0,N/A,0.00
5,6,0.262494,0.950754,0.889236,0.997295,0.997129,0.903299,0.476780,0.986667,0.883311,0.273973,0,0,0,N/A,0.00
5,7,0.360046,0.924920,0.943934,1.000000,1.000000,0.000000,0.472554,1.000000,0.890298,0.837838,0,0,0,N/A,0.00
5,8,0.293250,0.937978,0.864483,0.998773,0.996914,0.470588,0.681629,0.995624,0.873374,0.125000,0,0,0,N/A,0.00
5,9,0.215224,0.972810,0.951360,0.998390,0.997011,0.866551,0.688716,1.000000,0.794872,0.039216,0,0,0,N/A,0.00
5,10,0.293929,0.948767,0.946498,0.998571,0.998137,0.066116,0.403081,0.998363,0.895064,0.706422,0,0,0,N/A,0.00
5,MEAN,0.340159,0.924019,0.823838,0.996052,0.997491,0.568368,0.611040,0.982243,0.706333,0.410740,0,,N/A,N/A,275.97
6,1,0.532429,0.840616,0.884615,0.996868,0.996198,0.355096,0.609939,0.984554,0.051661,0.553191,0,0,0,N/A,0.00
6,2,0.380327,0.902596,0.918665,0.998305,0.999808,0.241304,0.541322,0.980347,0.569343,0.510638,0,0,0,N/A,0.00
6,3,0.985609,0.635345,0.169057,0.998228,0.997015,0.210606,0.640988,1.000000,0.627163,0.125000,0,0,0,N/A,0.00
6,4,0.280668,0.946692,0.891178,0.997532,0.999276,0.615196,0.320988,0.980942,0.904147,0.544554,0,0,0,N/A,0.00
6,5,0.540744,0.839750,0.589831,1.000000,0.996942,0.736617,0.646283,0.980617,0.140351,0.514286,0,0,0,N/A,0.00
6,6,0.279436,0.945444,0.860087,0.997688,1.000000,0.781544,0.497561,0.957746,0.899138,0.281690,0,0,0,N/A,0.00
6,7,0.451553,0.882188,0.904260,1.000000,1.000000,0.000000,0.417143,0.979624,0.901985,0.849315,0,0,0,N/A,0.00
