round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
1,1,1.8821,0.4236,0,0,0,0,0,0.5951,0,0
1,2,1.9418,0.148,0,0,0,0,0,0.2578,0,0
1,3,1.9652,0.2055,0,0,0,0,0,0.3409,0,0
1,4,2.0716,0.0048,0,0,0,0,0,0.0096,0,0
1,5,2.0169,0.1433,0,0,0,0,0,0.2507,0,0
1,6,2.0472,0.0507,0,0,0,0,0,0.0964,0,0
1,7,1.8466,0.4238,0,0,0,0,0,0.5953,0,0
1,8,1.8876,0.2644,0,0,0,0,0,0.4182,0,0
1,9,2.0597,0.0355,0,0,0,0,0,0.0686,0,0
1,10,1.7444,0.532,0,0,0,0,0,0.6945,0,0
1,MEAN,1.9463,0.2232,0,0,0,0,0,0.3327,0,0
2,1,0.8966,0.8163,0.6316,0.3239,0.898,0.1846,0.9988,0.9517,0,0.8824
2,2,1.005,0.7636,0.6086,0.4737,0.7683,0.9406,1,0.6121,0,0.8717
2,3,0.8636,0.8464,0.5333,0.5788,0.992,0.5077,0.9998,0.8055,0,0.808
2,4,0.9292,0.8386,0.6273,0.5799,0.8306,0.9067,0.9992,0.072,0,0.9013
2,5,0.6645,0.9808,0.6429,0.5237,0.9984,0.9821,0.9992,0.9522,0,0.6667
2,6,0.8033,0.8398,0.6202,0.5684,0.9857,0.7205,0.999,0.4959,0,0.8179
2,7,1.0794,0.7117,0.6106,0.5285,0.7285,0.6083,1,0.8908,0,0.8449
2,8,0.8267,0.8563,0.6629,0.5743,0.9921,0.9669,0.9995,0.8206,0,0.7748
2,9,0.9902,0.8358,0.6193,0.0351,0.9863,0.8782,1,0.447,0,0.9023
2,10,0.8148,0.8974,0.6072,0.5219,0.5618,0.9736,0.9997,0.9247,0,0.8525
2,MEAN,0.8873,0.8387,0.6164,0.4708,0.8742,0.7669,0.9995,0.6972,0,0.8322
3,1,0.5018,0.8716,0.7423,0.3415,0.9534,0.2907,0.9985,0.9349,0.6492,0.887
3,2,0.5624,0.8871,0.9238,0.6557,0.8768,0.9444,1,0.8119,0.4918,0.8805
3,3,0.4857,0.8861,0.12,0.7727,0.9952,0.6614,0.9983,0.829,0.6438,0.8164
3,4,0.5191,0.8964,0.9497,0.7232,0.8865,0.9252,0.9987,0.121,0.5194,0.9052
3,5,0.3047,0.9737,0.2222,0.7455,0.9978,0.981,0.9978,0.9288,0.1616,0.6718
3,6,0.4248,0.8995,0.8241,0.7683,0.9919,0.8278,0.9981,0.6028,0.645,0.8186
3,7,0.6331,0.8127,0.7619,0.7044,0.8742,0.7504,1,0.8985,0.6626,0.8512
3,8,0.5004,0.8813,0.6074,0.7625,0.9925,0.9689,0.9977,0.8422,0.3902,0.7762
3,9,0.4932,0.9017,0.9398,0.0923,0.9946,0.92,1,0.6021,0.6167,0.9056
3,10,0.5256,0.8946,0.7144,0.681,0.6711,0.9759,0.9989,0.9146,0.194,0.8602
3,MEAN,0.4951,0.8905,0.6806,0.6247,0.9234,0.8246,0.9988,0.7486,0.4974,0.8373
4,1,0.6741,0.7132,0.3123,0.3256,0.9719,0.7484,0.9717,0.5669,0.9562,0.5506
4,2,0.7733,0.6973,0.6524,0.36,0.9658,0.8342,0.9565,0.5365,0.5425,0.6125
4,3,0.8704,0.6874,0.0095,0.4286,0.974,0.809,0.9271,0.5174,0.935,0.6217
4,4,0.8814,0.7066,0.3601,0.4391,0.9627,0.8405,0.9956,0.1506,0.6604,0.6214
4,5,0.4729,0.8481,0.0285,0.4301,0.971,0.8296,0.959,0.5757,0.0788,0.3896
4,6,0.7056,0.7784,0.1622,0.4217,0.973,0.808,0.9845,0.4239,0.8692,0.5544
4,7,0.9728,0.582,0.2762,0.406,0.9582,0.8328,0.4552,0.5504,0.9238,0.6185
4,8,0.9174,0.6268,0.127,0.4197,0.9711,0.8336,0.9785,0.5348,0.3253,0.5734
4,9,0.7898,0.7434,0.4411,0.1111,0.9747,0.8385,0.4658,0.5409,0.7618,0.6364
4,10,0.9012,0.5564,0.251,0.3824,0.9691,0.8261,0.9872,0.559,0.1704,0.597
4,MEAN,0.7959,0.694,0.262,0.3724,0.9692,0.8201,0.8681,0.4956,0.6223,0.5775
5,1,0.3362,0.8995,0.6376,0.2881,0.9983,0.9038,0.9815,0.886,0.9625,0.887
5,2,0.361,0.8713,0.9236,0.6102,1,0.9128,0.9645,0.8406,0.5275,0.8821
5,3,0.318,0.908,0.0754,0.8361,0.9986,0.9228,0.9856,0.8413,0.936,0.8252
5,4,0.3276,0.9038,0.9658,0.6396,1,0.8989,0.9968,0.26,0.6462,0.9074
5,5,0.1907,0.9508,0.1303,0.754,0.9985,0.9047,0.997,0.8851,0.0686,0.6667
5,6,0.2667,0.9313,0.7895,0.8458,0.9991,0.8943,0.9972,0.7099,0.8713,0.8258
5,7,0.4412,0.8529,0.6696,0.7344,1,0.9227,0.5156,0.8742,0.9249,0.8566
5,8,0.3603,0.8727,0.5077,0.8328,0.9966,0.9065,0.9949,0.8433,0.3013,0.7873
5,9,0.3157,0.9011,0.9457,0.0308,0.9992,0.9132,0.8095,0.7808,0.7545,0.907
5,10,0.4002,0.8449,0.6095,0.7065,0.98,0.9098,0.9874,0.8798,0.1694,0.8648
5,MEAN,0.3318,0.8936,0.6255,0.6278,0.997,0.909,0.923,0.7801,0.6162,0.841
6,1,0.3357,0.8969,0.6249,0.2989,0.9979,0.6981,0.999,0.8865,0.9352,0.8936
6,2,0.385,0.8831,0.9137,0.6213,1,0.9643,1,0.7668,0.6268,0.8715
6,3,0.3649,0.8868,0.0611,0.7776,0.9977,0.906,0.9992,0.7889,0.9173,0.8445
6,4,0.41,0.8934,0.9508,0.6828,0.996,0.9565,0.9993,0.1021,0.7454,0.8955
6,5,0.1783,0.9582,0.1245,0.7043,0.9975,0.9669,0.9992,0.8818,0.1182,0.6723
6,6,0.3204,0.9102,0.6846,0.7681,0.9984,0.9296,0.9992,0.5718,0.8982,0.8353
6,7,0.472,0.8468,0.6484,0.7049,0.9976,0.9306,1,0.8521,0.9298,0.8605
6,8,0.4043,0.8598,0.4599,0.7676,0.995,0.9656,0.999,0.7949,0.4433,0.81
6,9,0.3541,0.9128,0.9457,0.0494,0.9981,0.9565,1,0.5595,0.827,0.8913
6,10,0.4086,0.85,0.5863,0.6742,0.98,0.9665,0.9997,0.8691,0.2348,0.868
6,MEAN,0.3633,0.8898,0.6,0.6049,0.9958,0.9241,0.9995,0.7074,0.6676,0.8442
7,1,0.3214,0.9053,0.5924,0.6552,0.9983,0.8932,0.9992,0.8851,0.971,0.8889
7,2,0.3902,0.8643,0.9237,0.6375,1,0.9103,1,0.7726,0.5121,0.8674
7,3,0.3756,0.8787,0.0572,0.7554,0.9982,0.9177,0.997,0.7643,0.9448,0.8486
7,4,0.4312,0.8803,0.9652,0.6497,1,0.8974,1,0.102,0.6432,0.8876
7,5,0.1788,0.9473,0.1106,0.7486,0.998,0.9032,0.9983,0.8745,0.0631,0.7018
7,6,0.3247,0.9014,0.7116,0.7431,0.9991,0.895,0.9996,0.5291,0.8874,0.8375
7,7,0.475,0.8454,0.638,0.7303,0.9976,0.9204,0.9706,0.8481,0.9323,0.8628
7,8,0.4268,0.8373,0.4521,0.7488,0.9962,0.9036,0.9982,0.7744,0.2849,0.8175
7,9,0.3751,0.8936,0.9552,0.0488,0.9988,0.9104,0.9714,0.5577,0.752,0.885
7,10,0.4278,0.8323,0.5649,0.7181,0.9899,0.9083,0.9997,0.8648,0.1545,0.8693
7,MEAN,0.3727,0.8786,0.5971,0.6435,0.9976,0.906,0.9934,0.6973,0.6145,0.8466
8,1,0.3207,0.8962,0.593,0.2891,0.9988,0.8698,0.9993,0.8732,0.9743,0.8879
8,2,0.4353,0.8518,0.8638,0.5965,1,0.9006,1,0.7613,0.6563,0.8646
8,3,0.3904,0.8797,0.0517,0.7622,0.9987,0.8882,0.9991,0.7682,0.9586,0.8593
8,4,0.447,0.8796,0.9034,0.6381,1,0.902,0.9997,0.1014,0.7524,0.8886
8,5,0.1858,0.9435,0.0804,0.6852,0.9984,0.8918,0.9992,0.8661,0.1116,0.6903
8,6,0.3459,0.9035,0.5754,0.7593,0.9991,0.8832,0.9996,0.5537,0.9318,0.8407
8,7,0.5034,0.8323,0.5925,0.6907,1,0.8922,1,0.8412,0.9566,0.8608
8,8,0.4607,0.8354,0.377,0.7564,0.9966,0.8884,0.999,0.7778,0.4305,0.8278
8,9,0.4126,0.8849,0.8,0.0426,0.9988,0.8939,0.9855,0.5525,0.8607,0.8855
8,10,0.4523,0.8189,0.522,0.6644,0.9899,0.8888,1,0.8563,0.2475,0.8682
8,MEAN,0.3954,0.8726,0.5359,0.5884,0.998,0.8899,0.9981,0.6952,0.688,0.8474
9,1,0.2261,0.9406,0.7815,0.2997,0.9988,0.9607,0.9993,0.9336,0.9767,0.8889
9,2,0.2693,0.9048,0.9403,0.6296,1,0.9647,1,0.8949,0.6667,0.8698
9,3,0.2256,0.9408,0.1375,0.8849,0.9987,0.9683,0.9974,0.9057,0.9677,0.853
9,4,0.2704,0.9105,0.9684,0.6382,1,0.9565,1,0.4526,0.7789,0.8964
9,5,0.1193,0.9719,0.2369,0.7968,0.9984,0.9609,0.9984,0.9334,0.1294,0.6724
9,6,0.1959,0.9565,0.8777,0.8966,0.9991,0.9551,0.9995,0.8409,0.9454,0.8381
9,7,0.3142,0.9084,0.7975,0.774,1,0.9699,0.9851,0.926,0.9628,0.8611
9,8,0.2488,0.9232,0.6565,0.8882,0.9966,0.9612,0.9979,0.9101,0.4683,0.8267
9,9,0.2492,0.9193,0.9553,0.0233,0.9988,0.9651,0.9714,0.8875,0.8774,0.8927
9,10,0.2607,0.9024,0.7447,0.7508,0.9899,0.9615,0.9997,0.9275,0.2615,0.8679
9,MEAN,0.238,0.9278,0.7096,0.6582,0.998,0.9624,0.9949,0.8612,0.7035,0.8467
10,1,0.3805,0.8719,0.5124,0.4688,0.9983,0.8288,0.9988,0.8397,0.973,0.8182
10,2,0.6096,0.8067,0.7988,0.5615,1,0.8532,1,0.7336,0.6005,0.7938
10,3,0.5288,0.8407,0.0282,0.6932,0.9981,0.8485,0.9985,0.7211,0.9504,0.8128
10,4,0.6714,0.8252,0.6406,0.6324,1,0.8553,0.9987,0.1015,0.7078,0.8197
10,5,0.238,0.9261,0.0587,0.6487,0.9978,0.848,0.998,0.8295,0.0839,0.6458
10,6,0.4649,0.8697,0.3772,0.6748,0.9991,0.8426,0.9983,0.4907,0.9192,0.7918
10,7,0.6556,0.7819,0.4809,0.6616,0.9976,0.8536,0.9706,0.8,0.9494,0.8017
10,8,0.6286,0.7868,0.2759,0.689,0.9958,0.8423,0.9982,0.7362,0.3582,0.78
10,9,0.5926,0.8419,0.6422,0.0741,0.9988,0.8559,1,0.5734,0.8182,0.8167
10,10,0.6024,0.7712,0.4363,0.6541,0.9899,0.8508,0.9997,0.822,0.2108,0.7914
10,MEAN,0.5372,0.8322,0.4251,0.5758,0.9975,0.8479,0.9961,0.6648,0.6571,0.7872
11,1,0.4518,0.8125,0.4121,0.3457,0.9988,0.8207,0.9992,0.7499,0.9649,0.6837
11,2,0.7257,0.7617,0.7476,0.3133,1,0.8499,1,0.642,0.6138,0.7114
11,3,0.7109,0.7511,0.0172,0.353,0.9989,0.8356,0.9977,0.5872,0.9464,0.7379
11,4,0.8636,0.7568,0.5143,0.333,1,0.8476,1,0.0699,0.7017,0.734
11,5,0.2674,0.9054,0.0453,0.3725,0.9986,0.8464,0.9982,0.7416,0.0977,0.5647
11,6,0.6168,0.8023,0.2681,0.3335,0.9993,0.8312,0.9995,0.3517,0.9039,0.7043
11,7,0.8292,0.6839,0.3809,0.3338,1,0.8452,0.9851,0.6939,0.9393,0.7141
11,8,0.8352,0.6895,0.202,0.3558,0.9981,0.8359,0.9987,0.615,0.3701,0.6971
11,9,0.6935,0.805,0.5495,0.0417,0.9996,0.8515,0.9855,0.5297,0.8156,0.7364
11,10,0.7547,0.6871,0.356,0.3472,0.9899,0.8446,0.9997,0.7353,0.2243,0.7121
11,MEAN,0.6749,0.7655,0.3493,0.313,0.9983,0.8409,0.9964,0.5716,0.6578,0.6996
12,1,0.2479,0.9244,0.6456,0.7586,0.9992,0.9541,0.9993,0.9094,0.9764,0.8889
12,2,0.3128,0.8997,0.9409,0.7011,1,0.9633,1,0.8095,0.658,0.8691
12,3,0.2953,0.906,0.0761,0.8234,0.999,0.9636,0.9981,0.8118,0.9657,0.8621
12,4,0.3668,0.8945,0.9798,0.6973,1,0.9494,1,0.1125,0.7524,0.8883
12,5,0.1277,0.9634,0.1341,0.8247,0.9986,0.9566,0.9983,0.9018,0.1204,0.7143
12,6,0.2563,0.9246,0.8115,0.8121,0.9993,0.9496,0.9996,0.5968,0.9376,0.8495
12,7,0.3736,0.8799,0.6962,0.7819,1,0.9631,1,0.8807,0.9576,0.8628
12,8,0.3296,0.8802,0.5209,0.8226,0.9981,0.9568,0.9985,0.8208,0.4424,0.8379
12,9,0.3109,0.9161,0.9607,0.0449,0.9996,0.962,0.9855,0.5738,0.8651,0.884
12,10,0.323,0.8756,0.6281,0.8002,0.9899,0.9607,0.9997,0.8949,0.25,0.8719
12,MEAN,0.2944,0.9064,0.6394,0.7067,0.9984,0.9579,0.9979,0.7312,0.6926,0.8529
13,1,0.2972,0.9068,0.6194,0.5349,0.9992,0.801,0.9987,0.8929,0.9557,0.8745
13,2,0.3183,0.8934,0.9362,0.6735,1,0.9645,1,0.7986,0.6429,0.8549
13,3,0.3087,0.9045,0.0674,0.8382,0.9995,0.9446,0.9996,0.8061,0.9536,0.8527
13,4,0.3741,0.8865,0.9805,0.6618,1,0.9622,0.9992,0.1182,0.7735,0.8705
13,5,0.1286,0.9622,0.1224,0.8096,0.9993,0.9661,0.9992,0.8884,0.1347,0.7255
13,6,0.2604,0.9246,0.7816,0.8258,0.9995,0.9448,0.9993,0.5957,0.9238,0.8331
13,7,0.4207,0.8654,0.6643,0.7872,1,0.9521,1,0.8647,0.9479,0.8545
13,8,0.3447,0.8813,0.4967,0.8372,0.9989,0.9651,0.9992,0.8151,0.4724,0.8357
13,9,0.3114,0.9098,0.958,0.0308,0.9996,0.9655,1,0.5788,0.8673,0.8682
13,10,0.3687,0.8609,0.5976,0.7788,0.98,0.9665,0.9995,0.8772,0.2406,0.8619
13,MEAN,0.3133,0.8995,0.6224,0.6778,0.9976,0.9432,0.9995,0.7236,0.6912,0.8431
14,1,0.284,0.8996,0.5718,0.7934,0.9996,0.9408,0.9997,0.8742,0.9746,0.8841
14,2,0.3099,0.8949,0.9253,0.7042,1,0.9648,1,0.7828,0.6578,0.8787
14,3,0.302,0.8939,0.0536,0.8215,0.9996,0.9641,1,0.7783,0.9643,0.8655
14,4,0.3596,0.8997,0.9707,0.712,1,0.9594,0.9997,0.1054,0.7786,0.8974
14,5,0.1241,0.958,0.1028,0.8243,0.9993,0.9637,0.9998,0.8724,0.132,0.7018
14,6,0.2475,0.9227,0.7456,0.8124,0.9995,0.9544,0.9998,0.5763,0.9403,0.8519
14,7,0.4053,0.8576,0.6224,0.7842,1,0.9688,1,0.8469,0.9609,0.8693
14,8,0.3353,0.8656,0.4462,0.8121,0.9992,0.9625,0.9997,0.7888,0.4653,0.8357
14,9,0.2984,0.9213,0.9474,0.087,0.9996,0.9682,1,0.5431,0.8797,0.8937
14,10,0.353,0.8484,0.5582,0.7863,0.9899,0.9659,1,0.8629,0.2574,0.876
14,MEAN,0.3019,0.8962,0.5944,0.7137,0.9987,0.9612,0.9999,0.7031,0.7011,0.8554
15,1,0.2295,0.9324,0.675,0.7414,0.9996,0.9541,0.9988,0.921,0.9753,0.8889
15,2,0.3267,0.9012,0.9445,0.7048,1,0.9628,1,0.8079,0.6563,0.874
15,3,0.3118,0.9058,0.0832,0.8084,0.9995,0.9652,0.9998,0.8115,0.9638,0.872
15,4,0.4028,0.8956,0.9759,0.7137,1,0.9494,0.9992,0.1049,0.7434,0.8959
15,5,0.1175,0.9659,0.1538,0.7974,0.9991,0.9568,0.9994,0.9114,0.1126,0.708
15,6,0.2775,0.9195,0.8019,0.7896,0.9995,0.9496,0.9993,0.5794,0.9332,0.8571
15,7,0.3739,0.8867,0.7194,0.788,1,0.9645,1,0.886,0.9584,0.8725
15,8,0.3472,0.8813,0.5504,0.8078,0.9992,0.9564,0.9995,0.8243,0.4344,0.8475
15,9,0.3229,0.9193,0.962,0.0625,0.9996,0.961,1,0.5649,0.8611,0.8913
15,10,0.3185,0.8852,0.663,0.7802,0.9899,0.9601,1,0.9054,0.2475,0.8778
15,MEAN,0.3028,0.9093,0.6529,0.6994,0.9987,0.958,0.9996,0.7317,0.6886,0.8585
16,1,0.3117,0.8946,0.5922,0.3643,0.9992,0.9541,0.9988,0.8671,0.9758,0.8734
16,2,0.3051,0.889,0.9291,0.6957,1,0.9601,1,0.7847,0.648,0.8567
16,3,0.2964,0.9047,0.0606,0.8537,0.9994,0.8983,0.9998,0.8006,0.9632,0.862
16,4,0.3443,0.8855,0.9772,0.6638,1,0.9397,0.9992,0.121,0.7452,0.8695
16,5,0.1348,0.9561,0.1094,0.8022,0.999,0.9552,0.9992,0.8692,0.1111,0.7835
16,6,0.2343,0.9318,0.7539,0.8552,0.9995,0.927,0.9993,0.6203,0.9343,0.8447
16,7,0.4215,0.8593,0.6422,0.7912,1,0.9613,1,0.8496,0.958,0.8592
16,8,0.3377,0.878,0.4672,0.8571,0.9989,0.9463,0.9995,0.8064,0.4267,0.852
16,9,0.2935,0.9053,0.9566,0.0265,0.9996,0.9615,1,0.5746,0.8624,0.8641
16,10,0.3932,0.842,0.5705,0.7531,0.9899,0.9576,1,0.8568,0.245,0.8637
16,MEAN,0.3072,0.8946,0.6059,0.6663,0.9985,0.9461,0.9996,0.715,0.687,0.8529
17,1,0.2449,0.923,0.6383,0.7792,0.9992,0.9573,0.9988,0.9093,0.9753,0.8889
17,2,0.2256,0.9143,0.9405,0.7035,1,0.9651,1,0.9134,0.6649,0.8756
17,3,0.2086,0.9415,0.0737,0.9271,0.9995,0.9652,0.9998,0.9015,0.9638,0.8624
17,4,0.2286,0.9173,0.9805,0.6607,1,0.9544,0.9992,0.672,0.7579,0.9012
17,5,0.1044,0.9673,0.1304,0.9394,0.999,0.9588,0.999,0.9153,0.1145,0.713
17,6,0.1631,0.9609,0.8115,0.9194,0.9995,0.9551,0.999,0.8668,0.9376,0.8534
17,7,0.3168,0.8984,0.6869,0.8692,1,0.9665,1,0.9099,0.9602,0.872
17,8,0.24,0.9187,0.5173,0.9275,0.9989,0.9586,0.9992,0.8983,0.4444,0.8294
17,9,0.2029,0.9229,0.962,0.0248,0.9996,0.962,1,0.9288,0.8651,0.8975
17,10,0.2847,0.8895,0.6235,0.9008,0.9899,0.9621,0.9997,0.9114,0.2543,0.8808
17,MEAN,0.222,0.9254,0.6365,0.7652,0.9986,0.9605,0.9995,0.8827,0.6938,0.8574
18,1,0.3073,0.888,0.5462,0.5769,0.9996,0.9108,0.9988,0.859,0.9747,0.8783
18,2,0.4274,0.8624,0.8942,0.5784,1,0.9322,1,0.74,0.648,0.854
18,3,0.4233,0.8537,0.0467,0.6778,0.9995,0.8519,0.9998,0.7116,0.9632,0.8601
18,4,0.516,0.861,0.9281,0.5527,1,0.9175,0.9992,0.082,0.7381,0.8655
18,5,0.1561,0.9447,0.0824,0.6812,0.9991,0.9274,0.999,0.8465,0.1079,0.7879
18,6,0.3666,0.8832,0.6439,0.6649,0.9995,0.891,0.999,0.4561,0.9277,0.8476
18,7,0.5082,0.8221,0.5764,0.6667,1,0.9282,1,0.8149,0.958,0.8557
18,8,0.4908,0.8142,0.3865,0.6702,0.9992,0.912,0.9992,0.7276,0.4286,0.8492
18,9,0.4081,0.8936,0.8736,0.0388,0.9996,0.9325,1,0.5364,0.8624,0.8657
18,10,0.4603,0.8127,0.5119,0.6579,0.9899,0.9274,0.9997,0.8377,0.245,0.8556
18,MEAN,0.4064,0.8636,0.549,0.5766,0.9986,0.9131,0.9995,0.6612,0.6854,0.8519
19,1,0.2899,0.9019,0.5814,0.5882,0.9996,0.9509,0.9988,0.8781,0.975,0.8889
19,2,0.3512,0.8877,0.9213,0.6404,1,0.9601,1,0.7577,0.6667,0.8854
19,3,0.3637,0.8705,0.0566,0.7132,0.9996,0.9605,0.9998,0.7352,0.9657,0.877
19,4,0.4108,0.8937,0.972,0.6608,1,0.9544,0.9992,0.0906,0.7654,0.9058
19,5,0.1352,0.954,0.1034,0.7131,0.9993,0.9557,0.9989,0.8654,0.1176,0.7321
19,6,0.3083,0.8974,0.7281,0.7033,0.9995,0.9507,0.999,0.4771,0.9343,0.8663
19,7,0.4468,0.8459,0.6249,0.6827,1,0.9617,1,0.8355,0.9615,0.8715
19,8,0.413,0.8376,0.4498,0.6995,0.9992,0.9568,0.9992,0.749,0.4593,0.8525
19,9,0.3243,0.9211,0.9434,0.08,0.9996,0.9594,1,0.5523,0.8692,0.899
19,10,0.4012,0.8386,0.558,0.687,0.9899,0.9591,0.9997,0.8557,0.2561,0.8789
19,MEAN,0.3444,0.8848,0.5939,0.6168,0.9987,0.9569,0.9995,0.6797,0.6971,0.8657
20,1,0.3661,0.8701,0.5042,0.5545,0.9996,0.8485,0.9995,0.8337,0.9758,0.8793
20,2,0.565,0.836,0.825,0.6174,1,0.8671,1,0.7487,0.6382,0.8769
20,3,0.5054,0.8498,0.0297,0.7018,0.9996,0.86,0.9994,0.7231,0.9651,0.8739
20,4,0.5575,0.8705,0.7911,0.6193,1,0.8686,1,0.109,0.7311,0.8892
20,5,0.2162,0.9305,0.0576,0.703,0.9993,0.8635,0.9992,0.8286,0.1116,0.75
20,6,0.4392,0.8826,0.4131,0.6875,0.9995,0.8532,0.9996,0.5098,0.931,0.8588
