round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting
1,1,1.8277,0.3141,0.0000,0.0000,0.0000,0.4780,0.0000,0.0000,0.0000,0.0000
1,2,1.9306,0.0579,0.0000,0.0000,0.0000,0.1094,0.0000,0.0000,0.0000,0.0000
1,3,1.6849,0.2690,0.0000,0.0000,0.0000,0.4241,0.0000,0.0000,0.0000,0.0000
1,4,1.7901,0.1416,0.0000,0.0000,0.0000,0.2481,0.0000,0.0000,0.0000,0.0000
1,5,1.3793,0.7721,0.0000,0.0000,0.0000,0.8716,0.0000,0.0000,0.0000,0.0000
1,6,1.5669,0.3958,0.0000,0.0000,0.0000,0.5672,0.0000,0.0000,0.0000,0.0000
1,7,1.9047,0.0966,0.0000,0.0000,0.0000,0.1763,0.0000,0.0000,0.0000,0.0000
1,8,2.0504,0.0016,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000
1,9,2.2980,0.0303,0.0000,0.0000,0.0000,0.0589,0.0000,0.0000,0.0000,0.0000
1,10,2.3826,0.0759,0.0000,0.0000,0.0000,0.1411,0.0000,0.0000,0.0000,0.0000
1,MEAN,1.8815,0.2155,0.0000,0.0000,0.0000,0.3078,0.0000,0.0000,0.0000,0.0000
2,1,1.2868,0.4620,0.0000,0.0488,0.1250,0.6352,0.4370,0.0000,0.4343,0.0000
2,2,1.4631,0.2359,0.0017,0.0769,0.3421,0.1843,0.0779,0.0813,0.4602,0.0000
2,3,1.3442,0.3083,0.0000,0.4348,0.3810,0.4540,0.2024,0.0810,0.3743,0.0000
2,4,1.3923,0.2395,0.0000,0.1538,0.3059,0.3159,0.1524,0.1076,0.4400,0.0000
2,5,1.0515,0.6443,0.0000,0.2000,0.2222,0.7980,0.2019,0.0954,0.1026,0.0000
2,6,1.2587,0.3677,0.0000,0.3600,0.3556,0.5611,0.0573,0.0985,0.3292,0.0000
2,7,1.3834,0.3041,0.0041,0.1154,0.5196,0.2604,0.4745,0.1021,0.4468,0.0000
2,8,1.5862,0.1295,0.0000,0.3729,0.3357,0.0041,0.2918,0.1412,0.3156,0.0000
2,9,1.4766,0.3632,0.0000,0.0000,0.0400,0.1765,0.6267,0.0000,0.2903,0.0000
2,10,1.6300,0.1112,0.0000,0.3043,0.0833,0.3728,0.0743,0.2264,0.1916,0.0000
2,MEAN,1.3873,0.3166,0.0006,0.2067,0.2710,0.3762,0.2596,0.0933,0.3385,0.0000
3,1,1.0743,0.6131,0.7508,0.0476,0.2000,0.5685,0.6797,0.0150,0.6405,0.0904
3,2,1.1434,0.6099,0.7240,0.1818,0.4500,0.4188,0.1776,0.6679,0.6740,0.3029
3,3,1.1304,0.5269,0.2857,0.7559,0.5818,0.4359,0.3206,0.7246,0.3822,0.4434
3,4,1.0961,0.5872,0.7390,0.3556,0.3765,0.3717,0.3005,0.7514,0.5601,0.3802
3,5,1.0907,0.4655,0.7160,0.4348,0.4444,0.5519,0.3474,0.5279,0.0766,0.0432
3,6,1.0897,0.5345,0.6892,0.5938,0.5556,0.4623,0.1083,0.7148,0.2660,0.3504
3,7,1.0485,0.6476,0.7081,0.2286,0.6359,0.3709,0.6661,0.7655,0.6537,0.0800
