round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.738564,0.313912,0.513171,0.181961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.681207,0.367677,0.538259,0.182533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.033576,0.123508,0.131579,0.224105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.690498,0.403136,0.502692,0.403998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.050355,0.027441,0.140105,0.035015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.925141,0.225458,0.253550,0.371636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.755955,0.298760,0.523883,0.086353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.784190,0.394539,0.389748,0.542565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.795357,0.332621,0.403341,0.448894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.771843,0.309098,0.520590,0.135145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.822669,0.279615,0.391692,0.261220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,8.9962,149.49,9.00,0.6070,3.6445e+04,4.3508e+02,83.7662,0
2,1,1.282406,0.666103,0.800571,0.169954,0.000000,0.000000,0.000000,0.000000,0.121110,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.141128,0.786296,0.881551,0.106195,0.000000,0.000000,0.000000,0.000000,0.126649,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.459188,0.041893,0.055873,0.150568,0.000000,0.000000,0.000000,0.000000,0.135417,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.360919,0.591162,0.738889,0.167354,0.000000,0.000000,0.000000,0.000000,0.134529,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,2.354377,0.037447,0.061572,0.021505,0.000000,0.000000,0.000000,0.000000,0.078008,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.790367,0.142519,0.183483,0.136126,0.000000,0.000000,0.000000,0.000000,0.124208,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.246453,0.685405,0.817372,0.169697,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.736336,0.253107,0.369008,0.158010,0.000000,0.000000,0.000000,0.000000,0.099515,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.723402,0.286973,0.416966,0.160978,0.000000,0.000000,0.000000,0.000000,0.119952,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.333872,0.677706,0.809962,0.153257,0.000000,0.000000,0.000000,0.000000,0.164103,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.642845,0.416861,0.513525,0.139364,0.000000,0.000000,0.000000,0.000000,0.120349,0.000000,0,8,1.0000,8.9962,147.21,9.00,0.6070,3.6982e+04,4.1899e+02,88.2642,0
3,1,1.463011,0.569562,0.744368,0.219709,0.062500,0.000000,0.211808,0.037500,0.288551,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,1.340141,0.637545,0.795684,0.148148,0.000000,0.000000,0.190896,0.086957,0.248387,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,2.330199,0.080096,0.065899,0.191045,0.106825,0.000000,0.144174,0.058252,0.158025,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.571683,0.512473,0.711864,0.206257,0.100358,0.000000,0.279874,0.013158,0.112769,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,2.069222,0.087174,0.075291,0.082840,0.106960,0.000000,0.006403,0.030769,0.234375,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.852584,0.373225,0.241132,0.181665,0.021053,0.000000,0.728302,0.102564,0.325621,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,1.261994,0.650040,0.790123,0.201342,0.095522,0.000000,0.509955,0.000000,0.275676,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,1.906444,0.342552,0.425254,0.206658,0.120063,0.000000,0.553389,0.049689,0.206015,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,1.907348,0.307528,0.437649,0.199575,0.088608,0.000000,0.300142,0.037383,0.268644,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,1.361004,0.616800,0.765835,0.196787,0.092683,0.000000,0.480600,0.060046,0.178117,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,1.706363,0.417699,0.505310,0.183403,0.079457,0.000000,0.340554,0.047632,0.229618,0.000000,0,8,1.0000,8.9962,149.61,9.00,0.6070,3.7528e+04,4.0811e+02,91.9557,0
4,1,1.401838,0.614450,0.785918,0.187919,0.019550,0.000000,0.264317,0.142012,0.267288,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,1.345433,0.713704,0.854736,0.109422,0.005877,0.000000,0.219608,0.166667,0.276699,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,2.071333,0.097460,0.059629,0.163580,0.188371,0.000000,0.303571,0.218263,0.326241,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,1.505656,0.548824,0.731601,0.168847,0.117276,0.000000,0.275000,0.124224,0.257143,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,1.792714,0.159187,0.062627,0.049587,0.265705,0.000000,0.000000,0.143807,0.239209,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,1.709903,0.200864,0.213909,0.148964,0.008155,0.000000,0.252388,0.150000,0.267598,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,1.342167,0.653734,0.792374,0.195804,0.169583,0.000000,0.291667,0.160000,0.249135,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,1.759792,0.275162,0.398162,0.161391,0.122624,0.000000,0.262009,0.119760,0.251748,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,1.702213,0.309931,0.449993,0.167324,0.131895,0.000000,0.287154,0.133333,0.271910,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,1.423009,0.630884,0.782732,0.165631,0.097638,0.000000,0.238771,0.145695,0.319588,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,1.605406,0.420420,0.513168,0.151847,0.112667,0.000000,0.239448,0.150376,0.272656,0.000000,0,8,1.0000,8.9962,149.10,9.00,0.6070,3.8029e+04,4.0448e+02,94.0200,0
5,1,1.158418,0.714220,0.835233,0.365915,0.078947,0.000000,0.634304,0.142012,0.308144,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.846062,0.814187,0.902403,0.366337,0.000000,0.000000,0.543353,0.166667,0.285088,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,2.055185,0.098763,0.062088,0.330275,0.097750,0.000959,0.538922,0.218263,0.213992,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,1.238384,0.650748,0.782308,0.401587,0.106509,0.000000,0.647754,0.124224,0.209524,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,2.400424,0.104760,0.071092,0.077703,0.100132,0.000000,0.315789,0.143807,0.234012,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,2.048964,0.328463,0.236890,0.370615,0.022222,0.000000,0.666159,0.150000,0.305219,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.935571,0.757192,0.863268,0.327434,0.083871,0.000000,0.665590,0.160000,0.296296,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,8,1.867695,0.392613,0.436357,0.400294,0.116197,0.000000,0.670330,0.119760,0.267198,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,9,1.872338,0.393353,0.478778,0.396378,0.092429,0.000000,0.644195,0.133333,0.298629,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.965330,0.738612,0.846005,0.355769,0.100559,0.000000,0.648889,0.145695,0.328125,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,1.538837,0.499291,0.551442,0.339231,0.079862,0.000096,0.597528,0.150376,0.274623,0.000000,0,8,1.0000,8.9962,150.97,9.00,0.6070,3.8522e+04,3.9825e+02,96.7277,0
6,1,1.655665,0.465334,0.566337,0.498476,0.054054,0.000000,0.823834,0.142012,0.343002,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,2,1.750267,0.427662,0.574969,0.561728,0.000000,0.000000,0.797267,0.166667,0.110679,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,3,2.155892,0.150640,0.081413,0.615776,0.103876,0.000000,0.343115,0.218263,0.069049,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,4,1.675285,0.425659,0.555518,0.686382,0.097649,0.000000,0.791878,0.124224,0.073064,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,5,1.950688,0.172984,0.207426,0.120504,0.103539,0.000000,0.023301,0.143807,0.260667,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,6,1.117023,0.660115,0.517419,0.527342,0.025000,0.000000,0.931647,0.150000,0.681847,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,7,1.678643,0.461599,0.600425,0.337778,0.081395,0.000000,0.864596,0.160000,0.167798,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,8,1.416882,0.501663,0.525123,0.677799,0.119298,0.000000,0.879139,0.119760,0.306062,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,9,1.492647,0.457154,0.503374,0.630089,0.091174,0.000000,0.692875,0.133333,0.394596,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,10,1.792471,0.416318,0.566304,0.511443,0.082569,0.000000,0.897260,0.145695,0.052568,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,1.668546,0.413913,0.469831,0.516732,0.075855,0.000000,0.704491,0.150376,0.245933,0.000000,0,8,1.0000,8.9962,146.85,9.00,0.6070,3.8958e+04,3.9859e+02,97.7378,0
7,1,0.950601,0.748194,0.883159,0.428053,0.023346,0.000000,0.248804,0.184971,0.557299,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,2,0.829775,0.803490,0.918201,0.424970,0.000000,0.000000,0.184211,0.166667,0.390196,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,3,2.113895,0.106794,0.070084,0.357616,0.122333,0.000000,0.285714,0.249453,0.123337,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,4,1.046041,0.641340,0.856920,0.450120,0.097701,0.000000,0.251613,0.158537,0.136986,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,5,1.907370,0.169648,0.088910,0.075117,0.124205,0.000000,0.000000,0.177936,0.413765,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,6,1.714394,0.431776,0.337866,0.408527,0.004132,0.000000,0.222108,0.279070,0.589453,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
