round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.758162,0.411007,0.559407,0.488038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.218429,0.508566,0.767327,0.372881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.213091,0.184492,0.047703,0.500462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.443439,0.268184,0.456688,0.371539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.393754,0.098171,0.093543,0.309780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.172975,0.657936,0.408795,0.874669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.447333,0.426717,0.628013,0.282766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.314790,0.563029,0.356070,0.847488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.117971,0.653863,0.649049,0.787979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.301638,0.287180,0.640919,0.181285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.538158,0.405914,0.460751,0.501689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,14.9995,135.50,15.00,0.4862,1.4542e+05,6.9581e+02,208.9976,0
2,1,0.726290,0.779576,0.851523,0.921739,0.906574,0.000000,0.078692,0.962394,0.026230,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.371126,0.935535,0.962569,0.953806,0.993477,0.000000,0.096154,0.960094,0.303797,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.544021,0.337790,0.065421,0.892141,0.829146,0.000000,0.085961,0.925926,0.507002,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.404065,0.932743,0.881654,0.966286,0.995236,0.000000,0.067797,0.958288,0.853527,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.141287,0.621511,0.280778,0.807525,0.976048,0.000000,0.094159,0.955506,0.051044,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.404320,0.898612,0.755111,0.990609,0.961255,0.000000,0.126126,0.839506,0.839852,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.450073,0.917732,0.947680,0.901899,0.994401,0.000000,0.108434,0.949153,0.859052,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.407022,0.894986,0.762770,0.989920,0.967742,0.000000,0.067200,0.953089,0.842376,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.319375,0.935261,0.912655,0.989889,0.984221,0.000000,0.131868,0.952113,0.301887,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.354961,0.952607,0.946572,0.931142,0.996616,0.000000,0.107143,0.962712,0.895969,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.612254,0.820635,0.736673,0.934496,0.960471,0.000000,0.096353,0.941878,0.548073,0.000000,0,8,1.0000,14.9995,131.93,15.00,0.4862,1.5114e+05,6.0166e+02,251.2055,0
3,1,0.537598,0.784905,0.860374,0.976673,0.981273,0.227053,0.091932,0.957140,0.029685,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.226169,0.940745,0.966876,0.974834,0.996152,0.320856,0.113139,0.956419,0.334764,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.314653,0.348103,0.067182,0.992948,0.979351,0.122677,0.092049,0.909091,0.513542,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.235896,0.941635,0.898656,0.978427,0.997099,0.361516,0.032362,0.958554,0.880196,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.844951,0.641963,0.301946,0.921311,0.996942,0.303030,0.090177,0.955265,0.063830,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.268028,0.913699,0.799293,0.993105,0.981168,0.319419,0.036697,0.804598,0.846898,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.307982,0.924121,0.950528,0.935961,0.995516,0.000000,0.082051,0.955894,0.894608,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.292790,0.900826,0.775056,0.996628,0.982483,0.105263,0.064706,0.953688,0.865125,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.184164,0.942814,0.925815,0.994481,0.991725,0.318182,0.084211,0.949296,0.311321,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.208747,0.956806,0.951993,0.942498,0.997445,0.074074,0.085837,0.964467,0.912251,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.442098,0.829562,0.749772,0.970687,0.989915,0.215207,0.077316,0.936441,0.565222,0.000000,0,8,1.0000,14.9995,133.76,15.00,0.4862,1.5629e+05,5.8123e+02,268.8933,0
4,1,0.438755,0.833640,0.894697,0.976300,0.981273,0.535797,0.369980,0.979937,0.030189,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.200634,0.947103,0.969722,0.975804,0.997310,0.644860,0.356275,0.971687,0.366197,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.182675,0.471225,0.092884,0.993308,0.988166,0.308756,0.374007,0.400000,0.486199,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.196427,0.952718,0.911953,0.978820,0.997566,0.604010,0.244604,0.979701,0.907422,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.681244,0.741097,0.395469,0.916803,0.996942,0.570946,0.401384,0.976268,0.077170,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.256687,0.932408,0.823856,0.993106,0.983051,0.643068,0.244186,0.711538,0.898820,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.256899,0.931510,0.955946,0.932897,0.996641,0.000000,0.305882,0.980545,0.898357,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.248367,0.917137,0.819178,0.996730,0.983257,0.250000,0.337821,0.973961,0.866582,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.164649,0.955762,0.935509,0.994981,0.993719,0.641686,0.349206,0.967480,0.458333,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.183133,0.956866,0.954252,0.943770,0.998068,0.100000,0.293194,0.963934,0.914322,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.380947,0.863947,0.775347,0.970252,0.991599,0.429912,0.327654,0.890505,0.590359,0.000000,0,8,1.0000,14.9995,132.06,15.00,0.4862,1.6004e+05,5.8482e+02,273.6597,0
5,1,0.442540,0.844879,0.899278,0.976691,0.984962,0.406877,0.423913,0.994542,0.027634,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.177396,0.953462,0.974853,0.975820,0.997116,0.491803,0.432927,0.987599,0.337662,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.287520,0.481411,0.091979,0.992943,0.979472,0.300319,0.400000,0.549451,0.484768,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.189280,0.954530,0.913674,0.978421,0.997307,0.464730,0.378378,0.992593,0.896148,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.734579,0.739172,0.382643,0.919804,0.996942,0.439689,0.421886,0.990644,0.064690,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.276140,0.925649,0.813911,0.993709,0.987678,0.480929,0.330935,0.778947,0.874129,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.230592,0.940495,0.960331,0.935961,0.998883,0.000000,0.351220,0.999231,0.896175,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
