round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.487202,0.407131,0.579754,0.000000,0.000000,0.000000,0.000000,0.000000,0.228571,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.353982,0.541416,0.702569,0.000000,0.000000,0.000000,0.000000,0.000000,0.520548,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.041654,0.056277,0.033514,0.000000,0.000000,0.000000,0.000000,0.000000,0.495673,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.736930,0.213906,0.299861,0.000000,0.000000,0.000000,0.000000,0.000000,0.556949,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.996828,0.048845,0.090846,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.624913,0.167532,0.209377,0.000000,0.000000,0.000000,0.000000,0.000000,0.548276,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.260384,0.580272,0.710007,0.000000,0.000000,0.000000,0.000000,0.000000,0.555740,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.586469,0.180326,0.231314,0.000000,0.000000,0.000000,0.000000,0.000000,0.518045,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.616722,0.202633,0.334686,0.000000,0.000000,0.000000,0.000000,0.000000,0.745763,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.581752,0.375607,0.503673,0.000000,0.000000,0.000000,0.000000,0.000000,0.567216,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.628684,0.277395,0.369560,0.000000,0.000000,0.000000,0.000000,0.000000,0.513678,0.000000,0,8,1.0000,8.9975,134.10,9.00,0.5789,1.4450e+05,6.8559e+02,210.7700,0
2,1,0.870986,0.708652,0.817783,0.966627,0.721311,0.000000,0.054109,0.935932,0.008914,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.499186,0.866037,0.908704,0.977015,0.979868,0.000000,0.069231,0.933655,0.065878,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.561617,0.332315,0.093081,0.957319,0.829630,0.000000,0.056402,0.888889,0.348584,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.364262,0.914834,0.846416,0.983502,0.989516,0.000000,0.068966,0.928947,0.797161,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.164501,0.585900,0.313027,0.952715,0.926554,0.000000,0.053913,0.926941,0.028200,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.429953,0.884007,0.816887,0.983179,0.831746,0.000000,0.037383,0.804878,0.789474,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.526769,0.864417,0.891399,0.982456,0.964478,0.000000,0.071429,0.932787,0.757310,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.423230,0.874043,0.761973,0.979605,0.868403,0.000000,0.038035,0.929198,0.809365,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.395766,0.897497,0.884995,0.984273,0.944045,0.000000,0.059925,0.941679,0.105754,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.341433,0.923331,0.896585,0.981132,0.991869,0.000000,0.082192,0.931937,0.815951,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.657770,0.785103,0.723085,0.974782,0.904742,0.000000,0.059158,0.915484,0.452659,0.000000,0,8,1.0000,8.9975,132.80,9.00,0.5789,1.5037e+05,5.9410e+02,253.1024,0
3,1,0.598018,0.785389,0.916955,0.975048,0.960000,0.106007,0.060135,0.983229,0.011042,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.293856,0.929883,0.971685,0.975968,0.996936,0.197368,0.085437,0.969765,0.138748,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.497743,0.338299,0.124363,0.989011,0.949153,0.142259,0.062310,0.347222,0.311192,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.208203,0.947408,0.926586,0.981479,0.998089,0.164745,0.048485,0.985338,0.844322,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.859158,0.652551,0.480503,0.918740,0.990881,0.157895,0.072954,0.976521,0.029536,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.295896,0.907785,0.871015,0.990071,0.954463,0.112266,0.037736,0.642857,0.804940,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.306198,0.929313,0.956224,0.951586,1.000000,0.000000,0.077922,0.990069,0.856009,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
