round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.748456,0.414010,0.686369,0.818671,0.616822,0.000000,0.000000,0.000000,0.002498,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.296819,0.723154,0.785019,0.874255,0.967670,0.000000,0.000000,0.000000,0.025199,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.313533,0.262287,0.062566,0.753606,0.710359,0.000000,0.000000,0.000000,0.289710,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.295021,0.740792,0.635756,0.918957,0.981186,0.000000,0.000000,0.000000,0.442838,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.163826,0.177334,0.201192,0.705405,0.917483,0.000000,0.000000,0.000000,0.011916,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.279110,0.780205,0.539966,0.939448,0.692664,0.000000,0.000000,0.000000,0.643384,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.360174,0.618211,0.743947,0.806202,0.949153,0.000000,0.000000,0.000000,0.422328,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.343544,0.700866,0.533209,0.935068,0.772430,0.000000,0.000000,0.000000,0.520839,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.281038,0.789059,0.709045,0.940808,0.888497,0.000000,0.000000,0.000000,0.056777,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.189914,0.812586,0.741175,0.880480,0.989233,0.000000,0.000000,0.000000,0.549624,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.527143,0.601850,0.563824,0.857290,0.848550,0.000000,0.000000,0.000000,0.296511,0.000000,0,8,1.0000,0.4942,315.20,0.50,2.3413,1.9395e+09,6.3430e+02,3057760.0269,0
2,1,1.066453,0.763589,0.799920,0.844874,0.891156,0.000000,0.000000,0.976309,0.078125,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.628595,0.914694,0.935693,0.882905,0.992378,0.000000,0.000000,0.966628,0.640777,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.114153,0.298829,0.050900,0.827077,0.930362,0.000000,0.000000,0.714286,0.697137,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.519378,0.919132,0.823771,0.947396,0.996492,0.000000,0.000000,0.974874,0.825680,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.432501,0.622233,0.231476,0.717029,0.966027,0.000000,0.000000,0.969466,0.275862,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.574509,0.877489,0.669750,0.984193,0.950136,0.000000,0.000000,0.744681,0.827075,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.685983,0.882388,0.904140,0.767568,0.991150,0.000000,0.000000,0.973995,0.822028,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.596521,0.873842,0.685748,0.980602,0.963569,0.000000,0.000000,0.971364,0.817366,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.510546,0.926953,0.867369,0.980911,0.983692,0.000000,0.000000,0.962861,0.815789,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.501652,0.927470,0.904110,0.855043,0.998002,0.000000,0.000000,0.981697,0.846475,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.863029,0.800662,0.687288,0.878760,0.966296,0.000000,0.000000,0.923616,0.664631,0.000000,0,8,1.0000,0.4942,306.50,0.50,2.3413,1.9367e+09,6.0386e+02,3207252.7364,0
3,1,0.811918,0.783064,0.850261,0.901580,0.894198,0.000000,0.000000,0.983353,0.031373,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.446717,0.931915,0.959370,0.935798,0.992754,0.000000,0.000000,0.969967,0.365385,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.873165,0.307996,0.065377,0.858658,0.875000,0.000000,0.000000,0.301205,0.503123,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.321348,0.940329,0.878927,0.960419,0.995726,0.000000,0.000000,0.988906,0.894009,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,1.102899,0.637151,0.276748,0.764622,0.973214,0.000000,0.000000,0.979062,0.080537,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.423154,0.891491,0.740954,0.981394,0.907359,0.000000,0.000000,0.692308,0.881213,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.460956,0.929113,0.951315,0.880878,0.995556,0.000000,0.000000,0.995392,0.887531,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.421624,0.894080,0.780645,0.979395,0.914205,0.000000,0.000000,0.981481,0.859705,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.361707,0.926413,0.896196,0.980016,0.963271,0.000000,0.000000,0.977120,0.456376,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.321443,0.954106,0.947292,0.913428,0.998417,0.000000,0.000000,0.985413,0.906942,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.654493,0.819566,0.734708,0.915619,0.950970,0.000000,0.000000,0.885421,0.586619,0.000000,0,8,1.0000,0.4942,325.39,0.50,2.3413,1.9403e+09,5.9626e+02,3254167.8876,0
4,1,0.782321,0.779866,0.854002,0.936728,0.894915,0.000000,0.000000,0.986399,0.021680,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
