round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.800739,0.486096,0.636506,0.879909,0.000000,0.000000,0.000000,0.000000,0.007442,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.459788,0.615507,0.876783,0.494362,0.000000,0.000000,0.000000,0.000000,0.050562,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.548407,0.223835,0.038851,0.891349,0.000000,0.000000,0.000000,0.000000,0.486968,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.553422,0.346861,0.595972,0.400048,0.000000,0.000000,0.000000,0.000000,0.471571,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.227475,0.106593,0.108737,0.564655,0.000000,0.000000,0.000000,0.000000,0.029575,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.477688,0.719010,0.489724,0.905151,0.000000,0.000000,0.000000,0.000000,0.559322,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.441228,0.600839,0.779020,0.514890,0.000000,0.000000,0.000000,0.000000,0.460681,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.517034,0.633709,0.447120,0.898703,0.000000,0.000000,0.000000,0.000000,0.496136,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.493697,0.676413,0.714436,0.822923,0.000000,0.000000,0.000000,0.000000,0.136223,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.462671,0.414782,0.805650,0.208751,0.000000,0.000000,0.000000,0.000000,0.533464,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.698215,0.482365,0.549280,0.658074,0.000000,0.000000,0.000000,0.000000,0.323194,0.000000,0,8,1.0000,0.1953,650.22,0.20,5.1758,1.9300e+09,6.1945e+02,3115612.0329,0
2,1,1.663302,0.282531,0.490219,0.853033,0.526946,0.000000,0.000000,0.000000,0.002656,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.000446,0.569145,0.571942,0.881153,0.949153,0.000000,0.000000,0.000000,0.018471,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.679631,0.283168,0.044797,0.821927,0.605405,0.000000,0.000000,0.000000,0.333680,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.897312,0.718078,0.527778,0.904975,0.969096,0.000000,0.000000,0.000000,0.481039,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,2.213932,0.162897,0.189956,0.781250,0.897401,0.000000,0.000000,0.000000,0.008915,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.917031,0.753893,0.483257,0.912817,0.559530,0.000000,0.000000,0.000000,0.682970,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.066346,0.509185,0.557162,0.835616,0.928497,0.000000,0.000000,0.000000,0.416493,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.992521,0.688280,0.455134,0.918942,0.656234,0.000000,0.000000,0.000000,0.590052,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.914158,0.710833,0.540696,0.921310,0.810303,0.000000,0.000000,0.000000,0.036464,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.791146,0.756554,0.561665,0.879530,0.984069,0.000000,0.000000,0.000000,0.555787,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.313582,0.543456,0.442260,0.871055,0.788663,0.000000,0.000000,0.000000,0.312653,0.000000,0,8,1.0000,0.1953,648.74,0.20,5.1758,1.9362e+09,6.0255e+02,3213379.3891,0
3,1,1.242990,0.713787,0.810714,0.865995,0.581498,0.000000,0.000000,0.930561,0.014273,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.772759,0.875397,0.920790,0.902703,0.960354,0.000000,0.000000,0.932854,0.103862,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,2.267715,0.293481,0.064768,0.829967,0.681542,0.000000,0.000000,0.738462,0.417953,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.604745,0.908217,0.842545,0.936069,0.977962,0.000000,0.000000,0.937128,0.824549,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,1.619715,0.581809,0.270310,0.784074,0.879357,0.000000,0.000000,0.930496,0.038732,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.689516,0.843331,0.767463,0.948436,0.668794,0.000000,0.000000,0.711111,0.812548,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.778168,0.872604,0.902829,0.869281,0.942166,0.000000,0.000000,0.931148,0.799138,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.694228,0.843435,0.732330,0.946521,0.747126,0.000000,0.000000,0.923709,0.821385,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.664375,0.874838,0.880250,0.949640,0.868315,0.000000,0.000000,0.925926,0.159204,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.573319,0.927830,0.910876,0.912512,0.988357,0.000000,0.000000,0.943396,0.845455,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.990753,0.773473,0.710288,0.894520,0.829547,0.000000,0.000000,0.890479,0.483710,0.000000,0,8,1.0000,0.1953,651.74,0.20,5.1758,1.9432e+09,5.9965e+02,3240561.9582,0
4,1,0.978316,0.766108,0.847742,0.921283,0.885135,0.000000,0.000000,0.975020,0.018120,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.595029,0.916372,0.950785,0.940719,0.988541,0.000000,0.000000,0.971429,0.169565,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,2.034774,0.307359,0.068281,0.896193,0.885333,0.000000,0.000000,0.490196,0.418485,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.435034,0.931563,0.878917,0.957818,0.992260,0.000000,0.000000,0.972944,0.851496,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,1.294359,0.621270,0.298905,0.802963,0.953216,0.000000,0.000000,0.969268,0.045113,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.530419,0.891973,0.787579,0.983939,0.906876,0.000000,0.000000,0.707071,0.821429,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.586029,0.910144,0.932857,0.900958,0.985572,0.000000,0.000000,0.975000,0.849971,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.511752,0.890052,0.768328,0.983179,0.921429,0.000000,0.000000,0.969291,0.840310,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.489950,0.922637,0.910947,0.983791,0.965517,0.000000,0.000000,0.960219,0.198758,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.433773,0.944748,0.935436,0.911326,0.995931,0.000000,0.000000,0.969005,0.881229,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.788943,0.810223,0.737978,0.928217,0.947981,0.000000,0.000000,0.895944,0.509447,0.000000,0,8,1.0000,0.1953,655.66,0.20,5.1758,1.9542e+09,5.9580e+02,3279978.7321,0
5,1,0.850336,0.775991,0.849938,0.965491,0.966790,0.000000,0.000000,0.978925,0.018846,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.508974,0.924497,0.956856,0.960341,0.989181,0.000000,0.000000,0.971623,0.189781,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.885862,0.309142,0.066868,0.963989,0.926136,0.000000,0.000000,0.490196,0.418444,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.373307,0.931100,0.883073,0.954479,0.988282,0.000000,0.000000,0.979011,0.855004,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,1.146402,0.627526,0.289572,0.877419,0.980333,0.000000,0.000000,0.974387,0.045889,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.456374,0.895957,0.783760,0.988070,0.938924,0.000000,0.000000,0.654545,0.825000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.497769,0.919728,0.942207,0.923077,0.984234,0.000000,0.000000,0.981337,0.863744,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.433415,0.895187,0.770418,0.989325,0.937042,0.000000,0.000000,0.977336,0.841646,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.410328,0.927385,0.914588,0.987734,0.971091,0.000000,0.000000,0.964865,0.214984,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.378324,0.944448,0.942445,0.899827,0.990063,0.000000,0.000000,0.970588,0.887309,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,0.694109,0.815096,0.739972,0.950975,0.967208,0.000000,0.000000,0.894281,0.516065,0.000000,0,8,1.0000,0.1953,632.90,0.20,5.1758,1.9426e+09,5.9493e+02,3265331.5178,0
6,1,0.804805,0.771049,0.867729,0.975200,0.984962,0.000000,0.000000,0.975354,0.013491,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.478152,0.915578,0.951442,0.973545,0.995766,0.000000,0.000000,0.963128,0.125201,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,3,1.819925,0.311179,0.078444,0.983837,0.953757,0.000000,0.000000,0.224215,0.366401,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0.332205,0.936115,0.885417,0.973473,0.995546,0.000000,0.000000,0.983723,0.838652,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,5,1.081355,0.633782,0.333919,0.899023,0.987842,0.000000,0.000000,0.975233,0.035242,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,6,0.423781,0.898371,0.783978,0.990993,0.964815,0.000000,0.000000,0.654867,0.817378,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,7,0.472370,0.912740,0.937571,0.940397,0.994401,0.000000,0.000000,0.985373,0.828204,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,8,0.394861,0.898409,0.791751,0.993240,0.961194,0.000000,0.000000,0.973268,0.818563,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,9,0.370795,0.928464,0.914550,0.992056,0.984221,0.000000,0.000000,0.956059,0.183288,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,10,0.345342,0.944208,0.935933,0.938959,0.996407,0.000000,0.000000,0.956938,0.865629,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,0.652359,0.814989,0.748074,0.966072,0.981891,0.000000,0.000000,0.864816,0.489205,0.000000,0,8,1.0000,0.1953,643.53,0.20,5.1758,1.9371e+09,5.9707e+02,3244392.8879,0
7,1,0.772359,0.758938,0.862775,0.974790,0.969925,0.000000,0.000000,0.980031,0.011127,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,2,0.478090,0.895532,0.934916,0.968061,0.992281,0.000000,0.000000,0.971751,0.090487,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,3,1.678849,0.311052,0.086194,0.985169,0.931034,0.000000,0.000000,0.326797,0.338497,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,4,0.322723,0.929035,0.874379,0.966409,0.992369,0.000000,0.000000,0.982083,0.820451,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,5,1.014383,0.630173,0.349533,0.903120,0.986343,0.000000,0.000000,0.975858,0.033333,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,6,0.407652,0.896560,0.781207,0.990392,0.958295,0.000000,0.000000,0.692308,0.810669,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,7,0.472973,0.893171,0.919992,0.940397,0.993274,0.000000,0.000000,0.984496,0.781609,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,8,0.373485,0.895087,0.792453,0.992312,0.952452,0.000000,0.000000,0.976309,0.803587,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,9,0.362561,0.918213,0.898292,0.990153,0.977924,0.000000,0.000000,0.962162,0.143460,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,10,0.342414,0.934669,0.923688,0.926418,0.994254,0.000000,0.000000,0.969106,0.842350,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,MEAN,0.622549,0.806243,0.742343,0.963722,0.974815,0.000000,0.000000,0.882090,0.467557,0.000000,0,8,1.0000,0.1953,651.26,0.20,5.1758,1.9398e+09,5.9345e+02,3268665.7918,0
8,1,0.714498,0.773472,0.876131,0.970800,0.984733,0.000000,0.000000,0.978082,0.013147,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,2,0.420953,0.918050,0.957497,0.963714,0.991294,0.000000,0.000000,0.963046,0.133106,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,3,1.604092,0.310924,0.084080,0.972935,0.950147,0.000000,0.000000,0.297619,0.350768,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,4,0.297251,0.932280,0.889324,0.962179,0.990785,0.000000,0.000000,0.975912,0.839736,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,5,0.966613,0.629692,0.343270,0.889600,0.984663,0.000000,0.000000,0.971383,0.033195,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,6,0.377107,0.898853,0.789521,0.991506,0.969014,0.000000,0.000000,0.626087,0.813195,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,7,0.431715,0.914537,0.941667,0.931148,0.988739,0.000000,0.000000,0.986090,0.830595,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,8,0.347325,0.898409,0.796247,0.993666,0.966667,0.000000,0.000000,0.973092,0.811559,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,9,0.318884,0.929219,0.919086,0.992075,0.984768,0.000000,0.000000,0.954545,0.180851,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,10,0.310101,0.942708,0.940133,0.911777,0.992227,0.000000,0.000000,0.969106,0.869796,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
8,MEAN,0.578854,0.814814,0.753695,0.957940,0.980304,0.000000,0.000000,0.869496,0.487595,0.000000,0,8,1.0000,0.1953,650.82,0.20,5.1758,1.9443e+09,5.9774e+02,3252778.8613,0
9,1,0.821247,0.739173,0.871383,0.977846,0.984733,0.000000,0.000000,0.939840,0.008919,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,2,0.525727,0.868156,0.920041,0.954634,0.983434,0.000000,0.000000,0.850147,0.069767,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,3,1.754831,0.313216,0.131625,0.988368,0.940828,0.000000,0.000000,0.070225,0.313362,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,4,0.320136,0.914581,0.859029,0.946779,0.983748,0.000000,0.000000,0.963052,0.798628,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,5,1.024611,0.631376,0.455243,0.908497,0.979969,0.000000,0.000000,0.943261,0.028634,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,6,0.380637,0.893905,0.792118,0.991410,0.964995,0.000000,0.000000,0.493333,0.791591,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,7,0.509860,0.871805,0.903421,0.926829,0.981818,0.000000,0.000000,0.956652,0.751229,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,8,0.358260,0.892569,0.800753,0.994074,0.962624,0.000000,0.000000,0.936259,0.790580,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,9,0.357998,0.907315,0.885029,0.990293,0.977614,0.000000,0.000000,0.905422,0.113333,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
9,10,0.364718,0.910073,0.900873,0.870901,0.984047,0.000000,0.000000,0.838440,0.808103,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
