dataset,file,class_columns_used,epsilon_target,epsilon_spent,dp_noise_multiplier,n_rounds,best_macro_f1,best_round,best_accuracy,final_macro_f1,final_round,final_accuracy,final_loss,krum_detected_byzantine_final,krum_score_ratio_final,duplicate_epsilon_flag
application,results_application_gaussian_dp0p2.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",0.2,0.1951,6.0547,25,0.262955,23,0.469381,0.246241,25,0.371913,1.670863,1.0,1741818.0323,
application,results_application_gaussian_dp0p3.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",0.3,0.2948,4.1797,25,0.372926,22,0.516201,0.336638,25,0.482057,1.41061,1.0,1748883.0379,
application,results_application_gaussian_dp0p4.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",0.4,0.3962,3.2422,25,0.400337,19,0.635788,0.238248,25,0.302924,2.536537,1.0,1752181.8836,
application,results_application_gaussian_dp0_5.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",0.5,0.4949,2.6953,25,0.417261,25,0.656961,0.417261,25,0.656961,1.056797,1.0,1735184.3966,
application,results_application_gaussian_dp1.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",1.0,0.9949,1.5985,25,0.464026,23,0.680513,0.447505,25,0.615718,1.240415,1.0,1747757.423,
application,results_application_gaussian_dp2.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",2.0,1.9944,1.0933,25,0.539752,25,0.715871,0.539752,25,0.715871,0.827211,1.0,1757475.0448,
application,results_application_gaussian_dp3.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",3.0,2.9931,0.9183,25,0.529067,19,0.747554,0.509523,25,0.722046,0.812015,1.0,1763514.9459,
application,results_application_gaussian_dp4.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",4.0,3.9948,0.8192,25,0.56025,25,0.734348,0.56025,25,0.734348,0.761403,1.0,1768028.1886,
application,results_application_gaussian_dp5.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",5.0,4.995,0.7526,25,0.624818,25,0.789306,0.624818,25,0.789306,0.582778,1.0,1758899.3287,
application,results_application_gaussian_dp6.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",6.0,5.9954,0.7033,25,0.574057,23,0.744579,0.556631,25,0.697421,0.839487,1.0,1771206.9142,
application,results_application_gaussian_dp7.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",7.0,6.9935,0.6647,25,0.593832,24,0.736883,0.577859,25,0.695217,0.840612,1.0,1764920.8122,
application,results_application_gaussian_dp8.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",8.0,7.9959,0.6333,25,0.615774,25,0.754154,0.615774,25,0.754154,0.723305,1.0,1767636.8136,
application,results_application_gaussian_dp09.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",9.0,8.9962,0.607,25,0.670818,24,0.820769,0.650878,25,0.817155,0.526012,1.0,1778933.5979,
application,results_application_gaussian_dp10.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",10.0,9.996,0.5846,25,0.632986,25,0.7951,0.632986,25,0.7951,0.551536,1.0,1764669.3636,
application,results_application_gaussian_dp11.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",11.0,10.9951,0.5652,25,0.637876,23,0.795445,0.576176,25,0.735515,0.787735,1.0,1776808.4449,
application,results_application_gaussian_dp12.csv,"Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting",12.0,11.9945,0.548,25,0.60793,25,0.753944,0.60793,25,0.753944,0.695284,1.0,1762738.1303,
