round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.670385,0.432807,0.503937,0.000000,0.116071,0.000000,0.000000,0.640140,0.010526,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.522636,0.310314,0.536924,0.000000,0.173351,0.000000,0.000000,0.146995,0.061856,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.415844,0.109244,0.062721,0.000000,0.206897,0.000000,0.000000,0.015323,0.417785,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.554821,0.332575,0.376538,0.000000,0.162536,0.000000,0.000000,0.337315,0.784085,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.838636,0.479548,0.276163,0.000000,0.134328,0.000000,0.000000,0.760114,0.037866,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.154541,0.190706,0.134810,0.000000,0.148876,0.000000,0.000000,0.050859,0.793218,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.334116,0.520767,0.574097,0.000000,0.165067,0.000000,0.000000,0.453846,0.711703,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.968669,0.292086,0.171253,0.000000,0.149693,0.000000,0.000000,0.505281,0.803039,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.077857,0.144260,0.219045,0.000000,0.149168,0.000000,0.000000,0.219203,0.112478,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.408165,0.328334,0.538820,0.000000,0.158389,0.000000,0.000000,0.063202,0.775371,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.794567,0.314064,0.339431,0.000000,0.156438,0.000000,0.000000,0.319228,0.450793,0.000000,0,8,1.0000,6.9968,160.77,7.00,0.6316,1.4726e+05,6.7439e+02,218.3551,0
2,1,0.841818,0.753706,0.789077,0.967157,0.948207,0.000000,0.000000,0.918509,0.066390,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.420216,0.907806,0.950717,0.885757,0.935405,0.000000,0.000000,0.924939,0.548148,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.719163,0.305704,0.050199,0.967146,0.929936,0.000000,0.000000,0.867925,0.644052,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.437776,0.880995,0.831280,0.862162,0.942038,0.000000,0.000000,0.919705,0.877172,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.291378,0.571222,0.200103,0.860643,0.953748,0.000000,0.000000,0.914747,0.151724,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.419551,0.891008,0.700967,0.989777,0.948847,0.000000,0.000000,0.673913,0.872953,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.495290,0.897364,0.923989,0.872894,0.940898,0.000000,0.000000,0.917706,0.876433,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.450764,0.879480,0.699742,0.991192,0.941368,0.000000,0.000000,0.911468,0.861486,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.350485,0.918213,0.876245,0.980365,0.943687,0.000000,0.000000,0.910405,0.588235,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.378506,0.905273,0.934647,0.713995,0.945211,0.000000,0.000000,0.920635,0.891203,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.680495,0.791077,0.695697,0.909109,0.942935,0.000000,0.000000,0.887995,0.637780,0.000000,0,8,1.0000,6.9968,156.04,7.00,0.6316,1.5244e+05,5.9391e+02,256.6817,0
3,1,0.624996,0.778219,0.823391,0.975257,0.980695,0.000000,0.001049,0.970788,0.039120,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.308742,0.932798,0.956303,0.958780,0.986376,0.000000,0.000000,0.966474,0.443182,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.493943,0.311052,0.055691,0.991213,0.966767,0.000000,0.001959,0.862069,0.531702,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.278383,0.930131,0.868768,0.954047,0.987230,0.000000,0.000000,0.967754,0.894808,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.951245,0.617661,0.235507,0.910859,0.987654,0.000000,0.000000,0.964100,0.096774,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.343402,0.901147,0.720828,0.993021,0.980769,0.000000,0.018868,0.686275,0.891089,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.341565,0.924920,0.947815,0.920840,0.987571,0.000000,0.000000,0.972376,0.889982,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.322419,0.900222,0.751463,0.996634,0.982239,0.000000,0.000000,0.966723,0.867205,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.263086,0.934398,0.890655,0.992107,0.983540,0.000000,0.000000,0.959016,0.476923,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.251773,0.946368,0.946999,0.881612,0.986951,0.000000,0.000000,0.971429,0.909170,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.517956,0.817691,0.719742,0.957437,0.982979,0.000000,0.002188,0.928700,0.603995,0.000000,0,8,1.0000,6.9968,149.22,7.00,0.6316,1.5660e+05,5.8866e+02,266.0196,0
4,1,0.589109,0.780157,0.806234,0.975628,0.972763,0.000000,0.067662,0.962215,0.100719,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.303905,0.922466,0.952641,0.921973,0.961722,0.000000,0.057471,0.961313,0.649123,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.298822,0.333079,0.048885,0.990189,0.953271,0.000000,0.079834,0.909091,0.737124,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.321768,0.907375,0.857266,0.907534,0.965956,0.000000,0.041494,0.959009,0.875567,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.924998,0.619346,0.219966,0.896332,0.970173,0.000000,0.073442,0.958806,0.247423,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.325087,0.894387,0.704510,0.991943,0.969518,0.000000,0.135593,0.744681,0.869796,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.352747,0.913339,0.937443,0.900474,0.970115,0.000000,0.034884,0.959233,0.880711,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.316961,0.893677,0.719552,0.995121,0.969072,0.000000,0.091743,0.959682,0.870902,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.249599,0.929327,0.882423,0.986987,0.965399,0.000000,0.074074,0.958449,0.705882,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.284451,0.923151,0.936288,0.786677,0.966244,0.000000,0.104348,0.955631,0.891067,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.496745,0.811630,0.706521,0.935286,0.966423,0.000000,0.076054,0.932811,0.682831,0.000000,0,8,1.0000,6.9968,152.37,7.00,0.6316,1.6000e+05,5.8909e+02,271.6121,0
5,1,0.523897,0.816200,0.884664,0.977117,0.988506,0.401639,0.261021,0.970341,0.032258,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.260093,0.939774,0.972766,0.943469,0.976817,0.474886,0.258278,0.972222,0.400000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.268187,0.421059,0.084848,0.991231,0.962963,0.211454,0.266238,0.892857,0.499828,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.256987,0.932954,0.913623,0.928272,0.975863,0.571069,0.101695,0.967323,0.901946,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.790877,0.697786,0.351768,0.902087,0.979782,0.503226,0.265888,0.965706,0.082474,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.242083,0.931080,0.834101,0.992733,0.977561,0.602699,0.212121,0.736842,0.902542,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.297111,0.929513,0.958193,0.907643,0.976000,0.000000,0.250000,0.972376,0.894161,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.279824,0.911498,0.808624,0.995830,0.974763,0.206186,0.244233,0.969049,0.867070,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.195525,0.949612,0.944331,0.989641,0.974881,0.594848,0.231454,0.961433,0.461538,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.240330,0.941988,0.958345,0.831816,0.976882,0.129032,0.269091,0.967960,0.914457,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,0.435491,0.847146,0.771126,0.945984,0.976402,0.369504,0.236002,0.937611,0.595628,0.000000,0,8,1.0000,6.9968,154.93,7.00,0.6316,1.6292e+05,5.8785e+02,277.1461,0
6,1,0.629062,0.781610,0.856325,0.974886,0.968750,0.015444,0.190271,0.932196,0.028777,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.283750,0.924585,0.965009,0.921397,0.961308,0.016000,0.197694,0.934940,0.371429,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,3,1.381401,0.390756,0.068890,0.989496,0.946708,0.000000,0.218245,0.909091,0.503992,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0.352147,0.906237,0.887156,0.903162,0.963796,0.021739,0.073753,0.932734,0.887759,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,5,1.053972,0.620789,0.289103,0.890650,0.965300,0.026042,0.204593,0.929730,0.069767,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,6,0.296606,0.906216,0.771855,0.991844,0.968504,0.043668,0.201835,0.758621,0.890008,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,7,0.331842,0.917332,0.953795,0.899054,0.970115,0.000000,0.120930,0.932787,0.887145,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,8,0.324400,0.900624,0.781050,0.994919,0.967434,0.000000,0.194667,0.926686,0.861675,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,9,0.243803,0.928464,0.916522,0.986791,0.964690,0.007067,0.131507,0.928161,0.380952,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,10,0.279742,0.929930,0.953503,0.779674,0.964622,0.000000,0.219608,0.931937,0.911733,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,0.517672,0.820654,0.744321,0.933187,0.964123,0.012996,0.175310,0.911688,0.579324,0.000000,0,8,1.0000,6.9968,153.93,7.00,0.6316,1.6618e+05,5.9312e+02,280.1784,0
7,1,0.634817,0.788780,0.880008,0.976744,0.988506,0.077821,0.180983,0.953602,0.017778,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,2,0.279691,0.932886,0.970656,0.950756,0.981221,0.130435,0.193012,0.949352,0.251613,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,3,1.386605,0.389992,0.085734,0.991927,0.969325,0.065789,0.203953,0.892857,0.408561,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,4,0.279642,0.929246,0.908382,0.940692,0.981470,0.100000,0.080229,0.955649,0.890140,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,5,1.036897,0.636670,0.334489,0.910859,0.986090,0.096939,0.164009,0.951402,0.045936,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
7,6,0.311868,0.913579,0.827903,0.993722,0.987440,0.068522,0.144231,0.714286,0.869976,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
