round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.839312,0.490166,0.658237,0.896678,0.000000,0.000000,0.000000,0.000000,0.006897,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.479822,0.617803,0.882288,0.508214,0.000000,0.000000,0.000000,0.000000,0.048843,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.475039,0.235167,0.038556,0.911647,0.000000,0.000000,0.000000,0.000000,0.476493,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.532060,0.353519,0.625322,0.414610,0.000000,0.000000,0.000000,0.000000,0.440410,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.257200,0.109240,0.119622,0.580781,0.000000,0.000000,0.000000,0.000000,0.018935,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.421643,0.746651,0.522350,0.928688,0.000000,0.000000,0.000000,0.000000,0.564449,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.492836,0.598243,0.787370,0.518868,0.000000,0.000000,0.000000,0.000000,0.437355,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.472393,0.655256,0.484412,0.918526,0.000000,0.000000,0.000000,0.000000,0.477461,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.440741,0.701122,0.760045,0.845970,0.000000,0.000000,0.000000,0.000000,0.128686,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.450835,0.418021,0.812158,0.217230,0.000000,0.000000,0.000000,0.000000,0.537170,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.686188,0.492519,0.569036,0.674121,0.000000,0.000000,0.000000,0.000000,0.313670,0.000000,0,8,1.0000,0.1953,531.78,0.20,5.1758,1.4758e+05,6.1983e+02,238.0940,0
2,1,1.618896,0.201628,0.281496,0.943706,0.676923,0.000000,0.000000,0.000000,0.002056,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.144690,0.455669,0.305279,0.960055,0.974369,0.000000,0.000000,0.000000,0.014352,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.469165,0.302776,0.056373,0.932168,0.783217,0.000000,0.000000,0.000000,0.269784,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.930185,0.699663,0.285832,0.971269,0.986237,0.000000,0.000000,0.000000,0.450163,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.975018,0.156160,0.164706,0.929432,0.923944,0.000000,0.000000,0.000000,0.009807,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.934033,0.799276,0.269129,0.970946,0.764964,0.000000,0.000000,0.000000,0.656200,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.156267,0.405351,0.294826,0.968421,0.960343,0.000000,0.000000,0.000000,0.370065,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.956561,0.711639,0.273548,0.969005,0.824350,0.000000,0.000000,0.000000,0.559631,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.947239,0.710833,0.283796,0.973635,0.917654,0.000000,0.000000,0.000000,0.028263,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.906919,0.697762,0.301768,0.964078,0.990448,0.000000,0.000000,0.000000,0.500310,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.303897,0.514076,0.251675,0.958272,0.880245,0.000000,0.000000,0.000000,0.286063,0.000000,0,8,1.0000,0.1953,559.78,0.20,5.1758,1.5124e+05,6.0160e+02,251.3979,0
3,1,1.201020,0.684720,0.766554,0.969190,0.958801,0.000000,0.000000,0.960404,0.005712,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.788607,0.814377,0.854678,0.943142,0.980094,0.000000,0.000000,0.943089,0.038323,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,2.111628,0.302394,0.063690,0.988401,0.955224,0.000000,0.000000,0.393701,0.324502,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.653618,0.880320,0.789862,0.937878,0.981703,0.000000,0.000000,0.914860,0.689666,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,1.538792,0.601540,0.289855,0.883281,0.982998,0.000000,0.000000,0.956065,0.028504,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.669750,0.867954,0.704545,0.989140,0.960990,0.000000,0.000000,0.316279,0.727341,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.847095,0.801717,0.842566,0.913462,0.980660,0.000000,0.000000,0.899925,0.615524,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.677985,0.857934,0.701031,0.993467,0.960184,0.000000,0.000000,0.872329,0.708405,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.617945,0.886491,0.813168,0.987716,0.973208,0.000000,0.000000,0.944904,0.082531,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.648772,0.867479,0.842683,0.862907,0.983338,0.000000,0.000000,0.691748,0.690531,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.975521,0.756493,0.666863,0.946858,0.971720,0.000000,0.000000,0.789330,0.391104,0.000000,0,8,1.0000,0.1953,644.51,0.20,5.1758,1.5479e+05,5.9909e+02,258.3794,0
4,1,0.890886,0.769790,0.815810,0.971209,0.935714,0.000000,0.000000,0.968687,0.030593,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.500917,0.928647,0.950763,0.968238,0.992932,0.000000,0.000000,0.965197,0.280443,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.827883,0.306595,0.053242,0.983642,0.900270,0.000000,0.000000,0.862069,0.553474,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.437711,0.933123,0.864187,0.975630,0.996130,0.000000,0.000000,0.967172,0.859296,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,1.254102,0.615014,0.238916,0.913621,0.986384,0.000000,0.000000,0.961517,0.074766,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.517852,0.891249,0.741815,0.986720,0.927434,0.000000,0.000000,0.700000,0.846186,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.559467,0.915735,0.934342,0.940000,0.996663,0.000000,0.000000,0.966008,0.862508,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.515217,0.888643,0.737423,0.988671,0.928264,0.000000,0.000000,0.965090,0.852989,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.437168,0.926413,0.893128,0.986942,0.968136,0.000000,0.000000,0.958791,0.315271,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.405562,0.949727,0.936220,0.946315,0.998277,0.000000,0.000000,0.969900,0.888698,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.734677,0.812494,0.716585,0.966099,0.963020,0.000000,0.000000,0.928443,0.556422,0.000000,0,8,1.0000,0.1953,648.99,0.20,5.1758,1.5808e+05,5.9700e+02,264.7894,0
5,1,0.781714,0.775797,0.816739,0.969977,0.909722,0.000000,0.000000,0.974451,0.039024,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.437817,0.931473,0.952261,0.965194,0.991221,0.000000,0.000000,0.968714,0.359223,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,1.687407,0.305322,0.052509,0.978678,0.874346,0.000000,0.000000,0.877193,0.567404,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
