round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.430529,0.655035,0.795874,0.163982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.297679,0.784259,0.880104,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.390126,0.039071,0.055738,0.137306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.487318,0.589594,0.738536,0.163878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.255840,0.030321,0.061190,0.012712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.944755,0.111340,0.179831,0.131160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.391468,0.681974,0.814580,0.157303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.836729,0.246280,0.367396,0.155565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.820690,0.273625,0.413203,0.156237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.454535,0.675929,0.809586,0.145455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.730967,0.408743,0.511604,0.132886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,12.9937,159.32,13.00,0.5326,3.6464e+04,4.2913e+02,84.9706,0
2,1,1.450467,0.419523,0.609595,0.195016,0.086957,0.000000,0.396624,0.000000,0.087554,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.407500,0.495925,0.663134,0.191489,0.000000,0.000000,0.294574,0.000000,0.101604,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.109426,0.122639,0.053250,0.301844,0.096573,0.000000,0.400000,0.000000,0.112903,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.462684,0.471418,0.578631,0.420307,0.104628,0.000000,0.395349,0.000000,0.053476,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,2.087947,0.062765,0.063384,0.048315,0.098300,0.000000,0.307692,0.000000,0.077075,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.588789,0.261268,0.197114,0.411335,0.035088,0.000000,0.373134,0.000000,0.087898,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.492093,0.436263,0.616474,0.101896,0.084416,0.000000,0.405512,0.000000,0.104869,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.579890,0.393664,0.349835,0.555739,0.118919,0.000000,0.384926,0.000000,0.096447,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.580134,0.351842,0.389724,0.472739,0.091725,0.000000,0.380048,0.000000,0.095356,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.554107,0.429514,0.604584,0.153277,0.100840,0.000000,0.347826,0.000000,0.071856,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.631304,0.344482,0.412572,0.285196,0.081744,0.000000,0.368568,0.000000,0.088904,0.000000,0,8,1.0000,12.9937,154.62,13.00,0.5326,3.7019e+04,4.2239e+02,87.6426,0
3,1,1.314444,0.705150,0.817246,0.187919,0.086957,0.000000,0.811189,0.142012,0.266048,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,1.213156,0.808966,0.894034,0.109422,0.000000,0.000000,0.778443,0.166667,0.268868,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.899587,0.086390,0.057630,0.163580,0.096573,0.000000,0.595156,0.218263,0.315068,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.309609,0.632787,0.757567,0.168847,0.104628,0.000000,0.903553,0.124224,0.250000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,1.854614,0.096877,0.062118,0.049587,0.098300,0.000000,0.095238,0.143807,0.236444,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.442963,0.362317,0.226462,0.148964,0.035088,0.000000,0.987493,0.150000,0.267497,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,1.149835,0.795988,0.871409,0.195804,0.084416,0.000000,0.950898,0.160000,0.247423,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,1.456944,0.374759,0.406706,0.161391,0.118919,0.000000,0.965182,0.119760,0.250871,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,1.527280,0.353577,0.434587,0.167324,0.091725,0.000000,0.890756,0.133333,0.270997,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,1.222374,0.774140,0.858289,0.165631,0.100840,0.000000,0.942455,0.145695,0.316327,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
