round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,2.438185,0.190195,0.273081,0.234917,0.204082,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.754449,0.241346,0.268699,0.256135,0.209078,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.892143,0.185638,0.263158,0.306607,0.259067,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.662472,0.222292,0.268810,0.284270,0.186012,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.857332,0.083494,0.251969,0.129314,0.187845,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.488129,0.627520,0.285451,0.764724,0.199313,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,2.221026,0.145367,0.266488,0.117793,0.182556,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.696606,0.518325,0.267606,0.671929,0.176718,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.330374,0.578442,0.240828,0.718294,0.167374,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.647728,0.156578,0.271396,0.130260,0.181636,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.998844,0.294920,0.265749,0.361424,0.195368,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,5.9982,137.71,6.00,0.6666,1.4560e+05,6.6901e+02,217.6397,0
2,1,0.802131,0.747505,0.861488,0.968714,0.901024,0.000000,0.000000,0.968869,0.010165,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.493146,0.897209,0.938339,0.968350,0.992378,0.000000,0.000000,0.970964,0.090069,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.518696,0.312452,0.090076,0.981429,0.896000,0.000000,0.000000,0.909091,0.333550,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.364734,0.928656,0.876477,0.974338,0.995421,0.000000,0.000000,0.964402,0.814864,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.060790,0.610683,0.346919,0.905724,0.980568,0.000000,0.000000,0.963310,0.026667,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.463007,0.890284,0.798486,0.983444,0.901118,0.000000,0.000000,0.808989,0.804825,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.501861,0.898562,0.928072,0.942953,0.994451,0.000000,0.000000,0.962550,0.803709,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.435595,0.888844,0.799301,0.985624,0.908456,0.000000,0.000000,0.969014,0.805945,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.420321,0.911524,0.901713,0.984662,0.961477,0.000000,0.000000,0.965229,0.130693,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.350114,0.940008,0.925017,0.952425,0.998624,0.000000,0.000000,0.967960,0.850884,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.641039,0.802573,0.746589,0.964766,0.952952,0.000000,0.000000,0.945038,0.467137,0.000000,0,8,1.0000,5.9982,134.46,6.00,0.6666,1.5104e+05,5.9710e+02,252.9596,0
3,1,0.641125,0.771534,0.912890,0.975067,0.959707,0.000000,0.050804,0.983185,0.009379,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.344265,0.912840,0.958811,0.971087,0.993856,0.000000,0.043564,0.978236,0.105793,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.515574,0.334225,0.131917,0.987234,0.935211,0.013423,0.053817,0.724638,0.295932,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.240469,0.940413,0.924349,0.975000,0.995549,0.010929,0.046784,0.979111,0.826942,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
