round,loss,accuracy,f1_macro,f1_normal,f1_sql_injection,f1_uploading,f1_backdoor,f1_port_scanning,f1_xss,f1_password,f1_fingerprinting,krum_kept,krum_dropped,krum_selected_ids,krum_discarded_ids,detected_byz_ids,detection_rate_pct,byz_mean_score,honest_mean_score,krum_score_ratio,is_best_checkpoint,train_wave_s,eval_wave_s,round_total_s
1,2.0680,0.1233,0.0238,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80796.92873773168,212789.7562791212,0.37970309356315296,TRUE,414.3,10.0,433.3
2,2.0277,0.1233,0.0238,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80806.87649011286,212782.25638388074,0.37976322773985943,FALSE,399.9,6.7,407.0
3,2.0474,0.1233,0.0238,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80785.50762313756,212776.08743454423,0.3796738092009019,FALSE,392.0,6.9,399.5
4,2.0244,0.1233,0.0238,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80784.09074580892,212774.06595088195,0.37967075726445726,FALSE,434.2,8.7,443.5
5,2.0403,0.1233,0.0238,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80795.2618948025,212795.06573639932,0.3796857864875868,FALSE,401.4,7.8,409.6
6,2.0338,0.1621,0.0716,0.0000,0.0000,0.2075,0.3653,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80826.3878749455,212810.72669009437,0.3798041063627819,TRUE,385.2,6.3,391.9
7,2.0391,0.1233,0.0238,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80800.29668906548,212790.916993896,0.3797168499038108,FALSE,400.2,10.0,410.7
8,2.0080,0.1859,0.0970,0.0000,0.0000,0.2254,0.0000,0.5505,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80792.40125654795,212777.5481728398,0.3797036010158368,TRUE,405.2,6.7,412.3
9,2.0183,0.2033,0.1015,0.0000,0.0000,0.2252,0.5871,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80801.85795191667,212777.25433763128,0.37974856947679975,TRUE,385.8,7.3,393.6
10,2.0258,0.1849,0.0964,0.0000,0.0000,0.2243,0.0000,0.5468,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80794.46570280354,212776.31040104496,0.3797155122697661,FALSE,443.2,6.1,449.8
11,2.0417,0.1250,0.0280,0.0000,0.0000,0.1911,0.0328,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80795.19594304076,212780.46414461016,0.3797115316382176,FALSE,410.5,6.6,417.6
12,1.9904,0.1793,0.0806,0.0000,0.0000,0.2220,0.0000,0.4227,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80795.82967801158,212781.637884964,0.37971241541853423,FALSE,381.0,5.9,387.4
13,2.0419,0.1266,0.0303,0.0000,0.0000,0.1976,0.0449,0.0000,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80793.24153194846,212782.31519043667,0.3796990434080005,FALSE,353.1,5.8,359.4
14,2.0146,0.1825,0.0797,0.0000,0.0000,0.2279,0.0000,0.4096,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80823.37800589626,212784.76509878825,0.37983630063164014,FALSE,356.1,5.8,362.3
15,2.0207,0.1810,0.1199,0.0000,0.0000,0.2201,0.0000,0.7368,0.0020,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80799.10122041844,212783.7573665473,0.3797240081686857,TRUE,351.7,6.0,358.2
16,2.0139,0.1852,0.0968,0.0000,0.0000,0.2247,0.0000,0.5497,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80796.91836967082,212781.9472253821,0.3797169798624383,FALSE,367.1,5.8,373.3
17,2.0416,0.1485,0.0989,0.0000,0.0000,0.1727,0.0000,0.6182,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80844.89016710139,212790.43966408184,0.3799272669144622,FALSE,362.2,5.9,368.6
18,2.0146,0.1852,0.0962,0.0000,0.0000,0.2247,0.0000,0.5453,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80793.97253715727,212781.82886057772,0.3797033467086909,FALSE,358.1,5.8,364.4
19,2.0288,0.1841,0.1310,0.0000,0.0000,0.1978,0.0000,0.8499,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80795.32279044778,212781.23582835397,0.37971075069619215,TRUE,364.9,5.9,371.2
20,2.0282,0.1830,0.0961,0.0000,0.0000,0.2218,0.0000,0.5470,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80797.2690645732,212783.8757250168,0.37971518654443764,FALSE,361.1,6.0,367.5
21,2.0317,0.1864,0.1106,0.0000,0.0000,0.2052,0.0000,0.6797,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80801.03535527186,212786.72430000748,0.37972780313752413,FALSE,377.5,5.8,383.8
22,2.0228,0.1850,0.0979,0.0000,0.0000,0.2212,0.0000,0.5616,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80796.49161423702,212784.30151657807,0.3797107730146256,FALSE,377.7,6.4,384.6
23,2.0326,0.1832,0.1260,0.0000,0.0000,0.1970,0.0000,0.8106,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80815.48404029617,212786.45735275382,0.3797961817951676,FALSE,395.8,6.2,402.5
24,2.0118,0.1858,0.0972,0.0000,0.0000,0.2254,0.0000,0.5518,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80795.53160915685,212783.5061170897,0.37970768074804156,FALSE,435.6,7.3,443.5
25,2.0308,0.1858,0.0972,0.0000,0.0000,0.2255,0.0000,0.5519,0.0000,0.0000,0.0000,7,3,"[0,1,3,4,7,8,9]","[2,5,6]",[],0.00,80809.10547160055,212786.44585173315,0.3797662259367182,FALSE,424.6,8.4,433.6
