round,loss,accuracy,f1_macro,f1_normal,f1_ddos_udp,f1_ddos_icmp,f1_ransomware,f1_ddos_http,f1_ddos_tcp,f1_vulnerability_scanner,f1_mitm,krum_kept,krum_dropped,krum_selected_ids,krum_discarded_ids,detected_byz_ids,detection_rate_pct,byz_mean_score,honest_mean_score,krum_score_ratio,is_best_checkpoint,train_wave_s,eval_wave_s,round_total_s
1,2.0756,0.0880,0.0192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1536,0.0000,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596475.5983776173,2517291.69129161,0.236951323694859,TRUE,323.2,5.8,329.5
2,1.3326,0.5877,0.2899,0.6312,0.6748,0.0000,0.0522,0.0480,0.9130,0.0000,0.0000,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596457.5602338589,2517293.4385164236,0.2369439935398963,TRUE,303.6,5.3,309.4
3,1.0933,0.8150,0.5780,0.7812,0.9694,0.9380,0.4992,0.4463,0.8765,0.0000,0.1132,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596410.8770400366,2517228.4887746987,0.23693156171545998,TRUE,276.9,4.7,282.1
4,0.7302,0.8443,0.6075,0.8232,0.9657,0.9277,0.6680,0.4818,0.9380,0.0000,0.0557,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596418.2680442422,2517222.1381549085,0.23693509563737156,TRUE,348.7,6.8,356.0
5,0.7771,0.7698,0.5758,0.6971,0.9969,0.9857,0.2643,0.3667,0.9360,0.0000,0.3597,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596591.0794611323,2517272.1868320396,0.23699903513888018,FALSE,285.2,4.4,290.1
6,0.5651,0.8035,0.5740,0.7363,0.9958,0.9871,0.3496,0.4261,0.8297,0.0000,0.2673,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596405.6065396861,2517219.8109477432,0.2369302847315257,FALSE,279.7,4.8,284.9
7,0.4771,0.8278,0.6102,0.7944,0.9987,0.7956,0.3594,0.5469,0.9913,0.0000,0.3954,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596417.9827707722,2517225.9410208976,0.2369346243622796,TRUE,287.4,4.4,292.2
8,0.5273,0.8507,0.6469,0.7987,0.9971,0.9885,0.5012,0.5185,0.9890,0.0000,0.3827,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596413.0224347793,2517230.847654043,0.23693219197222695,TRUE,295.5,4.8,300.8
9,0.8323,0.7895,0.5956,0.7534,0.9397,0.9533,0.2613,0.4470,0.9503,0.0000,0.4597,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596674.0018474127,2517289.757794648,0.23703032199604546,FALSE,291.2,6.6,298.3
10,0.9984,0.8077,0.6007,0.7105,0.9977,0.9899,0.3665,0.4173,0.9872,0.0000,0.3362,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596585.8870971778,2517266.7351829363,0.23699748570896773,FALSE,285.5,4.6,290.6
11,0.4401,0.8797,0.6529,0.8608,0.9134,0.9980,0.6397,0.5641,0.8962,0.0000,0.3509,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596411.5284409947,2517221.5429766555,0.2369324742611762,TRUE,273.6,4.6,278.7
12,0.6571,0.8911,0.6608,0.9139,0.9990,0.9944,0.6209,0.5699,0.9427,0.0000,0.2461,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596415.8341633666,2517246.2730820477,0.23693185706185646,TRUE,271.8,4.6,276.9
13,1.5003,0.7857,0.5964,0.7315,0.8809,0.9795,0.3059,0.4015,0.9863,0.0000,0.4857,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596413.4566142417,2517237.006508963,0.23693178475926638,FALSE,270.6,4.1,275.2
14,1.1504,0.8475,0.6424,0.7813,0.9997,0.9959,0.5022,0.4991,0.9425,0.0000,0.4184,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596419.0591088793,2517226.557728507,0.23693499390339956,FALSE,269.2,4.4,274.0
15,1.4809,0.8420,0.6481,0.7814,0.9831,0.9978,0.6733,0.4011,0.9925,0.0000,0.3555,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596409.4531119836,2517219.9149036817,0.23693180305019335,FALSE,269.2,4.1,273.7
16,1.2733,0.8836,0.6542,0.8835,0.9978,0.9910,0.6037,0.5818,0.7415,0.0000,0.4340,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596454.0117712967,2517245.1174716214,0.2369471322563886,FALSE,270.0,4.0,274.4
17,1.4483,0.8656,0.6773,0.8138,0.8466,0.9988,0.7259,0.5985,0.9318,0.0000,0.5034,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596421.9636805083,2517243.7078821776,0.23693453351892318,TRUE,269.4,4.1,273.9
18,1.7224,0.8931,0.6782,0.9404,0.9990,0.9955,0.6019,0.5864,0.8595,0.0000,0.4429,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596426.8859233896,2517245.216003543,0.23693634697627727,TRUE,270.9,4.1,275.4
19,1.8868,0.8424,0.6335,0.8312,0.7937,0.8796,0.7326,0.6313,0.7998,0.0000,0.3996,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596419.0177594604,2517225.4405991677,0.23693508262712318,FALSE,273.2,4.2,277.8
20,2.4786,0.8995,0.7024,0.9360,0.9988,0.9920,0.7008,0.5766,0.9610,0.0000,0.4540,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596415.3124620969,2517228.1244548904,0.236933358032956,TRUE,272.1,4.0,276.6
21,3.2799,0.8560,0.6497,0.8150,0.9343,0.9611,0.7162,0.4932,0.8244,0.0000,0.4536,7,3,"[0,1,2,5,6,7,8]","[3,4,9]",[],0.00,596505.8390361732,2517265.8736535804,0.23696576721568138,FALSE,270.6,4.3,275.4
