round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.772384,0.657341,0.795874,0.167665,0.086957,0.000000,0.000000,0.142012,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.703780,0.784513,0.880104,0.105572,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.997505,0.063165,0.055738,0.160363,0.096573,0.000000,0.000000,0.218263,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.749563,0.594726,0.738536,0.167354,0.104628,0.000000,0.000000,0.124224,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.903825,0.076410,0.061190,0.035714,0.098300,0.000000,0.000000,0.143807,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.094433,0.111751,0.179831,0.131364,0.035088,0.000000,0.000000,0.150000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.760903,0.687516,0.814580,0.178344,0.084416,0.000000,0.000000,0.160000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.918549,0.253807,0.367396,0.158494,0.118919,0.000000,0.000000,0.119760,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.899351,0.281767,0.413203,0.160235,0.091725,0.000000,0.000000,0.133333,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.760847,0.682401,0.809586,0.160321,0.100840,0.000000,0.000000,0.145695,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.856114,0.419340,0.511604,0.142543,0.081744,0.000000,0.000000,0.150376,0.000000,0.000000,0,6,1.0000,N/A,42.46,N/A,N/A,N/A,1.2595e+05,N/A,0
2,1,1.737263,0.670100,0.800571,0.187919,0.050000,0.000000,0.000000,0.255556,0.121417,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.634010,0.787697,0.881307,0.109422,0.000000,0.000000,0.000000,0.240000,0.126649,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.972990,0.071196,0.056120,0.163580,0.096050,0.000000,0.000000,0.308668,0.200000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.722377,0.598717,0.739767,0.168847,0.103586,0.000000,0.000000,0.264368,0.152284,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.696841,0.102638,0.062799,0.049587,0.097292,0.000000,0.000000,0.275126,0.092157,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,2.318566,0.143548,0.183739,0.148964,0.007463,0.000000,0.000000,0.355556,0.124234,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.692122,0.691475,0.816521,0.195804,0.080745,0.000000,0.000000,0.178218,0.104869,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,2.030361,0.263084,0.370169,0.161391,0.111298,0.000000,0.000000,0.245810,0.103666,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.967292,0.296983,0.417284,0.167324,0.085343,0.000000,0.000000,0.235294,0.123321,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.683430,0.687730,0.811574,0.165631,0.099174,0.000000,0.000000,0.246347,0.180791,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
