round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.765514,0.181475,0.097285,0.000000,0.000000,0.121845,0.330443,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.874002,0.068880,0.086563,0.000000,0.000000,0.039523,0.126152,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.633395,0.524319,0.104478,0.000000,0.000000,0.085953,0.797393,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,2.024270,0.035356,0.105288,0.000000,0.000000,0.075841,0.022755,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.814399,0.286092,0.105769,0.000000,0.000000,0.431034,0.417625,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.724958,0.063247,0.099792,0.000000,0.000000,0.119058,0.074563,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.903574,0.051318,0.102903,0.000000,0.000000,0.000000,0.065934,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.773532,0.056081,0.087363,0.000000,0.000000,0.008851,0.215357,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.748065,0.058157,0.088432,0.000000,0.000000,0.070674,0.154908,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,2.056227,0.027296,0.100144,0.000000,0.000000,0.000752,0.040130,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.831794,0.135222,0.097802,0.000000,0.000000,0.095353,0.224526,0.000000,0.000000,0.000000,0,6,1.0000,N/A,66.87,N/A,N/A,N/A,2.1819e+06,N/A,0
2,1,1.048889,0.517489,0.448718,0.971190,0.909091,0.351610,0.461283,0.435976,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.091459,0.525256,0.436447,0.842075,0.880722,0.164835,0.201056,0.457243,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.853554,0.845047,0.376963,0.983299,0.872483,0.576344,0.896501,0.275862,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.158765,0.585209,0.442256,0.798428,0.888238,0.508565,0.040469,0.410314,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.069622,0.593118,0.418440,0.836310,0.878632,0.848085,0.579967,0.421631,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.744945,0.743150,0.427835,0.985662,0.886772,0.768473,0.102437,0.489796,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.256315,0.335463,0.435177,0.829694,0.886957,0.000000,0.095331,0.415553,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.866948,0.665928,0.438287,0.987682,0.888700,0.181208,0.282107,0.421053,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.743662,0.784096,0.410410,0.972021,0.894178,0.563574,0.263724,0.450106,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.251797,0.519167,0.440364,0.603622,0.890316,0.005911,0.066523,0.403101,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.008596,0.611392,0.427490,0.880998,0.887609,0.396861,0.298940,0.418063,0.000000,0.000000,0,6,1.0000,N/A,63.00,N/A,N/A,N/A,2.1819e+06,N/A,0
3,1,0.834241,0.729484,0.730554,0.975610,0.960938,0.168748,0.688525,0.923400,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.810634,0.749205,0.760172,0.930937,0.961324,0.084798,0.639916,0.924757,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.150887,0.603641,0.154150,0.990523,0.953846,0.135742,0.686162,1.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.845171,0.761778,0.716379,0.912837,0.961966,0.272382,0.087356,0.919269,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.819597,0.782964,0.483271,0.889241,0.958730,0.576214,0.683955,0.911422,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.630630,0.790947,0.710672,0.991244,0.959685,0.512346,0.136659,0.895522,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,1.029861,0.595447,0.756187,0.899054,0.961761,0.000000,0.202410,0.913333,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.741746,0.745268,0.675313,0.994304,0.957970,0.045198,0.350983,0.919717,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.523516,0.888218,0.747036,0.987866,0.964384,0.387097,0.625793,0.931186,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.969797,0.689363,0.742838,0.807692,0.965144,0.002865,0.136110,0.897163,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.835608,0.733632,0.647657,0.937931,0.960575,0.218539,0.423787,0.923577,0.000000,0.000000,0,6,1.0000,N/A,60.81,N/A,N/A,N/A,2.1819e+06,N/A,0
4,1,0.730910,0.723476,0.725336,0.879506,0.984615,0.174560,0.718854,0.915168,0.133333,0.235294,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.672552,0.755034,0.754577,0.940764,0.982017,0.083177,0.700730,0.934783,0.041667,0.200000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,3,1.081296,0.606697,0.129976,0.992624,0.978723,0.157865,0.678354,0.979592,0.098501,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.662775,0.783860,0.724438,0.907083,0.982541,0.305911,0.091760,0.910628,0.133819,0.438356,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.720793,0.788017,0.505660,0.674670,0.981366,0.641193,0.714530,0.912322,0.105263,0.480000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.486857,0.801931,0.708229,0.992832,0.982524,0.552597,0.121649,0.911765,0.116331,0.181818,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.856250,0.606430,0.750583,0.840708,0.980660,0.000000,0.219451,0.917706,0.129450,0.500000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.592751,0.759565,0.678027,0.986100,0.981191,0.055500,0.343891,0.912010,0.146705,0.800000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.404424,0.890483,0.735167,0.987576,0.980074,0.384501,0.677494,0.924890,0.285714,0.666667,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.770324,0.713180,0.740775,0.853431,0.982975,0.003136,0.132404,0.912966,0.130615,0.442308,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.697893,0.742867,0.645277,0.905529,0.981669,0.235844,0.439912,0.923183,0.132140,0.394444,0,6,1.0000,N/A,60.80,N/A,N/A,N/A,2.1818e+06,N/A,0
5,1,0.553030,0.799826,0.780513,0.978577,0.992424,0.245168,0.798385,0.955813,0.205128,0.235294,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.541813,0.817202,0.815857,0.996624,0.996340,0.111059,0.799092,0.962353,0.500000,0.200000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,3,0.751136,0.724344,0.118934,0.998937,0.985075,0.398915,0.779891,1.000000,0.533639,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.489672,0.861989,0.797572,0.991718,0.995796,0.400734,0.141682,0.950953,0.576263,0.438356,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.475718,0.865014,0.507826,0.927393,0.996942,0.768595,0.810381,0.950829,0.378378,0.480000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.400457,0.870247,0.771868,0.999197,0.993327,0.701644,0.202429,0.942857,0.566402,0.181818,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.681122,0.728435,0.817582,0.982759,0.994388,0.000000,0.316614,0.953376,0.580540,0.500000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.467732,0.833266,0.724576,0.997448,0.991532,0.090484,0.459109,0.957265,0.549195,0.800000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.330017,0.924148,0.804483,0.998893,0.992351,0.477331,0.791011,0.964539,0.766667,0.666667,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.588837,0.809647,0.807371,0.994784,0.996058,0.004322,0.221167,0.948454,0.597623,0.431373,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,0.527953,0.823412,0.694658,0.986633,0.993423,0.319825,0.531976,0.958644,0.525383,0.393351,0,6,1.0000,N/A,76.27,N/A,N/A,N/A,2.1818e+06,N/A,0
6,1,0.301897,0.959597,0.959872,0.998045,0.996198,0.798013,0.925679,0.993325,0.166667,0.324324,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.374469,0.947457,0.958818,0.998983,0.990698,0.548387,0.722011,0.990847,0.597403,0.129032,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,3,0.378473,0.918895,0.664804,0.999646,0.987952,0.960784,0.940883,1.000000,0.629471,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0.389441,0.915676,0.955088,0.998494,0.991136,0.828528,0.153689,0.991638,0.662873,0.228916,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
