round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.814034,0.254433,0.265677,0.136331,0.000000,0.029449,0.368468,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.910535,0.132374,0.259522,0.106274,0.000000,0.004865,0.144448,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.682933,0.665139,0.260274,0.128477,0.000000,0.013889,0.894211,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,2.016939,0.044374,0.262552,0.121864,0.000000,0.008244,0.031040,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.774942,0.277671,0.255507,0.080537,0.000000,0.073050,0.473592,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.035762,0.071817,0.278982,0.115268,0.000000,0.013823,0.072097,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.979742,0.108027,0.256844,0.084416,0.000000,0.000000,0.073834,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,2.017054,0.106927,0.257102,0.109288,0.000000,0.000392,0.239422,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.963582,0.091498,0.236243,0.122094,0.000000,0.008332,0.167560,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,2.026498,0.064011,0.263563,0.096515,0.000000,0.000000,0.054328,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.922202,0.181627,0.259627,0.110106,0.000000,0.015204,0.251900,0.000000,0.000000,0.000000,0,6,1.0000,N/A,91.51,N/A,N/A,N/A,3.8238e+05,N/A,0
2,1,0.825229,0.814456,0.803455,0.978610,0.996198,0.301454,0.706929,0.967197,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.855218,0.815083,0.817334,0.974596,0.995758,0.178094,0.410723,0.963743,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.895544,0.752737,0.348000,0.994370,0.990991,0.236162,0.817166,0.925926,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.897503,0.809018,0.797082,0.973246,0.994909,0.534513,0.069823,0.964325,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.776750,0.880414,0.713217,0.919804,0.995406,0.719527,0.809436,0.960333,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.725608,0.802173,0.807147,0.994614,0.995206,0.709990,0.113941,0.853659,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.095772,0.642971,0.804358,0.935961,0.992126,0.000000,0.155844,0.960894,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.793009,0.781716,0.782967,0.998266,0.993827,0.136483,0.353442,0.961997,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.591776,0.916379,0.801280,0.994794,0.992662,0.574599,0.476190,0.969274,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.018279,0.739636,0.804379,0.926808,0.994667,0.006920,0.096702,0.962712,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.847469,0.795458,0.747922,0.969107,0.994175,0.339774,0.401020,0.949006,0.000000,0.000000,0,6,1.0000,N/A,88.98,N/A,N/A,N/A,3.8230e+05,N/A,0
3,1,0.546413,0.869393,0.883600,0.977099,0.992424,0.358839,0.746839,0.986998,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.550038,0.896326,0.910046,0.979754,0.999424,0.240550,0.575732,0.979405,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.826825,0.672524,0.150685,0.994008,0.988166,0.227311,0.767564,0.757576,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.589110,0.844669,0.782498,0.981593,0.998966,0.553828,0.123779,0.986590,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.496841,0.880654,0.613430,0.916803,0.998473,0.747126,0.778424,0.985664,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.538743,0.819553,0.696389,0.994209,0.992410,0.700444,0.195929,0.986301,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.778111,0.727636,0.840294,0.932897,1.000000,0.000000,0.256275,0.991493,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.589594,0.795409,0.685640,0.997242,0.987786,0.117137,0.443588,0.987286,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
