round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,2.109668,0.000775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001549,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,2.117903,0.003974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007916,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.019336,0.111281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200275,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,2.060800,0.118710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212227,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.088590,0.004090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008148,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.040212,0.152444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264558,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,2.074848,0.173123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.295149,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,2.036404,0.162807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.280024,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.087557,0.003884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007739,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,2.061203,0.148539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.258658,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,2.069652,0.087963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153624,0.000000,0,8,0.0000,N/A,66.25,N/A,N/A,1.0718e+06,3.2983e+06,0.3250,0
2,1,1.400942,0.648968,0.770362,0.935668,0.000000,0.000000,0.000000,0.665626,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.351920,0.683327,0.942996,0.652015,0.000000,0.000000,0.003040,0.660578,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.636351,0.189840,0.039604,0.942897,0.000000,0.000000,0.000000,0.611111,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.744542,0.375137,0.669356,0.563679,0.000000,0.000000,0.000000,0.663838,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.659415,0.330125,0.182073,0.698856,0.000000,0.000000,0.000000,0.651499,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.621695,0.692577,0.501800,0.950642,0.000000,0.000000,0.000000,0.629630,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.572828,0.631989,0.819703,0.657895,0.000000,0.000000,0.000000,0.657732,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.662324,0.641965,0.504963,0.948383,0.000000,0.000000,0.000000,0.642433,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.439271,0.734247,0.861066,0.901701,0.000000,0.000000,0.000000,0.672727,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.704061,0.386346,0.790715,0.332736,0.000000,0.000000,0.000000,0.672451,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.579335,0.531452,0.608264,0.758447,0.000000,0.000000,0.000304,0.652763,0.000000,0.000000,0,8,0.0000,N/A,57.17,N/A,N/A,1.0718e+06,3.2983e+06,0.3250,0
3,1,1.186375,0.806802,0.927837,0.165042,0.000000,0.440860,0.857448,0.993918,0.000000,0.010152,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,1.355075,0.598199,0.956927,0.060938,0.000000,0.320000,0.651022,0.990847,0.000000,0.005827,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
