round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting
1,1,1.8729,0.3141,0.0000,0.0000,0.0000,0.4782,0.0000,0.0000,0.0000,0.0000
1,2,1.9540,0.0579,0.0000,0.0000,0.0000,0.1096,0.0000,0.0000,0.0000,0.0000
1,3,1.7174,0.2690,0.0000,0.0000,0.0000,0.4253,0.0000,0.0000,0.0000,0.0000
1,4,1.7991,0.1416,0.0000,0.0000,0.0000,0.2482,0.0000,0.0000,0.0000,0.0000
1,5,1.5345,0.7721,0.0000,0.0000,0.0000,0.8716,0.0000,0.0000,0.0000,0.0000
1,6,1.6253,0.3958,0.0000,0.0000,0.0000,0.5676,0.0000,0.0000,0.0000,0.0000
1,7,1.8729,0.0966,0.0000,0.0000,0.0000,0.1772,0.0000,0.0000,0.0000,0.0000
1,8,2.0441,0.0016,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000
1,9,2.1860,0.0303,0.0000,0.0000,0.0000,0.0589,0.0000,0.0000,0.0000,0.0000
1,10,2.3157,0.0759,0.0000,0.0000,0.0000,0.1411,0.0000,0.0000,0.0000,0.0000
1,MEAN,1.8922,0.2155,0.0000,0.0000,0.0000,0.3081,0.0000,0.0000,0.0000,0.0000
2,1,1.4181,0.3919,0.0000,0.0000,0.6000,0.6273,0.4231,0.0000,0.0879,0.0000
2,2,1.6679,0.0903,0.0000,0.0506,0.5161,0.1726,0.0647,0.1106,0.0707,0.0000
2,3,1.4182,0.2926,0.0000,0.4390,0.3860,0.4467,0.2038,0.1376,0.0671,0.0000
2,4,1.4740,0.1865,0.0000,0.0935,0.3000,0.3049,0.1434,0.1503,0.0783,0.0000
2,5,1.1423,0.6733,0.0000,0.3125,0.6667,0.8158,0.2203,0.1261,0.0404,0.0000
2,6,1.2725,0.3830,0.0000,0.3670,0.5000,0.5695,0.0646,0.1581,0.0661,0.0000
2,7,1.4000,0.2447,0.0000,0.0686,0.4528,0.2553,0.4641,0.1391,0.0859,0.0000
2,8,1.9333,0.0699,0.0000,0.2632,0.4444,0.0033,0.2386,0.1667,0.0954,0.0000
2,9,1.5297,0.3594,0.0000,0.0000,0.6667,0.1520,0.6404,0.0000,0.0513,0.0000
2,10,1.8308,0.1006,0.0000,0.2299,0.0000,0.3473,0.0735,0.1515,0.0465,0.0000
2,MEAN,1.5087,0.2792,0.0000,0.1824,0.4533,0.3695,0.2536,0.1140,0.0690,0.0000
3,1,1.4740,0.3225,0.0000,0.0488,0.2353,0.3361,0.3457,0.0056,0.4761,0.0000
3,2,1.6000,0.2516,0.0000,0.1935,0.4878,0.2109,0.0472,0.4073,0.4825,0.0896
3,3,1.6554,0.3320,0.0000,0.8485,0.6422,0.2883,0.1133,0.5219,0.2983,0.1053
3,4,1.6099,0.3200,0.0000,0.4255,0.3765,0.2591,0.0921,0.5550,0.4163,0.0695
3,5,1.6420,0.2883,0.0000,0.5000,0.4706,0.3683,0.0967,0.3799,0.0797,0.0769
3,6,1.6754,0.3284,0.0000,0.7429,0.5778,0.3322,0.0277,0.5202,0.2145,0.0615
3,7,1.4466,0.4073,0.0000,0.2812,0.6816,0.2497,0.3742,0.5519,0.4712,0.0385
3,8,1.7516,0.1947,0.0000,0.7317,0.5072,0.0116,0.1606,0.3830,0.2919,0.0837
3,9,1.2577,0.4018,0.0000,0.0000,0.0784,0.2410,0.6207,0.1290,0.2840,0.0703
3,10,1.6786,0.0924,0.0000,0.5556,0.0952,0.2283,0.0679,0.3093,0.2108,0.0924
3,MEAN,1.5791,0.2939,0.0000,0.4328,0.4153,0.2525,0.1946,0.3763,0.3225,0.0688
4,1,1.3780,0.3146,0.0000,0.0488,0.2353,0.3139,0.3559,0.0000,0.4262,0.0686
4,2,1.4245,0.2502,0.0052,0.2069,0.5412,0.2463,0.0468,0.3062,0.4750,0.2489
4,3,1.7849,0.2762,0.0000,0.9333,0.6903,0.2333,0.1363,0.3480,0.1974,0.3896
4,4,1.6836,0.2512,0.0026,0.5660,0.3953,0.2078,0.1019,0.3506,0.3208,0.3416
4,5,1.8315,0.2097,0.0000,0.5600,0.4706,0.2988,0.1325,0.2939,0.0239,0.0439
4,6,1.9041,0.2113,0.0000,0.8116,0.6170,0.2477,0.0343,0.3336,0.0972,0.2239
4,7,1.5059,0.3385,0.0041,0.3333,0.7130,0.2041,0.3905,0.3632,0.3594,0.0588
4,8,1.4498,0.2895,0.0000,0.8000,0.5455,0.0909,0.1851,0.2364,0.2326,0.4015
4,9,1.0792,0.4556,0.0054,0.0000,0.0784,0.1702,0.6498,0.2857,0.3086,0.4025
4,10,1.4454,0.1306,0.0020,0.6316,0.0952,0.2692,0.0753,0.3421,0.1921,0.3575
4,MEAN,1.5487,0.2728,0.0019,0.4892,0.4382,0.2282,0.2108,0.2860,0.2633,0.2537
5,1,1.0896,0.4235,0.0896,0.0488,0.2353,0.4878,0.4500,0.0059,0.5886,0.0593
5,2,1.1749,0.4065,0.1287,0.2143,0.5412,0.4215,0.0663,0.6132,0.6502,0.3089
5,3,1.1383,0.5052,0.2857,0.9254,0.6842,0.3333,0.3349,0.6864,0.3620,0.5189
5,4,1.1056,0.4944,0.1483,0.5882,0.3953,0.3306,0.1882,0.7287,0.5182,0.4461
5,5,1.1694,0.3975,0.1026,0.5600,0.4706,0.4750,0.3532,0.4619,0.0646,0.0518
5,6,1.1180,0.4860,0.1514,0.8116,0.6170,0.3960,0.1186,0.6813,0.2251,0.3761
5,7,1.0151,0.5387,0.1245,0.3390,0.7130,0.2930,0.5300,0.7251,0.5939,0.1132
5,8,1.2663,0.4511,0.1452,0.8000,0.5455,0.0385,0.2615,0.6099,0.3857,0.5870
5,9,0.9713,0.5216,0.1080,0.0000,0.0784,0.4242,0.6844,0.1818,0.4444,0.5574
5,10,1.3237,0.2259,0.1264,0.6071,0.0930,0.4105,0.0868,0.4425,0.2676,0.5263
5,MEAN,1.1372,0.4450,0.1410,0.4894,0.4374,0.3611,0.3074,0.5137,0.4100,0.3545
6,1,1.2024,0.4544,0.6617,0.0690,0.2353,0.3167,0.4893,0.0000,0.4588,0.0513
6,2,1.2083,0.4453,0.6660,0.3158,0.5412,0.2111,0.0776,0.3948,0.5434,0.2447
6,3,1.6698,0.3071,0.2222,0.9219,0.6842,0.2177,0.2454,0.4184,0.2144,0.3230
6,4,1.5267,0.3556,0.6281,0.7179,0.3953,0.1991,0.1910,0.4399,0.3270,0.2978
6,5,1.7157,0.2270,0.2614,0.7000,0.4706,0.2982,0.2727,0.3099,0.0334,0.0300
6,6,1.7655,0.2616,0.4346,0.8485,0.6170,0.2543,0.0769,0.4103,0.0936,0.2097
6,7,1.3457,0.4520,0.6625,0.4865,0.7130,0.1969,0.5411,0.4226,0.4004,0.0690
6,8,1.3656,0.3656,0.4681,0.8205,0.5455,0.0571,0.2913,0.4045,0.2942,0.3774
6,9,0.9655,0.6171,0.6479,0.0000,0.0784,0.3922,0.7796,0.5000,0.3593,0.3450
6,10,1.3001,0.4700,0.7072,0.7200,0.0952,0.2909,0.1596,0.3889,0.2170,0.3112
6,MEAN,1.4065,0.3956,0.5360,0.5600,0.4376,0.2434,0.3125,0.3689,0.2941,0.2259
7,1,1.6146,0.4293,0.7225,0.1538,0.2353,0.1606,0.4620,0.0000,0.3741,0.0702
7,2,1.4883,0.4000,0.7031,0.3158,0.5412,0.1121,0.0741,0.0139,0.4291,0.1902
7,3,2.7626,0.1543,0.1765,0.8613,0.6903,0.1669,0.1426,0.0032,0.1514,0.2099
7,4,2.4632,0.2164,0.6491,0.5098,0.3953,0.0935,0.1318,0.0064,0.2582,0.1986
7,5,2.9061,0.1119,0.2500,0.5185,0.4706,0.1631,0.1346,0.0032,0.0289,0.0000
7,6,3.0954,0.0886,0.4000,0.7632,0.6237,0.1366,0.0335,0.0047,0.0761,0.1528
7,7,2.0764,0.3519,0.7105,0.7200,0.7162,0.0945,0.4699,0.0032,0.3282,0.0962
7,8,1.7532,0.3112,0.4932,0.6444,0.5493,0.0000,0.2917,0.0000,0.2571,0.2418
7,9,1.0870,0.6300,0.7349,0.0000,0.0784,0.1739,0.8161,0.0000,0.2625,0.1594
7,10,1.4968,0.5194,0.7991,0.6809,0.0952,0.1569,0.1957,0.0000,0.2019,0.1818
7,MEAN,2.0744,0.3213,0.5639,0.5168,0.4395,0.1258,0.2752,0.0035,0.2368,0.1501
8,1,1.0396,0.4971,0.8258,0.6667,0.2353,0.4160,0.5867,0.0000,0.4035,0.0457
8,2,1.0226,0.4975,0.8131,0.4000,0.5412,0.3137,0.0979,0.6183,0.4970,0.3044
8,3,1.2151,0.4620,0.3360,0.9291,0.6903,0.2957,0.3946,0.6564,0.2322,0.5319
8,4,1.0925,0.5032,0.7962,0.7647,0.3953,0.2564,0.2824,0.6882,0.3583,0.4509
8,5,1.3751,0.3381,0.5124,0.8750,0.4706,0.4011,0.5552,0.4299,0.0337,0.0316
8,6,1.2277,0.4388,0.6483,0.9206,0.6237,0.3370,0.1917,0.6423,0.1224,0.3512
8,7,0.9783,0.5565,0.8243,0.7500,0.7162,0.2129,0.6496,0.6727,0.4078,0.1172
8,8,1.2040,0.5318,0.6742,0.8406,0.5493,0.0377,0.3675,0.6604,0.3065,0.6432
8,9,0.8351,0.7240,0.8144,0.0000,0.0784,0.3636,0.8547,0.2500,0.3245,0.6076
8,10,1.1061,0.6459,0.8549,0.8000,0.0952,0.3422,0.2659,0.4632,0.2390,0.5942
