round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting
1,1,nan,0.2081,0.3445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2,nan,0.2725,0.4283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,3,nan,0.0076,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,4,nan,0.1185,0.2119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,5,nan,0.0100,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,6,nan,0.0195,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,7,nan,0.1315,0.2324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,8,nan,0.1191,0.2129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,9,nan,0.2790,0.4363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,10,nan,0.5841,0.7375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1,MEAN,nan,0.1750,0.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,2.0670,0.3141,0.0000,0.0000,0.0000,0.4780,0.0000,0.0000,0.0000,0.0000
2,2,2.0730,0.0579,0.0000,0.0000,0.0000,0.1094,0.0000,0.0000,0.0000,0.0000
2,3,2.0395,0.2690,0.0000,0.0000,0.0000,0.4239,0.0000,0.0000,0.0000,0.0000
2,4,2.0477,0.1416,0.0000,0.0000,0.0000,0.2481,0.0000,0.0000,0.0000,0.0000
2,5,2.0236,0.7721,0.0000,0.0000,0.0000,0.8714,0.0000,0.0000,0.0000,0.0000
2,6,2.0271,0.3958,0.0000,0.0000,0.0000,0.5671,0.0000,0.0000,0.0000,0.0000
2,7,2.0612,0.0966,0.0000,0.0000,0.0000,0.1761,0.0000,0.0000,0.0000,0.0000
2,8,2.0723,0.0016,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000
2,9,2.0932,0.0303,0.0000,0.0000,0.0000,0.0589,0.0000,0.0000,0.0000,0.0000
2,10,2.0775,0.0759,0.0000,0.0000,0.0000,0.1411,0.0000,0.0000,0.0000,0.0000
2,MEAN,2.0582,0.2155,0.0000,0.0000,0.0000,0.3077,0.0000,0.0000,0.0000,0.0000
3,1,nan,0.2081,0.3445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2,nan,0.2725,0.4283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,3,nan,0.0076,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,4,nan,0.1185,0.2119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,5,nan,0.0100,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,6,nan,0.0195,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,7,nan,0.1315,0.2324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,8,nan,0.1191,0.2129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,9,nan,0.2790,0.4363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,10,nan,0.5841,0.7375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,MEAN,nan,0.1750,0.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,2.0614,0.3141,0.0000,0.0000,0.0000,0.4780,0.0000,0.0000,0.0000,0.0000
4,2,2.0683,0.0579,0.0000,0.0000,0.0000,0.1094,0.0000,0.0000,0.0000,0.0000
4,3,2.0262,0.2690,0.0000,0.0000,0.0000,0.4239,0.0000,0.0000,0.0000,0.0000
4,4,2.0369,0.1416,0.0000,0.0000,0.0000,0.2481,0.0000,0.0000,0.0000,0.0000
4,5,2.0044,0.7721,0.0000,0.0000,0.0000,0.8714,0.0000,0.0000,0.0000,0.0000
4,6,2.0102,0.3958,0.0000,0.0000,0.0000,0.5671,0.0000,0.0000,0.0000,0.0000
4,7,2.0556,0.0966,0.0000,0.0000,0.0000,0.1761,0.0000,0.0000,0.0000,0.0000
4,8,2.0684,0.0016,0.0000,0.0000,0.0000,0.0031,0.0000,0.0000,0.0000,0.0000
4,9,2.0993,0.0303,0.0000,0.0000,0.0000,0.0589,0.0000,0.0000,0.0000,0.0000
4,10,2.0764,0.0759,0.0000,0.0000,0.0000,0.1411,0.0000,0.0000,0.0000,0.0000
4,MEAN,2.0507,0.2155,0.0000,0.0000,0.0000,0.3077,0.0000,0.0000,0.0000,0.0000
5,1,nan,0.2081,0.3445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,2,nan,0.2725,0.4283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,3,nan,0.0076,0.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,4,nan,0.1185,0.2119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,5,nan,0.0100,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,6,nan,0.0195,0.0382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,7,nan,0.1315,0.2324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,8,nan,0.1191,0.2129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,9,nan,0.2790,0.4363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,10,nan,0.5841,0.7375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,MEAN,nan,0.1750,0.2677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,2.0633,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0000,0.0000
6,2,2.0691,0.0678,0.0000,0.0000,0.0000,0.0000,0.0000,0.1270,0.0000,0.0000
6,3,2.0254,0.3978,0.0000,0.0000,0.0000,0.0000,0.0000,0.5692,0.0000,0.0000
6,4,2.0362,0.3952,0.0000,0.0000,0.0000,0.0000,0.0000,0.5665,0.0000,0.0000
