round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
1,1,1.72,0.161,0.3054,0.0056,0,0.0529,0.0164,0.3129,0,0.447
1,2,1.4987,0.587,0.7091,0,0,0.7149,0.012,0.3002,0,0.664
1,3,1.9592,0.1007,0.0125,0.0179,0,0.0525,0.0154,0.3138,0,0.4986
1,4,1.5608,0.3694,0.4582,0.0196,0,0.2597,0.0126,0.1416,0,0.7022
1,5,1.9531,0.1249,0.0327,0.015,0,0.1923,0.0187,0.3296,0,0.2564
1,6,1.7942,0.1201,0.2472,0.0101,0,0.1175,0.0166,0.317,0,0.525
1,7,1.6645,0.3193,0.3002,0.0064,0,0.483,0,0.3141,0,0.573
1,8,1.6982,0.2402,0.1601,0.014,0,0.3625,0.0263,0.327,0,0.4683
1,9,1.7865,0.4803,0.5395,0,0,0.5543,0.0408,0.3677,0,0.7172
1,10,1.5403,0.3413,0.2652,0.0048,0,0.5786,0.0178,0.3279,0,0.5055
1,MEAN,1.7175,0.2844,0.303,0.0093,0,0.3368,0.0177,0.3052,0,0.5357
2,1,1.1115,0.5453,0.294,0.1143,0.8354,0.1291,0.9407,0.5038,0.0575,0.4431
2,2,1.1304,0.6344,0.6038,0.1134,0.795,0.7654,0.939,0.4618,0.1119,0.5315
2,3,1.4271,0.5392,0.0087,0.1406,0.8708,0.3616,0.7618,0.4293,0.0488,0.5197
2,4,1.3776,0.6464,0.3306,0.1479,0.8155,0.7397,0.9927,0.0846,0.061,0.55
2,5,0.8644,0.7517,0.0233,0.1255,0.8647,0.7942,0.849,0.5162,0,0.3871
2,6,1.1828,0.6633,0.1464,0.1274,0.8602,0.5508,0.9404,0.3086,0.0817,0.4596
2,7,1.5189,0.3732,0.2569,0.1107,0.7477,0.4637,0.3815,0.4828,0.0495,0.5498
2,8,1.3976,0.5372,0.1133,0.1414,0.8611,0.7812,0.9222,0.4503,0,0.4835
2,9,1.3152,0.5977,0.3697,0,0.8657,0.6917,0.1804,0.4891,0.0351,0.5781
2,10,1.3083,0.5048,0.2297,0.1261,0.708,0.7809,0.9851,0.4995,0.0851,0.5023
2,MEAN,1.2634,0.5793,0.2377,0.1147,0.8224,0.6058,0.7893,0.4226,0.0531,0.5005
3,1,0.6337,0.728,0.354,0.52,0.9958,0.4327,0.9989,0.6439,0.8104,0.8203
3,2,0.5697,0.8143,0.7987,0.5056,0.9959,0.9454,0.9989,0.5786,0.6043,0.8025
3,3,0.7212,0.7587,0.016,0.5836,0.9938,0.6034,0.986,0.5547,0.8142,0.8073
3,4,0.6436,0.8327,0.6764,0.5205,0.9921,0.895,0.9997,0.0679,0.6221,0.8336
3,5,0.3415,0.9041,0.0417,0.5642,0.9932,0.9546,0.9929,0.652,0.186,0.78
3,6,0.5608,0.8379,0.3118,0.5699,0.9948,0.7753,0.9981,0.3849,0.7717,0.8109
3,7,0.87,0.6437,0.3639,0.5639,0.9929,0.8046,0.9851,0.6178,0.8,0.8137
3,8,0.7539,0.7291,0.208,0.5769,0.9924,0.9042,0.9967,0.58,0.4737,0.81
3,9,0.551,0.8597,0.7117,0.0333,0.995,0.924,0.85,0.4592,0.7341,0.8301
3,10,0.7835,0.6651,0.3276,0.5528,0.9608,0.9402,0.9992,0.6427,0.2184,0.8219
3,MEAN,0.6429,0.7773,0.381,0.4991,0.9907,0.8179,0.9805,0.5182,0.6035,0.813
4,1,0.4443,0.8382,0.4768,0.5773,0.9967,0.5911,0.998,0.8123,0.9005,0.8992
4,2,0.3727,0.8759,0.8929,0.6028,1,0.9548,1,0.7025,0.6711,0.9008
4,3,0.4704,0.8349,0.0356,0.6615,0.9972,0.8521,0.9977,0.6712,0.896,0.8798
4,4,0.3845,0.894,0.9413,0.6348,0.9921,0.943,0.9983,0.075,0.7301,0.9176
4,5,0.2234,0.9381,0.0686,0.6476,0.9969,0.9615,0.9977,0.8041,0.1926,0.7258
4,6,0.367,0.8746,0.5842,0.6466,0.9977,0.8961,0.9976,0.4221,0.859,0.8633
4,7,0.5981,0.7801,0.5175,0.6393,0.9976,0.8971,1,0.7705,0.9004,0.8887
4,8,0.5113,0.8012,0.3476,0.646,0.9928,0.9557,0.9974,0.6864,0.5283,0.839
4,9,0.3475,0.9154,0.8897,0.0625,0.9981,0.9438,1,0.5254,0.8313,0.9126
4,10,0.5337,0.7868,0.4656,0.627,0.9608,0.9576,0.9989,0.794,0.2902,0.8832
