round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.509802,0.600039,0.718036,0.724151,0.160486,0.000000,0.000000,0.718437,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.158523,0.807047,0.867785,0.731788,0.837299,0.000000,0.000000,0.653488,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.133913,0.172142,0.049908,0.728276,0.156497,0.000000,0.000000,0.220930,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.121433,0.737885,0.587158,0.816454,0.921641,0.000000,0.000000,0.733078,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.789723,0.436959,0.169385,0.687117,0.511700,0.000000,0.000000,0.736807,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.264158,0.611949,0.458588,0.849739,0.433954,0.000000,0.000000,0.417582,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.274504,0.643171,0.737057,0.621969,0.702194,0.000000,0.000000,0.696915,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.262246,0.598268,0.450595,0.850308,0.480769,0.000000,0.000000,0.685639,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.152553,0.762085,0.766135,0.850028,0.687770,0.000000,0.000000,0.699523,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.077602,0.763933,0.725014,0.734375,0.946284,0.000000,0.000000,0.555387,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.374445,0.613348,0.552966,0.759420,0.583860,0.000000,0.000000,0.611779,0.000000,0.000000,0,8,1.0000,5.9982,151.01,6.00,0.6666,1.4794e+05,6.7499e+02,219.1743,0
2,1,1.327293,0.460711,0.701157,0.959551,0.742857,0.000000,0.000000,0.424578,0.003417,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.854181,0.627693,0.777607,0.706530,0.709933,0.000000,0.000000,0.411552,0.029536,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
