round,client,loss,accuracy,Normal,SQL_injection,Uploading,Backdoor,Port_Scanning,XSS,Password,Fingerprinting,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.563061,0.655035,0.795874,0.163982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.492686,0.784259,0.880104,0.105263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.140912,0.039071,0.055738,0.137306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.574492,0.589451,0.738419,0.163878,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.158672,0.030321,0.061190,0.012712,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.886492,0.111340,0.179831,0.131160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.638151,0.681974,0.814580,0.157303,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.770527,0.246280,0.367396,0.155565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.735779,0.273625,0.413203,0.156237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.671431,0.675929,0.809586,0.145455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.763220,0.408729,0.511592,0.132886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,7.9959,155.86,8.00,0.6333,3.6647e+04,4.2598e+02,86.0291,0
2,1,1.294987,0.658878,0.799734,0.157969,0.000000,0.000000,0.000000,0.000000,0.043898,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.187046,0.784896,0.881244,0.103300,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,2.441041,0.039939,0.055824,0.136774,0.000000,0.000000,0.000000,0.000000,0.066116,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.415825,0.589736,0.738877,0.163500,0.000000,0.000000,0.000000,0.000000,0.010929,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,2.353020,0.033202,0.061562,0.012195,0.000000,0.000000,0.000000,0.000000,0.038306,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.837969,0.122968,0.183647,0.126355,0.000000,0.000000,0.000000,0.000000,0.048054,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,1.349999,0.684086,0.816391,0.152174,0.000000,0.000000,0.000000,0.000000,0.061303,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,1.804300,0.249606,0.369500,0.154305,0.000000,0.000000,0.000000,0.000000,0.049415,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,1.739309,0.277363,0.416676,0.153291,0.000000,0.000000,0.000000,0.000000,0.035783,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,1.424808,0.676310,0.809958,0.144665,0.000000,0.000000,0.000000,0.000000,0.036585,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,1.684830,0.411698,0.513341,0.130453,0.000000,0.000000,0.000000,0.000000,0.041817,0.000000,0,8,1.0000,7.9959,152.36,8.00,0.6333,3.7178e+04,4.2822e+02,86.8200,0
3,1,1.679197,0.327287,0.410528,0.204310,0.047619,0.000000,0.781955,0.000000,0.317628,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,1.755896,0.308711,0.421706,0.206155,0.000000,0.000000,0.760440,0.000000,0.110675,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,2.124825,0.139570,0.048077,0.315551,0.088766,0.000000,0.462006,0.000000,0.102564,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,4,1.669079,0.349679,0.394150,0.437706,0.094033,0.000000,0.794567,0.000000,0.075489,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,5,1.957649,0.108096,0.126554,0.050017,0.101058,0.000000,0.044118,0.000000,0.217945,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,6,1.194539,0.538382,0.355585,0.435239,0.022222,0.000000,0.926567,0.000000,0.522806,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,7,1.670067,0.340723,0.426635,0.112973,0.084084,0.000000,0.881013,0.000000,0.174713,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,8,1.451142,0.453177,0.362078,0.569654,0.113333,0.000000,0.880399,0.000000,0.262780,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,9,1.526543,0.381073,0.341517,0.491378,0.089720,0.000000,0.736000,0.000000,0.325279,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,10,1.772250,0.313412,0.407213,0.161299,0.081081,0.000000,0.893471,0.000000,0.065992,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,1.680119,0.326011,0.329404,0.298428,0.072192,0.000000,0.716053,0.000000,0.217587,0.000000,0,8,1.0000,7.9959,153.09,8.00,0.6333,3.7740e+04,4.0804e+02,92.4908,0
4,1,1.582448,0.373405,0.423199,0.134293,0.063158,0.000000,0.489209,0.142012,0.381387,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
