round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,zkp_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent,round_time_s,dp_epsilon_target,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.776461,0.406356,0.583078,0.000000,0.000000,0.000000,0.000000,0.000000,0.049689,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.598017,0.540975,0.702983,0.000000,0.000000,0.000000,0.000000,0.000000,0.352000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,3,2.177659,0.065699,0.034149,0.000000,0.000000,0.000000,0.000000,0.000000,0.549047,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,4,2.060696,0.221365,0.302602,0.000000,0.000000,0.000000,0.000000,0.000000,0.600282,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,5,2.362955,0.049086,0.092693,0.000000,0.000000,0.000000,0.000000,0.000000,0.113475,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,6,2.114588,0.177912,0.211199,0.000000,0.000000,0.000000,0.000000,0.000000,0.609822,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.382710,0.591653,0.718278,0.000000,0.000000,0.000000,0.000000,0.000000,0.606014,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,8,2.044891,0.192811,0.234402,0.000000,0.000000,0.000000,0.000000,0.000000,0.588884,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,9,2.178386,0.202417,0.334508,0.000000,0.000000,0.000000,0.000000,0.000000,0.520833,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.769607,0.385386,0.507487,0.000000,0.000000,0.000000,0.000000,0.000000,0.629913,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.946597,0.283366,0.372138,0.000000,0.000000,0.000000,0.000000,0.000000,0.461996,0.000000,0,8,1.0000,10.9981,140.66,11.00,0.5404,1.4538e+05,6.8271e+02,212.9468,0
2,1,0.961856,0.693247,0.761722,0.920532,0.981273,0.000000,0.000000,0.762847,0.020513,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.379858,0.920964,0.942147,0.951306,0.998463,0.000000,0.000000,0.783448,0.306569,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,3,1.840061,0.265470,0.044603,0.898310,0.985251,0.000000,0.000000,0.837209,0.547494,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.556698,0.853434,0.730623,0.970365,0.998603,0.000000,0.000000,0.772363,0.552036,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,5,1.570947,0.465111,0.178653,0.802857,0.995420,0.000000,0.000000,0.751171,0.050955,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.541478,0.840435,0.594007,0.992223,0.988636,0.000000,0.000000,0.629630,0.596721,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.657508,0.813299,0.863375,0.892019,0.997773,0.000000,0.000000,0.778612,0.564920,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.629726,0.799436,0.580321,0.990258,0.985529,0.000000,0.000000,0.743132,0.543362,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.348934,0.921774,0.859155,0.991000,0.993062,0.000000,0.000000,0.773109,0.416667,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.445691,0.888956,0.859875,0.922671,0.998621,0.000000,0.000000,0.761134,0.616566,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.793276,0.746212,0.641448,0.933154,0.992263,0.000000,0.000000,0.759265,0.421580,0.000000,0,8,1.0000,10.9981,134.33,11.00,0.5404,1.5152e+05,5.9497e+02,254.6714,0
3,1,0.498936,0.842166,0.876555,0.974693,0.956522,0.000000,0.526752,0.965767,0.053812,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.267131,0.946662,0.963124,0.977985,0.997701,0.000000,0.488318,0.961313,0.564885,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
3,3,1.108095,0.561243,0.080078,0.991157,0.965517,0.000000,0.562430,0.909091,0.646494,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A
