model_type,tag,dp_epsilon_target,dp_epsilon_achieved_mean,dp_noise_multiplier_mean,adaptive_krum_k,use_byzantine_attack,best_round,best_f1_macro,best_accuracy,final_round,final_f1_macro,krum_detection_rate_mean,krum_score_ratio_mean,nan_rounds,rounds_completed
application,application_dp0p5,0.5,0.4949,2.6953,2.5,True,23,0.4452,0.6409,25,0.4352,1.0,99.5696,0,25
application,application_dp01,1.0,0.9949,1.5985,2.5,True,24,0.4486,0.6892,25,0.3465,1.0,101.1566,0,25
application,application_dp02,2.0,1.9944,1.0933,2.5,True,20,0.4895,0.6982,25,0.4539,1.0,101.6371,0,25
application,application_dp04,4.0,3.9948,0.8192,2.5,True,25,0.5862,0.7469,25,0.5862,1.0,103.3556,0,25
application,application_dp05,5.0,4.995,0.7526,2.5,True,25,0.5903,0.7466,25,0.5903,1.0,102.2931,0,25
application,application_dp06,6.0,5.9954,0.7033,2.5,True,25,0.5803,0.7533,25,0.5803,1.0,103.5415,0,25
application,application_dp07,7.0,6.9935,0.6647,2.5,True,23,0.5659,0.7244,25,0.5361,1.0,104.1001,0,25
application,application_dp08,8.0,7.9959,0.6333,2.5,True,25,0.5805,0.7303,25,0.5805,1.0,104.4783,0,25
application,application_dp10,10.0,9.996,0.5846,2.5,True,24,0.6019,0.7467,25,0.5537,1.0,104.1179,0,25
application,application_dp11,11.0,10.9951,0.5652,2.5,True,23,0.5689,0.7192,25,0.5583,1.0,104.047,0,25
application,application_dp12,12.0,11.9945,0.548,2.5,True,24,0.6295,0.7894,25,0.6288,1.0,104.6443,0,25
application,application_dp13,13.0,12.9937,0.5326,2.5,True,25,0.6179,0.7577,25,0.6179,1.0,104.5593,0,25
application,application_dp14,14.0,13.9948,0.5185,2.5,True,22,0.609,0.7889,25,0.5355,1.0,104.5894,0,25
application,application,15.0,,,2.5,True,24,0.7286,0.8406,25,0.6867,1.0,,0,25
application,application_byz4_10,15.0,,,3.5,True,23,0.6954,0.8441,25,0.6914,1.0,,0,25
network,network_dp0p5,0.5,0.4942,2.3413,2.5,True,18,0.6378,0.8747,25,0.6223,1.0,304.7481,0,25
network,network_dp01,1.0,0.9964,1.438,2.5,True,25,0.6822,0.8868,25,0.6822,1.0,309.855,0,25
network,network_dp02,2.0,1.9948,1.0129,2.5,True,23,0.7552,0.9126,25,0.7456,1.0,311.0051,0,25
network,network_dp04,4.0,3.9962,0.7711,2.5,True,25,0.7892,0.939,25,0.7892,1.0,310.239,0,25
network,network_dp05,5.0,4.9958,0.7112,2.5,True,25,0.7592,0.9149,25,0.7592,1.0,312.0685,0,25
network,network_dp06,6.0,5.9982,0.6666,2.5,True,19,0.753,0.9202,25,0.7377,1.0,313.4033,0,25
network,network_dp07,7.0,6.9968,0.6316,2.5,True,24,0.8186,0.9574,25,0.8143,1.0,313.9507,0,25
network,network_dp08,8.0,7.998,0.603,2.5,True,18,0.7861,0.9386,25,0.772,1.0,314.5559,0,25
network,network_dp10,10.0,9.9964,0.5584,2.5,True,25,0.7822,0.9407,25,0.7822,1.0,315.0316,0,25
network,network_dp11,11.0,10.9981,0.5404,2.5,True,16,0.7347,0.9172,25,0.7299,1.0,314.8567,0,25
network,network_dp12,12.0,11.9977,0.5246,2.5,True,25,0.7816,0.9293,25,0.7816,1.0,314.2977,0,25
network,network_dp13,13.0,12.9989,0.5105,2.5,True,18,0.782,0.9346,25,0.7035,1.0,314.8625,0,25
network,network_dp14,14.0,13.9993,0.4977,2.5,True,25,0.8084,0.9444,25,0.8084,1.0,314.4001,0,25
network,network_byz2_7,15.0,,,3.5,True,21,0.8237,0.9679,25,0.7706,1.0,,0,25
network,network_byz4_10,15.0,,,3.5,True,20,0.836,0.9708,25,0.5914,1.0,,0,25
