round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,901761.6737482129,byzantine,FN,30064,1.5202719823573294,,0.7
1,2,630204.059049605,byzantine,FN,39700,1.3082093533865293,,0.7
1,3,1441769.634467294,honest,TN,20972,1.4532538583970809,,0.7
1,4,1441744.580463226,honest,TN,20876,1.830737112889513,,0.7
1,5,658181.6596911852,honest,TN,52458,1.6769883820087743,,0.7
1,6,567768.8887315238,honest,TN,50221,1.711372126170055,,0.7
1,7,2047412.8230497104,honest,FP,64198,1.3797701526361075,,0.7
1,8,525499.767912137,honest,TN,48498,1.2544870311434804,,0.7
1,9,2942143.160110677,honest,FP,11341,1.643827160512035,,0.7
1,10,537775.7838252672,honest,TN,45220,1.6005336081717305,,0.7
2,1,4160321.893342701,byzantine,TP,30064,1.5202719823573294,,0.7
2,2,4160321.889814796,byzantine,TP,39700,1.3082093533865293,,0.7
2,3,1779687.5439338437,honest,TN,20972,1.4532538583970809,,0.7
2,4,1779682.3288628038,honest,TN,20876,1.830737112889513,,0.7
2,5,1672482.3927907972,honest,TN,52458,1.6769883820087743,,0.7
2,6,1494047.0222241015,honest,TN,50221,1.711372126170055,,0.7
2,7,3567652.351442152,honest,FP,64198,1.3797701526361075,,0.7
2,8,1374697.9120367789,honest,TN,48498,1.2544870311434804,,0.7
2,9,2264324.3719657836,honest,TN,11341,1.643827160512035,,0.7
2,10,1244018.0430199052,honest,TN,45220,1.6005336081717305,,0.7
3,1,4151830.4592749104,byzantine,TP,30064,1.5202719823573294,,0.7
3,2,4151830.4636191293,byzantine,TP,39700,1.3082093533865293,,0.7
3,3,1777241.974353028,honest,TN,20972,1.4532538583970809,,0.7
3,4,1777248.3509306638,honest,TN,20876,1.830737112889513,,0.7
3,5,1672396.0263468032,honest,TN,52458,1.6769883820087743,,0.7
3,6,1494000.5712906364,honest,TN,50221,1.711372126170055,,0.7
3,7,3567615.1712930035,honest,FP,64198,1.3797701526361075,,0.7
3,8,1374707.8923626912,honest,TN,48498,1.2544870311434804,,0.7
3,9,2262934.7711283416,honest,TN,11341,1.643827160512035,,0.7
3,10,1243993.2541111393,honest,TN,45220,1.6005336081717305,,0.7
4,1,4145429.851042512,byzantine,TP,30064,1.5202719823573294,,0.7
4,2,4145429.8523671925,byzantine,TP,39700,1.3082093533865293,,0.7
4,3,1775418.4739067792,honest,TN,20972,1.4532538583970809,,0.7
4,4,1775412.4738800116,honest,TN,20876,1.830737112889513,,0.7
4,5,1672390.8835754446,honest,TN,52458,1.6769883820087743,,0.7
4,6,1493997.5869905832,honest,TN,50221,1.711372126170055,,0.7
4,7,3567599.358373728,honest,FP,64198,1.3797701526361075,,0.7
4,8,1374688.0456366795,honest,TN,48498,1.2544870311434804,,0.7
4,9,2261924.704353829,honest,TN,11341,1.643827160512035,,0.7
4,10,1243983.3656927391,honest,TN,45220,1.6005336081717305,,0.7
5,1,4143731.814757006,byzantine,TP,30064,1.5202719823573294,,0.7
5,2,4143731.8092654413,byzantine,TP,39700,1.3082093533865293,,0.7
5,3,1774940.524450011,honest,TN,20972,1.4532538583970809,,0.7
5,4,1774928.2670286475,honest,TN,20876,1.830737112889513,,0.7
5,5,1672388.325597155,honest,TN,52458,1.6769883820087743,,0.7
