round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,1039715.930582619,byzantine,FN,58674,1.3597929741190133,,0.7
1,2,1039715.930582619,byzantine,FN,36250,1.2529280000791145,,0.7
1,3,431091.2816480446,honest,TN,36168,1.3564522006178414,,0.7
1,4,670971.3197009738,honest,TN,26131,1.1810190811798464,,0.7
1,5,447503.57121978945,honest,TN,36828,1.4289023077762488,,0.7
1,6,565313.8788693433,honest,TN,41913,1.1420763115133032,,0.7
1,7,877491.4947113311,honest,TN,23961,1.5708396465370165,,0.7
1,8,987544.307451522,honest,TN,23035,1.4642965239408958,,0.7
1,9,423206.80289241497,honest,TN,46439,1.2947268556928377,,0.7
1,10,661602.4050972727,honest,TN,54149,1.3346977016878712,,0.7
2,1,1039999.1089985927,byzantine,FN,58674,1.3597929741190133,,0.7
2,2,1039999.1089985927,byzantine,FN,36250,1.2529280000791145,,0.7
2,3,430947.9289106725,honest,TN,36168,1.3564522006178414,,0.7
2,4,670812.3380205,honest,TN,26131,1.1810190811798464,,0.7
2,5,447336.06663663033,honest,TN,36828,1.4289023077762488,,0.7
2,6,565229.2350625518,honest,TN,41913,1.1420763115133032,,0.7
2,7,877339.2160725408,honest,TN,23961,1.5708396465370165,,0.7
2,8,987331.4125351538,honest,TN,23035,1.4642965239408958,,0.7
2,9,423234.5778501595,honest,TN,46439,1.2947268556928377,,0.7
2,10,661500.7056298007,honest,TN,54149,1.3346977016878712,,0.7
3,1,1039648.5511234694,byzantine,FN,58674,1.3597929741190133,,0.7
3,2,1039648.5511234694,byzantine,FN,36250,1.2529280000791145,,0.7
3,3,430914.7754484551,honest,TN,36168,1.3564522006178414,,0.7
3,4,670799.5559298198,honest,TN,26131,1.1810190811798464,,0.7
3,5,447321.8921775919,honest,TN,36828,1.4289023077762488,,0.7
3,6,565127.4805538311,honest,TN,41913,1.1420763115133032,,0.7
3,7,877312.7546021212,honest,TN,23961,1.5708396465370165,,0.7
3,8,987305.7813544492,honest,TN,23035,1.4642965239408958,,0.7
3,9,423073.59594906535,honest,TN,46439,1.2947268556928377,,0.7
3,10,661377.885678808,honest,TN,54149,1.3346977016878712,,0.7
4,1,1039500.805145934,byzantine,FN,58674,1.3597929741190133,,0.7
4,2,1039500.805145934,byzantine,FN,36250,1.2529280000791145,,0.7
4,3,430907.89505426225,honest,TN,36168,1.3564522006178414,,0.7
4,4,670760.7117617563,honest,TN,26131,1.1810190811798464,,0.7
4,5,447299.19614565384,honest,TN,36828,1.4289023077762488,,0.7
4,6,565096.2713109802,honest,TN,41913,1.1420763115133032,,0.7
4,7,877294.0322690646,honest,TN,23961,1.5708396465370165,,0.7
4,8,987291.1532304874,honest,TN,23035,1.4642965239408958,,0.7
4,9,423010.3406673698,honest,TN,46439,1.2947268556928377,,0.7
4,10,661375.8677838654,honest,TN,54149,1.3346977016878712,,0.7
5,1,1039706.11037135,byzantine,FN,58674,1.3597929741190133,,0.7
5,2,1039706.11037135,byzantine,FN,36250,1.2529280000791145,,0.7
5,3,430912.49480099796,honest,TN,36168,1.3564522006178414,,0.7
5,4,670793.492003673,honest,TN,26131,1.1810190811798464,,0.7
5,5,447312.90825545066,honest,TN,36828,1.4289023077762488,,0.7
5,6,565139.0136932363,honest,TN,41913,1.1420763115133032,,0.7
5,7,877309.0041137519,honest,TN,23961,1.5708396465370165,,0.7
5,8,987308.071816653,honest,TN,23035,1.4642965239408958,,0.7
5,9,423114.7489076991,honest,TN,46439,1.2947268556928377,,0.7
5,10,661390.4843537598,honest,TN,54149,1.3346977016878712,,0.7
6,1,1039482.4441503681,byzantine,FN,58674,1.3597929741190133,,0.7
6,2,1039482.4441503681,byzantine,FN,36250,1.2529280000791145,,0.7
6,3,430948.1196650635,honest,TN,36168,1.3564522006178414,,0.7
6,4,670775.4412285803,honest,TN,26131,1.1810190811798464,,0.7
6,5,447315.7221359086,honest,TN,36828,1.4289023077762488,,0.7
6,6,565090.2444626761,honest,TN,41913,1.1420763115133032,,0.7
6,7,877316.114338858,honest,TN,23961,1.5708396465370165,,0.7
6,8,987307.4142980711,honest,TN,23035,1.4642965239408958,,0.7
6,9,423019.4320920106,honest,TN,46439,1.2947268556928377,,0.7
6,10,661393.6037983302,honest,TN,54149,1.3346977016878712,,0.7
7,1,1039500.8158490848,byzantine,FN,58674,1.3597929741190133,,0.7
7,2,1039500.8158490848,byzantine,FN,36250,1.2529280000791145,,0.7
7,3,430955.9218406369,honest,TN,36168,1.3564522006178414,,0.7
