round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,410490843.77854264,byzantine,TP,58674,1.3597929741190133,,0.7
1,2,180418608.18666327,byzantine,TP,36250,1.2529280000791145,,0.7
1,3,431091.2816480446,honest,TN,36168,1.3564522006178414,,0.7
1,4,670971.3197009738,honest,TN,26131,1.1810190811798464,,0.7
1,5,447503.57121978945,honest,TN,36828,1.4289023077762488,,0.7
1,6,606917.2397746503,honest,TN,41913,1.1420763115133032,,0.7
1,7,877491.4947113311,honest,TN,23961,1.5708396465370165,,0.7
1,8,987544.307451522,honest,TN,23035,1.4642965239408958,,0.7
1,9,912871.480773662,honest,TN,46439,1.2947268556928377,,0.7
1,10,1926945.2761168731,honest,TN,54149,1.3346977016878712,,0.7
2,1,1203488366.7272806,byzantine,TP,58674,1.3597929741190133,,0.7
2,2,771204956.3824106,byzantine,TP,36250,1.2529280000791145,,0.7
2,3,430933.8644267362,honest,TN,36168,1.3564522006178414,,0.7
2,4,670799.4090817133,honest,TN,26131,1.1810190811798464,,0.7
2,5,447335.19917357515,honest,TN,36828,1.4289023077762488,,0.7
2,6,606740.5373756615,honest,TN,41913,1.1420763115133032,,0.7
2,7,877333.8691384286,honest,TN,23961,1.5708396465370165,,0.7
2,8,987332.4152709179,honest,TN,23035,1.4642965239408958,,0.7
2,9,912731.4372147407,honest,TN,46439,1.2947268556928377,,0.7
2,10,1926727.717073711,honest,TN,54149,1.3346977016878712,,0.7
3,1,2418949278.335347,byzantine,TP,58674,1.3597929741190133,,0.7
3,2,1784432648.8074238,byzantine,TP,36250,1.2529280000791145,,0.7
3,3,430926.64935262216,honest,TN,36168,1.3564522006178414,,0.7
3,4,670804.3006105216,honest,TN,26131,1.1810190811798464,,0.7
3,5,447334.2701056793,honest,TN,36828,1.4289023077762488,,0.7
3,6,606719.1093679393,honest,TN,41913,1.1420763115133032,,0.7
3,7,877317.7975871097,honest,TN,23961,1.5708396465370165,,0.7
3,8,987310.1384398872,honest,TN,23035,1.4642965239408958,,0.7
3,9,912714.7099507602,honest,TN,46439,1.2947268556928377,,0.7
3,10,1926711.6907848802,honest,TN,54149,1.3346977016878712,,0.7
4,1,4056874809.353177,byzantine,TP,58674,1.3597929741190133,,0.7
4,2,3220129584.4407864,byzantine,TP,36250,1.2529280000791145,,0.7
4,3,430907.80990355497,honest,TN,36168,1.3564522006178414,,0.7
4,4,670761.7237309945,honest,TN,26131,1.1810190811798464,,0.7
4,5,447302.0067635084,honest,TN,36828,1.4289023077762488,,0.7
4,6,606705.2677040028,honest,TN,41913,1.1420763115133032,,0.7
4,7,877292.2190215493,honest,TN,23961,1.5708396465370165,,0.7
4,8,987287.5911025329,honest,TN,23035,1.4642965239408958,,0.7
4,9,912699.5716618876,honest,TN,46439,1.2947268556928377,,0.7
4,10,1926730.251210704,honest,TN,54149,1.3346977016878712,,0.7
5,1,6117263995.398199,byzantine,TP,58674,1.3597929741190133,,0.7
5,2,5078300696.568227,byzantine,TP,36250,1.2529280000791145,,0.7
5,3,430901.3778105582,honest,TN,36168,1.3564522006178414,,0.7
5,4,670788.9977277518,honest,TN,26131,1.1810190811798464,,0.7
5,5,447308.44810504833,honest,TN,36828,1.4289023077762488,,0.7
5,6,606711.4288772438,honest,TN,41913,1.1420763115133032,,0.7
5,7,877302.0482029417,honest,TN,23961,1.5708396465370165,,0.7
5,8,987297.2280874869,honest,TN,23035,1.4642965239408958,,0.7
5,9,912740.6545736818,honest,TN,46439,1.2947268556928377,,0.7
5,10,1926710.7814572044,honest,TN,54149,1.3346977016878712,,0.7
6,1,8600116629.11713,byzantine,TP,58674,1.3597929741190133,,0.7
6,2,7358922996.424553,byzantine,TP,36250,1.2529280000791145,,0.7
6,3,430922.54939539055,honest,TN,36168,1.3564522006178414,,0.7
6,4,670778.8099472197,honest,TN,26131,1.1810190811798464,,0.7
6,5,447331.7144256271,honest,TN,36828,1.4289023077762488,,0.7
6,6,606715.0049485248,honest,TN,41913,1.1420763115133032,,0.7
6,7,877318.6315360288,honest,TN,23961,1.5708396465370165,,0.7
6,8,987303.0190914632,honest,TN,23035,1.4642965239408958,,0.7
6,9,912739.4057835522,honest,TN,46439,1.2947268556928377,,0.7
6,10,1926746.7253965596,honest,TN,54149,1.3346977016878712,,0.7
7,1,11505435495.213602,byzantine,TP,58674,1.3597929741190133,,0.7
7,2,10062015640.905354,byzantine,TP,36250,1.2529280000791145,,0.7
7,3,430962.9507030389,honest,TN,36168,1.3564522006178414,,0.7
7,4,670811.6825496403,honest,TN,26131,1.1810190811798464,,0.7
7,5,447405.4381307432,honest,TN,36828,1.4289023077762488,,0.7
7,6,606750.2144568046,honest,TN,41913,1.1420763115133032,,0.7
7,7,877329.407737008,honest,TN,23961,1.5708396465370165,,0.7
7,8,987322.4353955373,honest,TN,23035,1.4642965239408958,,0.7
7,9,912766.3844504652,honest,TN,46439,1.2947268556928377,,0.7
7,10,1926733.3033314801,honest,TN,54149,1.3346977016878712,,0.7
