round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,5.732373770533322e-05,byzantine,TP,58674,1.3597929741190133,,0.7
1,2,1.772219981102104e-05,byzantine,FN,36250,1.2529280000791145,,0.7
1,3,1.7726263008804073e-05,honest,TN,36168,1.3564522006178414,,0.7
1,4,2.4625296524336127e-05,honest,TN,26131,1.1810190811798464,,0.7
1,5,1.7921107610035073e-05,honest,TN,36828,1.4289023077762488,,0.7
1,6,2.1729432098104254e-05,honest,TN,41913,1.1420763115133032,,0.7
1,7,3.2570677202871005e-05,honest,TN,23961,1.5708396465370165,,0.7
1,8,3.595326923037518e-05,honest,TN,23035,1.4642965239408958,,0.7
1,9,2.460725332528686e-05,honest,TN,46439,1.2947268556928377,,0.7
1,10,4.45525335760869e-05,honest,TN,54149,1.3346977016878712,,0.7
2,1,5.704207851684082e-05,byzantine,TP,58674,1.3597929741190133,,0.7
2,2,9.107559757429848e-05,byzantine,TP,36250,1.2529280000791145,,0.7
2,3,1.0944880429466055e-05,honest,TN,36168,1.3564522006178414,,0.7
2,4,1.5482067901351336e-05,honest,TN,26131,1.1810190811798464,,0.7
2,5,1.128456565741676e-05,honest,TN,36828,1.4289023077762488,,0.7
2,6,1.4649039982458967e-05,honest,TN,41913,1.1420763115133032,,0.7
2,7,1.658061061872376e-05,honest,TN,23961,1.5708396465370165,,0.7
2,8,1.737539640401457e-05,honest,TN,23035,1.4642965239408958,,0.7
2,9,2.021627453392087e-05,honest,TN,46439,1.2947268556928377,,0.7
2,10,3.462047641519363e-05,honest,FP,54149,1.3346977016878712,,0.7
3,1,8.962078226910228e-05,byzantine,TP,58674,1.3597929741190133,,0.7
3,2,0.00019245659463809655,byzantine,TP,36250,1.2529280000791145,,0.7
3,3,2.208981699118265e-05,honest,TN,36168,1.3564522006178414,,0.7
3,4,2.6295505668470507e-05,honest,TN,26131,1.1810190811798464,,0.7
3,5,2.2629932921042843e-05,honest,TN,36828,1.4289023077762488,,0.7
3,6,2.824551324598012e-05,honest,TN,41913,1.1420763115133032,,0.7
3,7,2.8861344645667552e-05,honest,TN,23961,1.5708396465370165,,0.7
3,8,3.0396059110391147e-05,honest,TN,23035,1.4642965239408958,,0.7
3,9,3.6614265062234584e-05,honest,TN,46439,1.2947268556928377,,0.7
3,10,5.616629478280603e-05,honest,FP,54149,1.3346977016878712,,0.7
4,1,8.948350443982248e-05,byzantine,TP,58674,1.3597929741190133,,0.7
4,2,0.00019214290687680137,byzantine,TP,36250,1.2529280000791145,,0.7
4,3,2.2090825874030364e-05,honest,TN,36168,1.3564522006178414,,0.7
4,4,2.6278814592065752e-05,honest,TN,26131,1.1810190811798464,,0.7
4,5,2.263010364617435e-05,honest,TN,36828,1.4289023077762488,,0.7
4,6,2.8246357066678207e-05,honest,TN,41913,1.1420763115133032,,0.7
4,7,2.8849872186346333e-05,honest,TN,23961,1.5708396465370165,,0.7
4,8,3.0385838430817834e-05,honest,TN,23035,1.4642965239408958,,0.7
4,9,3.661690555164724e-05,honest,TN,46439,1.2947268556928377,,0.7
4,10,5.616705518187094e-05,honest,FP,54149,1.3346977016878712,,0.7
5,1,8.944465982206571e-05,byzantine,TP,58674,1.3597929741190133,,0.7
5,2,0.0001920513799164891,byzantine,TP,36250,1.2529280000791145,,0.7
5,3,2.208990216488129e-05,honest,TN,36168,1.3564522006178414,,0.7
5,4,2.6273911394269967e-05,honest,TN,26131,1.1810190811798464,,0.7
5,5,2.2630170071339046e-05,honest,TN,36828,1.4289023077762488,,0.7
5,6,2.8245517705851534e-05,honest,TN,41913,1.1420763115133032,,0.7
5,7,2.8845122122386418e-05,honest,TN,23961,1.5708396465370165,,0.7
5,8,3.038190940936136e-05,honest,TN,23035,1.4642965239408958,,0.7
5,9,3.661485765970114e-05,honest,TN,46439,1.2947268556928377,,0.7
5,10,5.6167946462213716e-05,honest,FP,54149,1.3346977016878712,,0.7
6,1,8.94249784321639e-05,byzantine,TP,58674,1.3597929741190133,,0.7
6,2,0.00019200837798138946,byzantine,TP,36250,1.2529280000791145,,0.7
6,3,2.2090625089103773e-05,honest,TN,36168,1.3564522006178414,,0.7
6,4,2.6271539371071935e-05,honest,TN,26131,1.1810190811798464,,0.7
6,5,2.263158049261477e-05,honest,TN,36828,1.4289023077762488,,0.7
6,6,2.8247459805564347e-05,honest,TN,41913,1.1420763115133032,,0.7
6,7,2.8844771803051943e-05,honest,TN,23961,1.5708396465370165,,0.7
6,8,3.0380742797934012e-05,honest,TN,23035,1.4642965239408958,,0.7
6,9,3.6615695582547454e-05,honest,TN,46439,1.2947268556928377,,0.7
6,10,5.61665793910919e-05,honest,FP,54149,1.3346977016878712,,0.7
7,1,8.940350183964983e-05,byzantine,TP,58674,1.3597929741190133,,0.7
7,2,0.00019195931541058638,byzantine,TP,36250,1.2529280000791145,,0.7
7,3,2.2090236654379897e-05,honest,TN,36168,1.3564522006178414,,0.7
7,4,2.6270367738115584e-05,honest,TN,26131,1.1810190811798464,,0.7
7,5,2.263066602775473e-05,honest,TN,36828,1.4289023077762488,,0.7
7,6,2.824576908592228e-05,honest,TN,41913,1.1420763115133032,,0.7
7,7,2.8841453478064545e-05,honest,TN,23961,1.5708396465370165,,0.7
7,8,3.0379060488822808e-05,honest,TN,23035,1.4642965239408958,,0.7
7,9,3.661501614266999e-05,honest,TN,46439,1.2947268556928377,,0.7
7,10,5.6166606059699284e-05,honest,FP,54149,1.3346977016878712,,0.7
8,1,8.939839453724459e-05,byzantine,TP,58674,1.3597929741190133,,0.7
8,2,0.00019194811278156647,byzantine,TP,36250,1.2529280000791145,,0.7
8,3,2.209031166283224e-05,honest,TN,36168,1.3564522006178414,,0.7
8,4,2.626823666069133e-05,honest,TN,26131,1.1810190811798464,,0.7
8,5,2.2629228232894704e-05,honest,TN,36828,1.4289023077762488,,0.7
8,6,2.8245339518088636e-05,honest,TN,41913,1.1420763115133032,,0.7
8,7,2.8840770658699096e-05,honest,TN,23961,1.5708396465370165,,0.7
8,8,3.0378368703269412e-05,honest,TN,23035,1.4642965239408958,,0.7
8,9,3.661490159557401e-05,honest,TN,46439,1.2947268556928377,,0.7
8,10,5.6166375594264096e-05,honest,FP,54149,1.3346977016878712,,0.7
9,1,8.939537582328634e-05,byzantine,TP,58674,1.3597929741190133,,0.7
9,2,0.00019193961239494063,byzantine,TP,36250,1.2529280000791145,,0.7
9,3,2.2090996658942368e-05,honest,TN,36168,1.3564522006178414,,0.7
9,4,2.6272968036610915e-05,honest,TN,26131,1.1810190811798464,,0.7
9,5,2.2631298574303594e-05,honest,TN,36828,1.4289023077762488,,0.7
9,6,2.8246593391034064e-05,honest,TN,41913,1.1420763115133032,,0.7
9,7,2.8841109913214622e-05,honest,TN,23961,1.5708396465370165,,0.7
9,8,3.037924852264165e-05,honest,TN,23035,1.4642965239408958,,0.7
9,9,3.6615867081350744e-05,honest,TN,46439,1.2947268556928377,,0.7
9,10,5.616709549229797e-05,honest,FP,54149,1.3346977016878712,,0.7
10,1,8.938949192139383e-05,byzantine,TP,58674,1.3597929741190133,,0.7
10,2,0.00019192495215400066,byzantine,TP,36250,1.2529280000791145,,0.7
10,3,2.209106729728221e-05,honest,TN,36168,1.3564522006178414,,0.7
10,4,2.6267477598129615e-05,honest,TN,26131,1.1810190811798464,,0.7
10,5,2.2630078500882036e-05,honest,TN,36828,1.4289023077762488,,0.7
10,6,2.824552721747447e-05,honest,TN,41913,1.1420763115133032,,0.7
10,7,2.884044852008379e-05,honest,TN,23961,1.5708396465370165,,0.7
10,8,3.0377987323399663e-05,honest,TN,23035,1.4642965239408958,,0.7
10,9,3.6615223707556813e-05,honest,TN,46439,1.2947268556928377,,0.7
10,10,5.616625908118632e-05,honest,FP,54149,1.3346977016878712,,0.7
11,1,8.9397293612129e-05,byzantine,TP,58674,1.3597929741190133,,0.7
11,2,0.00019194333943752732,byzantine,TP,36250,1.2529280000791145,,0.7
11,3,2.209102282131767e-05,honest,TN,36168,1.3564522006178414,,0.7
11,4,2.626838612144566e-05,honest,TN,26131,1.1810190811798464,,0.7
11,5,2.263143303458982e-05,honest,TN,36828,1.4289023077762488,,0.7
11,6,2.824641527071378e-05,honest,TN,41913,1.1420763115133032,,0.7
11,7,2.8841176584608546e-05,honest,TN,23961,1.5708396465370165,,0.7
11,8,3.0378325651139755e-05,honest,TN,23035,1.4642965239408958,,0.7
11,9,3.661827981260171e-05,honest,TN,46439,1.2947268556928377,,0.7
11,10,5.61664704959315e-05,honest,FP,54149,1.3346977016878712,,0.7
12,1,8.939491463253008e-05,byzantine,TP,58674,1.3597929741190133,,0.7
12,2,0.00019193983895979548,byzantine,TP,36250,1.2529280000791145,,0.7
12,3,2.2090952993539118e-05,honest,TN,36168,1.3564522006178414,,0.7
12,4,2.6274720250726986e-05,honest,TN,26131,1.1810190811798464,,0.7
12,5,2.2632599400698058e-05,honest,TN,36828,1.4289023077762488,,0.7
12,6,2.824698473057675e-05,honest,TN,41913,1.1420763115133032,,0.7
12,7,2.8841613076557312e-05,honest,TN,23961,1.5708396465370165,,0.7
12,8,3.0379269106750245e-05,honest,TN,23035,1.4642965239408958,,0.7
12,9,3.661602777451671e-05,honest,TN,46439,1.2947268556928377,,0.7
