round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,0.004753179398370676,byzantine,TP,27585,1.505087061007837,,0.7
1,2,0.004219799083583548,byzantine,TP,20025,1.3294055276688073,,0.7
1,3,9.18496500914626e-06,honest,TN,24056,1.7416985958662008,,0.7
1,4,4.535152084828189e-06,honest,TN,42850,1.407872066632392,,0.7
1,5,6.210204693764705e-06,honest,TN,32692,1.2552754601242937,,0.7
1,6,8.543074300979256e-06,honest,TN,61349,1.2782709978826896,,0.7
1,7,5.160275749687708e-06,honest,TN,39524,1.4632909224593453,,0.7
1,8,8.532660080161226e-06,honest,TN,61269,1.4062414392710445,,0.7
1,9,1.257219754544728e-05,honest,TN,15534,1.7877402481724878,,0.7
1,10,7.3866988402675506e-06,honest,TN,58665,1.2785062261378668,,0.7
2,1,0.004749782773696496,byzantine,TP,27585,1.505087061007837,,0.7
2,2,0.0042409107629973915,byzantine,TP,20025,1.3294055276688073,,0.7
2,3,9.184300061507202e-06,honest,TN,24056,1.7416985958662008,,0.7
2,4,4.53444481601812e-06,honest,TN,42850,1.407872066632392,,0.7
2,5,6.20958849767435e-06,honest,TN,32692,1.2552754601242937,,0.7
2,6,8.54253062641641e-06,honest,TN,61349,1.2782709978826896,,0.7
2,7,5.159709783578751e-06,honest,TN,39524,1.4632909224593453,,0.7
2,8,8.532077219513612e-06,honest,TN,61269,1.4062414392710445,,0.7
2,9,1.257158844444277e-05,honest,TN,15534,1.7877402481724878,,0.7
2,10,7.3859060580512875e-06,honest,TN,58665,1.2785062261378668,,0.7
3,1,0.004769640742118051,byzantine,TP,27585,1.505087061007837,,0.7
3,2,0.004252356243666217,byzantine,TP,20025,1.3294055276688073,,0.7
3,3,9.184144560644275e-06,honest,TN,24056,1.7416985958662008,,0.7
3,4,4.534445721107046e-06,honest,TN,42850,1.407872066632392,,0.7
3,5,6.209368002144556e-06,honest,TN,32692,1.2552754601242937,,0.7
3,6,8.542421392835015e-06,honest,TN,61349,1.2782709978826896,,0.7
3,7,5.159233925185581e-06,honest,TN,39524,1.4632909224593453,,0.7
