round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,0.0004144988822268889,byzantine,TP,30064,1.5202719823573294,,0.7
1,2,0.0006563893017736354,byzantine,TP,39700,1.3082093533865293,,0.7
1,3,7.637307544202273e-06,honest,TN,20972,1.4532538583970809,,0.7
1,4,7.631523746835986e-06,honest,TN,20876,1.830737112889513,,0.7
1,5,4.948005301613563e-06,honest,TN,52458,1.6769883820087743,,0.7
1,6,4.538548052947015e-06,honest,TN,50221,1.711372126170055,,0.7
1,7,7.936211999325962e-06,honest,TN,64198,1.3797701526361075,,0.7
1,8,4.260621660425781e-06,honest,TN,48498,1.2544870311434804,,0.7
1,9,1.1147816716538081e-05,honest,TN,11341,1.643827160512035,,0.7
1,10,3.9369561460672185e-06,honest,TN,45220,1.6005336081717305,,0.7
2,1,0.0026369087208669103,byzantine,TP,30064,1.5202719823573294,,0.7
2,2,0.003235829264575028,byzantine,TP,39700,1.3082093533865293,,0.7
2,3,7.63538088933857e-06,honest,TN,20972,1.4532538583970809,,0.7
2,4,7.63077093912033e-06,honest,TN,20876,1.830737112889513,,0.7
2,5,4.947314799817087e-06,honest,TN,52458,1.6769883820087743,,0.7
2,6,4.537779682847069e-06,honest,TN,50221,1.711372126170055,,0.7
2,7,7.935596102882509e-06,honest,TN,64198,1.3797701526361075,,0.7
2,8,4.259877856175468e-06,honest,TN,48498,1.2544870311434804,,0.7
2,9,1.1147209676299171e-05,honest,TN,11341,1.643827160512035,,0.7
2,10,3.936256248769289e-06,honest,TN,45220,1.6005336081717305,,0.7
3,1,0.006788094078484217,byzantine,TP,30064,1.5202719823573294,,0.7
3,2,0.007765942506830788,byzantine,TP,39700,1.3082093533865293,,0.7
3,3,7.635432007871112e-06,honest,TN,20972,1.4532538583970809,,0.7
3,4,7.630832590339307e-06,honest,TN,20876,1.830737112889513,,0.7
3,5,4.947373795213773e-06,honest,TN,52458,1.6769883820087743,,0.7
3,6,4.537886695731289e-06,honest,TN,50221,1.711372126170055,,0.7
3,7,7.935634888938466e-06,honest,TN,64198,1.3797701526361075,,0.7
3,8,4.260438861379031e-06,honest,TN,48498,1.2544870311434804,,0.7
