round_id,client_id,raw_krum_score,ground_truth_client_label,classification,client_n_samples,client_class_entropy,active_epsilon_config,alpha_dirichlet_config
1,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
1,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
1,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
1,4,nan,honest,N/A,42850,1.407872066632392,,0.7
1,5,nan,honest,N/A,32692,1.2552754601242937,,0.7
1,6,nan,honest,N/A,61349,1.2782709978826896,,0.7
1,7,nan,honest,N/A,39524,1.4632909224593453,,0.7
1,8,nan,honest,N/A,61269,1.4062414392710445,,0.7
1,9,nan,honest,N/A,15534,1.7877402481724878,,0.7
1,10,nan,honest,N/A,58665,1.2785062261378668,,0.7
2,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
2,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
2,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
2,4,nan,honest,N/A,42850,1.407872066632392,,0.7
2,5,nan,honest,N/A,32692,1.2552754601242937,,0.7
2,6,nan,honest,N/A,61349,1.2782709978826896,,0.7
2,7,nan,honest,N/A,39524,1.4632909224593453,,0.7
2,8,nan,honest,N/A,61269,1.4062414392710445,,0.7
2,9,nan,honest,N/A,15534,1.7877402481724878,,0.7
2,10,nan,honest,N/A,58665,1.2785062261378668,,0.7
3,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
3,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
3,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
3,4,nan,honest,N/A,42850,1.407872066632392,,0.7
3,5,nan,honest,N/A,32692,1.2552754601242937,,0.7
3,6,nan,honest,N/A,61349,1.2782709978826896,,0.7
3,7,nan,honest,N/A,39524,1.4632909224593453,,0.7
3,8,nan,honest,N/A,61269,1.4062414392710445,,0.7
3,9,nan,honest,N/A,15534,1.7877402481724878,,0.7
3,10,nan,honest,N/A,58665,1.2785062261378668,,0.7
4,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
4,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
4,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
4,4,nan,honest,N/A,42850,1.407872066632392,,0.7
4,5,nan,honest,N/A,32692,1.2552754601242937,,0.7
4,6,nan,honest,N/A,61349,1.2782709978826896,,0.7
4,7,nan,honest,N/A,39524,1.4632909224593453,,0.7
4,8,nan,honest,N/A,61269,1.4062414392710445,,0.7
4,9,nan,honest,N/A,15534,1.7877402481724878,,0.7
4,10,nan,honest,N/A,58665,1.2785062261378668,,0.7
5,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
5,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
5,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
5,4,nan,honest,N/A,42850,1.407872066632392,,0.7
5,5,nan,honest,N/A,32692,1.2552754601242937,,0.7
5,6,nan,honest,N/A,61349,1.2782709978826896,,0.7
5,7,nan,honest,N/A,39524,1.4632909224593453,,0.7
5,8,nan,honest,N/A,61269,1.4062414392710445,,0.7
5,9,nan,honest,N/A,15534,1.7877402481724878,,0.7
5,10,nan,honest,N/A,58665,1.2785062261378668,,0.7
6,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
6,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
6,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
6,4,nan,honest,N/A,42850,1.407872066632392,,0.7
6,5,nan,honest,N/A,32692,1.2552754601242937,,0.7
6,6,nan,honest,N/A,61349,1.2782709978826896,,0.7
6,7,nan,honest,N/A,39524,1.4632909224593453,,0.7
6,8,nan,honest,N/A,61269,1.4062414392710445,,0.7
6,9,nan,honest,N/A,15534,1.7877402481724878,,0.7
6,10,nan,honest,N/A,58665,1.2785062261378668,,0.7
7,1,nan,byzantine,N/A,27585,1.505087061007837,,0.7
7,2,nan,byzantine,N/A,20025,1.3294055276688073,,0.7
7,3,nan,honest,N/A,24056,1.7416985958662008,,0.7
