round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.575426,0.591140,0.607407,0.954860,0.000000,0.000000,0.013072,0.333515,0.537500,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.511209,0.726428,0.265734,0.959391,0.000000,0.000000,0.000000,0.571298,0.509363,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.578891,0.581296,0.519451,0.902174,0.000000,0.000000,0.000000,0.606557,0.549369,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.625655,0.510776,0.639444,0.927152,0.000000,0.000000,0.000000,0.473196,0.523490,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.718768,0.439870,0.576906,0.940503,0.000000,0.000000,0.007220,0.204669,0.547782,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.686194,0.475542,0.489835,0.960469,0.000000,0.000000,0.003185,0.331963,0.572254,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.897430,0.238436,0.604944,0.938601,0.000000,0.000000,0.007663,0.002724,0.500000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.567096,0.529968,0.690269,0.919390,0.000000,0.000000,0.000000,0.358051,0.650000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.997162,0.143537,0.476923,0.137931,0.000000,0.000000,0.007273,0.004132,0.608059,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.661773,0.469254,0.628625,0.943835,0.000000,0.000000,0.000000,0.206112,0.572736,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.681960,0.470625,0.549954,0.858431,0.000000,0.000000,0.003841,0.309222,0.557055,0.000000,0,8,0.0000,N/A,317.68,N/A,N/A,N/A,7.6598e+05,1.2703e+06,0.6030,0
2,1,0.437874,0.906914,0.875297,0.995650,0.996552,0.011173,0.398374,0.998363,0.772358,0.444444,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.314322,0.959202,0.823970,0.993322,0.982260,0.775309,0.521212,0.992806,0.880208,0.150000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.556870,0.873445,0.812918,0.997290,1.000000,0.232258,0.176471,0.995766,0.904125,0.606061,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.529474,0.847845,0.863843,0.993311,0.995816,0.582278,0.470588,0.994547,0.785872,0.083333,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.472782,0.902213,0.867878,0.995180,0.998492,0.230137,0.363239,0.998672,0.874074,0.137931,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.527948,0.823688,0.708481,0.995786,0.997059,0.132388,0.517674,0.994578,0.675105,0.133333,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.511811,0.846790,0.814906,0.997178,0.999096,0.020921,0.522777,0.933333,0.476608,0.634146,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.557163,0.863425,0.899101,0.995595,0.998542,0.078358,0.369159,0.997776,0.357143,0.686567,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.679222,0.763680,0.726872,1.000000,1.000000,0.764045,0.484108,0.307692,0.775819,0.500000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.528173,0.884776,0.887439,0.994264,0.995798,0.319688,0.297398,0.995290,0.883242,0.333333,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.511564,0.867198,0.828070,0.995758,0.996361,0.314655,0.412100,0.920882,0.738455,0.370915,0,7,1.0000,N/A,302.45,N/A,N/A,N/A,4.1603e+06,1.8971e+06,2.1930,0
3,1,0.283620,0.919186,0.879906,0.996444,0.994819,0.010101,0.631579,1.000000,0.861111,0.687500,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.172533,0.966228,0.795539,0.993898,0.983178,0.839329,0.674556,0.999198,0.904632,0.146341,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.435064,0.870871,0.778367,0.997290,1.000000,0.235294,0.288889,0.999156,0.892655,0.820513,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.389613,0.873276,0.858434,0.993311,0.995816,0.598425,0.704961,0.998912,0.867830,0.080000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.327798,0.905473,0.845495,0.995552,0.997888,0.235577,0.591928,1.000000,0.882999,0.206897,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.422213,0.863107,0.667750,0.996692,0.997548,0.159794,0.686889,0.998454,0.831533,0.285714,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.387535,0.872722,0.778964,0.997178,0.998945,0.024341,0.683838,0.823529,0.727273,0.695652,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.384789,0.874003,0.897171,0.996700,0.998542,0.072900,0.682667,1.000000,0.703704,0.800000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.530944,0.820777,0.745690,1.000000,1.000000,0.819572,0.665116,0.800000,0.836257,0.545455,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.366385,0.891940,0.880749,0.994264,0.996322,0.323843,0.639594,1.000000,0.890141,0.320000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.370049,0.885758,0.812806,0.996133,0.996306,0.331918,0.625002,0.961925,0.839814,0.458807,0,7,1.0000,N/A,318.77,N/A,N/A,N/A,4.1518e+06,1.8963e+06,2.1895,0
4,1,0.151564,0.977252,0.970819,0.998423,0.997412,0.048780,0.913183,1.000000,0.893023,0.846154,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.101712,0.981188,0.956522,0.994665,0.984097,0.943396,0.864865,1.000000,0.928382,0.157895,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,3,0.276918,0.925354,0.961411,0.997290,1.000000,0.677966,0.320000,1.000000,0.917035,0.820513,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.216869,0.955603,0.974656,0.993311,0.995816,0.899408,0.880325,1.000000,0.880196,0.080000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.190543,0.959684,0.968260,0.995924,0.998191,0.628205,0.769953,1.000000,0.906210,0.222222,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.218825,0.960581,0.928287,0.996993,0.997548,0.746988,0.925580,0.999227,0.852910,0.307692,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.199648,0.970003,0.960099,0.998119,0.999096,0.230769,0.937202,1.000000,0.750562,0.739130,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.205799,0.970867,0.977882,0.997797,0.998542,0.292994,0.936082,1.000000,0.769231,0.805195,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.290570,0.944489,0.957746,1.000000,1.000000,0.964029,0.913669,1.000000,0.889518,0.545455,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.213684,0.957214,0.978222,0.994904,0.996322,0.728000,0.613419,1.000000,0.914601,0.320000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.206613,0.960223,0.963390,0.996743,0.996702,0.616054,0.807428,0.999923,0.870167,0.484426,0,7,1.0000,N/A,313.76,N/A,N/A,N/A,4.1454e+06,1.8957e+06,2.1868,0
5,1,0.127569,0.987429,0.990623,0.998818,0.997407,0.166667,0.918919,1.000000,0.903509,0.814815,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.091276,0.985041,0.976562,0.996004,0.988722,0.953678,0.884793,0.998392,0.950649,0.166667,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,3,0.229678,0.953668,0.991209,0.997290,1.000000,0.909091,0.400000,0.999155,0.946803,0.820513,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.192594,0.962500,0.982105,0.996667,0.997904,0.935385,0.880503,0.998909,0.893617,0.083333,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.164227,0.973237,0.984530,0.997039,0.998189,0.823529,0.807496,0.998672,0.936430,0.230769,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.209765,0.962372,0.937743,0.997596,0.998527,0.925373,0.920648,0.996899,0.862903,0.307692,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.186146,0.972526,0.970874,0.998119,0.998945,0.545455,0.931607,1.000000,0.757322,0.708333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.166922,0.986639,0.992109,0.997797,0.998542,0.621622,0.944681,1.000000,0.700000,0.784810,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.268887,0.950040,0.971963,1.000000,1.000000,0.971014,0.913761,1.000000,0.901639,0.545455,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.175767,0.974328,0.992397,0.995544,0.996845,0.896552,0.673993,1.000000,0.941806,0.307692,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
