round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.762252,0.404141,0.537339,0.020126,0.838466,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.798157,0.296425,0.541456,0.345238,0.829457,0.028520,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.637407,0.628763,0.304348,0.757377,0.832518,0.332114,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.781038,0.292700,0.538182,0.881612,0.820896,0.027237,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.553616,0.686538,0.400000,0.907808,0.834774,0.169863,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.796842,0.269000,0.508475,0.959391,0.859375,0.036532,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.637639,0.542246,0.552394,0.777193,0.830128,0.149780,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.900883,0.282813,0.547584,0.657407,0.851406,0.083288,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.506464,0.713178,0.521344,0.901314,0.824474,0.035573,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.534992,0.639355,0.521385,0.972418,0.847599,0.150294,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.690929,0.475516,0.497251,0.717988,0.836909,0.101320,0.000000,0.000000,0.000000,0.000000,0,8,1.0000,N/A,298.00,N/A,N/A,N/A,1.2010e+09,8.5767e+05,1400.2664,0
2,1,0.647495,0.847699,0.883707,0.439024,0.997104,0.000000,0.725649,0.866332,0.367925,0.500000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.815944,0.788232,0.909051,0.697674,0.996644,0.131716,0.457652,0.863833,0.386243,0.250000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.439764,0.935058,0.742857,0.985974,0.997900,0.698052,0.664537,0.870048,0.000000,0.333333,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.761981,0.788223,0.875984,0.954667,0.993631,0.129676,0.721036,0.853846,0.285714,0.266667,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.407013,0.918153,0.730159,0.993478,0.996937,0.454545,0.687500,0.883049,0.337500,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.094926,0.486904,0.685520,0.989247,1.000000,0.101266,0.144993,0.857143,0.372429,0.400000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.578625,0.877582,0.910409,0.966916,0.998628,0.450000,0.592000,0.877419,0.325000,0.266667,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.765817,0.794531,0.892779,0.921136,0.998833,0.300000,0.045977,0.865535,0.307692,0.466667,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.398096,0.928488,0.883221,0.996590,0.996081,0.151111,0.660944,0.000000,0.293333,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.493700,0.894964,0.909548,0.995846,0.994516,0.465714,0.581197,0.840149,0.353591,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.640336,0.825984,0.842324,0.894055,0.997027,0.288208,0.528148,0.777735,0.302943,0.248333,0,8,1.0000,N/A,298.10,N/A,N/A,N/A,1.2026e+09,8.5749e+05,1402.4723,0
