round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.444273,0.587549,0.696319,0.842359,0.000000,0.000000,0.000000,0.015974,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.544359,0.529238,0.142777,0.878636,0.000000,0.000000,0.000000,0.039216,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.649463,0.268125,0.355155,0.827778,0.000000,0.000000,0.000000,0.071875,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.567765,0.407759,0.552936,0.759812,0.000000,0.000000,0.000000,0.040404,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.618310,0.407789,0.584730,0.765415,0.000000,0.000000,0.000000,0.015662,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.666384,0.343666,0.268880,0.838998,0.000000,0.000000,0.000000,0.041322,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.752986,0.292262,0.586074,0.628922,0.000000,0.000000,0.000000,0.001119,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.285555,0.674337,0.861093,0.718391,0.000000,0.000000,0.000000,0.037987,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.960165,0.167328,0.363478,0.039604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.481851,0.528358,0.736862,0.763218,0.000000,0.000000,0.000000,0.033898,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.597111,0.420641,0.514830,0.706313,0.000000,0.000000,0.000000,0.029746,0.000000,0.000000,0,6,0.0000,N/A,306.38,N/A,N/A,N/A,5.6008e+05,1.2070e+06,0.4640,0
2,1,0.310987,0.952110,0.944353,0.993352,0.994783,1.000000,0.602564,0.969889,0.805970,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.331638,0.937670,0.609137,0.996035,0.991420,0.215962,0.547718,0.978022,0.847262,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
