round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.444425,0.587549,0.696319,0.842359,0.000000,0.000000,0.000000,0.015974,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.544584,0.528558,0.142536,0.878137,0.000000,0.000000,0.000000,0.039130,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.649496,0.267696,0.355016,0.824513,0.000000,0.000000,0.000000,0.071875,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.567807,0.407759,0.552936,0.761006,0.000000,0.000000,0.000000,0.040268,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.618426,0.407617,0.584594,0.766310,0.000000,0.000000,0.000000,0.015625,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.666513,0.343666,0.268880,0.839499,0.000000,0.000000,0.000000,0.041254,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.753147,0.292262,0.586074,0.629603,0.000000,0.000000,0.000000,0.001117,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.285507,0.674337,0.861093,0.718391,0.000000,0.000000,0.000000,0.037987,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.960240,0.167328,0.363478,0.039604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.481868,0.528358,0.736862,0.764097,0.000000,0.000000,0.000000,0.033857,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.597201,0.420513,0.514779,0.706352,0.000000,0.000000,0.000000,0.029709,0.000000,0.000000,0,6,0.0000,N/A,304.23,N/A,N/A,N/A,5.5984e+05,1.2070e+06,0.4638,0
2,1,0.346374,0.956899,0.945434,0.993730,0.993031,0.000000,0.689655,0.990291,0.823529,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.365178,0.936310,0.712575,0.995273,0.992381,0.020833,0.498498,0.981875,0.860399,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.548733,0.859717,0.848907,0.941176,0.967742,0.000000,0.246914,0.996633,0.852613,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.606119,0.865948,0.901774,0.966184,0.989429,0.011905,0.664430,0.986006,0.817708,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.435112,0.922628,0.902979,0.992294,0.995146,0.000000,0.571429,0.981771,0.842886,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.435873,0.914352,0.737439,0.997605,0.997041,0.000000,0.829996,0.992320,0.802286,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
