round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.773540,0.609663,0.819868,0.052083,0.968343,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.723834,0.575968,0.865254,0.456522,0.968966,0.046163,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.745721,0.658373,0.136929,0.721541,0.965872,0.330218,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.720856,0.506198,0.802027,0.696203,0.932432,0.042882,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.705998,0.612265,0.143529,0.785041,0.964770,0.177320,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.943768,0.246243,0.366071,0.798314,0.960854,0.045994,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.676359,0.711603,0.800955,0.715507,0.967468,0.248428,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.855255,0.380469,0.792221,0.703833,0.979786,0.092154,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.652688,0.695930,0.536056,0.767407,0.965680,0.061329,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.627925,0.664783,0.708824,0.798453,0.964218,0.257143,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.742594,0.566150,0.597174,0.649490,0.963839,0.130163,0.000000,0.000000,0.000000,0.000000,0,9,0.5000,N/A,127.91,N/A,N/A,N/A,3.7523e-05,2.7461e-05,1.3664,0
2,1,0.732795,0.781288,0.818670,0.947368,0.998735,0.000000,0.651957,0.719637,0.000000,0.333333,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.005744,0.650199,0.825449,0.983607,1.000000,0.078078,0.345920,0.705534,0.000000,0.424242,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.485354,0.900722,0.717391,0.995236,0.998427,0.647929,0.496203,0.742504,0.000000,0.263158,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.915377,0.698691,0.804913,0.991597,0.981132,0.075000,0.699610,0.709957,0.000000,0.764706,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.494927,0.887857,0.746835,0.996045,0.995637,0.392777,0.603077,0.748159,0.000000,0.390244,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.443827,0.329755,0.648030,0.998445,0.993197,0.073853,0.108575,0.608696,0.000000,0.484848,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.680953,0.810740,0.819784,0.994463,0.998632,0.302026,0.512690,0.729927,0.000000,0.838710,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.939309,0.675781,0.831962,1.000000,0.998833,0.240260,0.021918,0.723800,0.000000,0.779661,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.475184,0.897481,0.811616,0.995920,0.996743,0.085859,0.622857,0.000000,0.000000,0.137931,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.629982,0.828154,0.820274,0.996909,0.983725,0.312963,0.525935,0.705394,0.000000,0.057143,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.780345,0.746067,0.784493,0.989959,0.994506,0.220874,0.458874,0.639361,0.000000,0.447398,0,7,1.0000,N/A,129.46,N/A,N/A,N/A,7.4059e-05,1.7644e-05,4.1974,0
