round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.567034,0.530081,0.595996,0.742685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.669331,0.451496,0.108686,0.797009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.614668,0.244959,0.344880,0.706587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.642751,0.384052,0.521674,0.664441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.673958,0.377423,0.489097,0.668792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.724164,0.303171,0.227795,0.754693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.813826,0.271377,0.427740,0.525781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.425010,0.660419,0.823440,0.628067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.905595,0.167328,0.326818,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.541988,0.503284,0.674744,0.659892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.657833,0.389359,0.454087,0.618498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,10,0.0000,N/A,128.38,N/A,N/A,N/A,5.7349e-05,6.1906e-05,0.9264,0
2,1,0.327776,0.958396,0.939525,0.999606,0.998267,0.285714,0.600000,0.988691,0.853211,0.521739,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.299174,0.964869,0.735905,0.996195,0.992453,0.816199,0.696133,0.990461,0.908602,0.153846,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.522034,0.892321,0.821530,0.991914,1.000000,0.742857,0.307692,0.993289,0.886868,0.606061,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.457158,0.901293,0.890812,0.996667,0.997904,0.776557,0.688525,0.986006,0.848039,0.083333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.407081,0.936353,0.897189,0.997781,0.999396,0.778947,0.588235,0.980494,0.878493,0.148148,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.467276,0.888192,0.661041,0.997897,0.999017,0.750000,0.741715,0.981763,0.812030,0.142857,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.439715,0.910569,0.825318,0.997183,0.999096,0.500000,0.727529,0.341463,0.695067,0.590909,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.361835,0.957506,0.969304,0.994512,0.998542,0.723404,0.593814,0.997050,0.689655,0.696970,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.722943,0.801745,0.685413,0.800000,1.000000,0.810021,0.696017,0.181818,0.856322,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.419204,0.938905,0.942308,0.996183,0.997370,0.824242,0.476868,0.986003,0.880682,0.333333,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
