round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.578076,0.539359,0.655596,0.743073,0.000000,0.000000,0.000000,0.000000,0.147541,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.694924,0.470308,0.124266,0.812081,0.000000,0.000000,0.000000,0.000000,0.113744,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.641976,0.271986,0.356412,0.738095,0.000000,0.000000,0.000000,0.000000,0.110251,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.651477,0.390948,0.545096,0.667763,0.000000,0.000000,0.000000,0.000000,0.103448,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.639434,0.390290,0.571299,0.675968,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.715351,0.313564,0.257620,0.753968,0.000000,0.000000,0.000000,0.000000,0.113060,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.727626,0.275161,0.571968,0.506859,0.000000,0.000000,0.000000,0.000000,0.100840,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.446378,0.662646,0.854054,0.635226,0.000000,0.000000,0.000000,0.000000,0.160000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.803442,0.178430,0.369258,0.033613,0.000000,0.000000,0.000000,0.000000,0.136585,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.527078,0.513831,0.727106,0.660366,0.000000,0.000000,0.000000,0.000000,0.112058,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
