round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,nan,0.259049,0.411500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,nan,0.607994,0.756214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,nan,0.012690,0.025061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,nan,0.549931,0.709620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,nan,0.019301,0.037872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,nan,0.078360,0.145331,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,nan,0.386031,0.557031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,nan,0.191406,0.321311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,nan,0.149225,0.259696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,nan,0.351504,0.520167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,nan,0.260549,0.374380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,290.12,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,5425.662109,0.068558,0.000000,0.000000,0.000000,0.000000,0.000000,0.134033,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,6459.824707,0.132572,0.000000,0.000000,0.000000,0.064516,0.000000,0.249296,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,5248.620117,0.139587,0.000000,0.000000,0.000000,0.101167,0.000000,0.248695,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,7552.847168,0.041667,0.000000,0.000000,0.000000,0.105263,0.000000,0.083718,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,7138.906250,0.082336,0.000000,0.000000,0.000000,0.111111,0.000000,0.155180,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,4043.744141,0.006011,0.000000,0.000000,0.000000,0.024691,0.000000,0.010552,0.001978,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,7219.553711,0.029666,0.000000,0.000000,0.000000,0.073394,0.000000,0.058800,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,3365.346924,0.390625,0.000000,0.000000,0.000000,0.061224,0.000000,0.575635,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,8209.238281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,9068.147461,0.021439,0.000000,0.000000,0.000000,0.053571,0.000000,0.043379,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,6373.189087,0.091246,0.000000,0.000000,0.000000,0.059494,0.000000,0.155929,0.000198,0.000000,0,,N/A,N/A,297.77,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,7773.801270,0.194632,0.000000,0.000000,0.000000,0.000000,0.388690,0.042017,0.004695,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,9230.534180,0.062066,0.000000,0.056338,0.000000,0.000000,0.125144,0.049704,0.024096,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,8171.090820,0.047773,0.000000,0.055823,0.000000,0.000000,0.088563,0.051118,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,7685.776855,0.278581,0.000000,0.056872,0.000000,0.000000,0.493980,0.020478,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,6610.038086,0.095285,0.000000,0.086614,0.000000,0.000000,0.170357,0.048837,0.011315,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,4696.990234,0.052383,0.000000,0.090211,0.000000,0.000000,0.062825,0.000000,0.040226,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,9240.291016,0.075103,0.000000,0.072937,0.000000,0.000000,0.160183,0.037037,0.004598,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,7263.359375,0.028516,0.000000,0.086486,0.000000,0.000000,0.006645,0.078344,0.023585,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,7456.063477,0.081008,0.002594,0.056350,0.000000,0.000000,0.171316,0.000000,0.002172,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,7958.520020,0.078611,0.000000,0.079011,0.000000,0.000000,0.147121,0.011236,0.007407,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,7608.646533,0.099396,0.000259,0.064064,0.000000,0.000000,0.181482,0.033877,0.011809,0.000000,0,,N/A,N/A,289.95,N/A,N/A,N/A,N/A,N/A,N/A,0
4,1,8139.170410,0.457515,0.000000,0.000000,0.663394,0.000000,0.204415,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,18052.537109,0.082920,0.000000,0.000000,0.187755,0.000000,0.063291,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,3,7069.298828,0.481712,0.000000,0.000000,0.654215,0.000000,0.227848,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4,15404.762695,0.075069,0.000000,0.000000,0.071235,0.000000,0.190672,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,5,9706.602539,0.291229,0.000000,0.000000,0.449941,0.000000,0.211009,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,15754.926758,0.036926,0.000000,0.000000,0.080775,0.000000,0.040435,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,7,13108.004883,0.286519,0.000000,0.000000,0.499145,0.000000,0.122677,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,8,13364.856445,0.167578,0.000000,0.000000,0.317896,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,9,10628.129883,0.309496,0.000000,0.000000,0.489335,0.000000,0.172166,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,10,16169.548828,0.055842,0.000000,0.000000,0.103637,0.000000,0.107679,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,12739.783838,0.224481,0.000000,0.000000,0.351733,0.000000,0.134019,0.000000,0.000000,0.000000,0,,N/A,N/A,291.77,N/A,N/A,N/A,N/A,N/A,N/A,0
