round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.567034,0.530081,0.595996,0.742685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.669331,0.451496,0.108686,0.797009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.614668,0.244959,0.344880,0.706587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.642751,0.384052,0.521674,0.664441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.673958,0.377423,0.489097,0.668792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.724164,0.303171,0.227795,0.754693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.813826,0.271377,0.427740,0.525781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.425010,0.660419,0.823440,0.628067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.905595,0.167328,0.326818,0.037037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.541988,0.503284,0.674744,0.659892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.657833,0.389359,0.454087,0.618498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,N/A,N/A,300.48,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.361691,0.958096,0.946095,0.994458,0.997403,0.333333,0.671053,0.995090,0.835556,0.432432,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.370414,0.952176,0.707602,0.991397,0.991517,0.642857,0.714932,0.988818,0.909091,0.095238,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.519410,0.897469,0.837209,0.994595,1.000000,0.482759,0.325926,0.990702,0.897133,0.789474,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.517433,0.897845,0.897246,0.993311,0.997904,0.596639,0.748414,0.990207,0.838095,0.076923,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.421985,0.936696,0.905604,0.993687,0.999094,0.538462,0.625899,0.994709,0.880664,0.157895,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.463416,0.902526,0.725429,0.994878,0.998526,0.553191,0.797608,0.985283,0.783047,0.086957,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.427361,0.924026,0.864845,0.996237,0.999096,0.500000,0.784121,0.736842,0.624031,0.583333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.400258,0.953053,0.969556,0.987899,0.998542,0.500000,0.596623,0.991085,0.563380,0.712329,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.821768,0.770024,0.677138,0.800000,1.000000,0.605911,0.725926,0.250000,0.838889,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
