round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.574878,0.558056,0.677895,0.454333,0.000000,0.000000,0.000000,0.000000,0.813022,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.770550,0.318958,0.522167,0.483799,0.000000,0.000000,0.000000,0.000000,0.116505,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.741933,0.376356,0.286055,0.533777,0.000000,0.000000,0.000000,0.000000,0.793651,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.570811,0.597858,0.870557,0.215311,0.000000,0.000000,0.000000,0.000000,0.826636,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.783036,0.198183,0.470406,0.110919,0.000000,0.000000,0.000000,0.000000,0.376471,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.636595,0.644858,0.917130,0.688418,0.000000,0.000000,0.000000,0.000000,0.506739,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.655457,0.408470,0.777407,0.056614,0.000000,0.000000,0.000000,0.000000,0.734824,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.568352,0.790247,0.756803,0.952567,0.000000,0.000000,0.000000,0.000000,0.816630,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.758400,0.218424,0.358818,0.171761,0.000000,0.000000,0.000000,0.000000,0.595388,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.670553,0.511275,0.361783,0.935558,0.000000,0.000000,0.000000,0.000000,0.393958,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.673056,0.462269,0.599902,0.460306,0.000000,0.000000,0.000000,0.000000,0.597382,0.000000,0,,N/A,N/A,298.84,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.759677,0.825179,0.826342,0.985646,0.995349,0.000000,0.132597,0.981422,0.808208,0.700000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.579382,0.892183,0.733154,0.995708,0.999104,0.000000,0.165939,0.975000,0.115385,0.838710,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.587130,0.895997,0.619718,0.991708,0.998897,0.742729,0.104046,0.962069,0.844444,0.437500,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.705275,0.864343,0.846813,0.994681,0.999214,0.384252,0.461538,0.950249,0.842164,0.400000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.561538,0.931462,0.828547,0.990291,0.999668,0.277512,0.000000,0.977848,0.395349,0.829268,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.616779,0.911691,0.863552,0.991705,0.994775,0.365422,0.266667,0.880000,0.477108,0.100000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.662458,0.876366,0.850833,0.991304,0.998824,0.411765,0.216867,0.980747,0.761006,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.703682,0.855611,0.809606,0.989330,0.640777,0.049689,0.156740,0.968037,0.824768,0.550725,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.749377,0.770568,0.675862,0.992481,0.999082,0.630542,0.147139,0.972578,0.650759,0.285714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
