round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.933342,0.135289,0.435429,0.000000,0.000000,0.000865,0.000000,0.000000,0.492958,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,2.089938,0.083182,0.089015,0.000000,0.000000,0.105023,0.000000,0.000000,0.743169,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.785070,0.358215,0.392786,0.000000,0.000000,0.033510,0.000000,0.000000,0.754717,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.808306,0.263362,0.492003,0.000000,0.000000,0.195626,0.000000,0.000000,0.593458,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.834935,0.191971,0.457364,0.000000,0.000000,0.025685,0.000000,0.000000,0.699346,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.922855,0.099624,0.312810,0.000000,0.000000,0.015041,0.001587,0.000000,0.586074,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.809459,0.088870,0.500495,0.000000,0.000000,0.002045,0.000000,0.000000,0.373089,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.740292,0.265912,0.551137,0.000000,0.000000,0.014344,0.000000,0.000000,0.093923,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.642303,0.373513,0.506410,0.000000,0.000000,0.435060,0.000000,0.000000,0.638070,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.751183,0.290945,0.536862,0.000000,0.000000,0.056698,0.000000,0.000000,0.706122,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.831768,0.215088,0.427431,0.000000,0.000000,0.088390,0.000159,0.000000,0.568093,0.000000,0,,N/A,N/A,305.03,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.448932,0.952110,0.943354,0.997236,0.998270,0.285714,0.615385,0.995106,0.727273,0.444444,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.420826,0.957389,0.722892,0.994473,0.990584,0.711864,0.687179,0.988836,0.885496,0.130435,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.499094,0.910768,0.857724,0.997290,1.000000,0.742857,0.270677,0.994924,0.918033,0.606061,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.526451,0.889224,0.900826,0.996667,0.997904,0.671937,0.671171,0.993464,0.766949,0.083333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.471520,0.939441,0.915663,0.996668,0.998792,0.658824,0.562963,0.997347,0.888889,0.142857,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.522993,0.887475,0.774359,0.996993,0.998526,0.588235,0.733075,0.991493,0.683292,0.125000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.499392,0.907485,0.884811,0.997178,0.999096,0.428571,0.720000,0.666667,0.474860,0.565217,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.485216,0.940249,0.962579,0.996700,0.998542,0.619048,0.519774,0.996299,0.273973,0.716418,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.718227,0.771610,0.694698,1.000000,1.000000,0.710407,0.669439,0.285714,0.766990,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.490245,0.935522,0.941981,0.995544,0.997370,0.740260,0.410256,0.993730,0.892144,0.320000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.508290,0.909127,0.859889,0.996875,0.997908,0.615772,0.585992,0.890358,0.727790,0.363377,0,,N/A,N/A,302.50,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,0.298074,0.939539,0.916760,0.993661,0.995678,0.019417,0.687259,0.991763,0.859813,0.550000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.252260,0.962375,0.790541,0.989466,0.985942,0.886544,0.702703,0.995161,0.905149,0.089552,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.453301,0.881167,0.824825,0.997290,0.989474,0.417582,0.258993,0.988034,0.886868,0.800000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.372174,0.896983,0.897236,0.991625,0.997904,0.723618,0.713936,0.993421,0.831296,0.074074,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.336597,0.923486,0.884259,0.992190,0.997886,0.362869,0.620123,0.996005,0.877986,0.142857,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.403208,0.876366,0.683115,0.993969,0.997545,0.267857,0.727977,0.981904,0.812095,0.160000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.344703,0.899916,0.825874,0.997175,0.998644,0.048980,0.733270,1.000000,0.681514,0.680000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.340104,0.917610,0.938880,0.992248,0.998542,0.124646,0.676123,0.989537,0.677966,0.775000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,9,0.470542,0.836638,0.736634,1.000000,1.000000,0.859589,0.719298,1.000000,0.843931,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,10,0.357762,0.916816,0.918242,0.992980,0.997370,0.466125,0.551724,0.990446,0.878014,0.275862,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,MEAN,0.362873,0.905090,0.841637,0.994060,0.995898,0.417723,0.639141,0.992627,0.825463,0.409280,0,,N/A,N/A,295.98,N/A,N/A,N/A,N/A,N/A,N/A,0
4,1,0.231016,0.939539,0.899941,0.998423,0.997412,0.014184,0.823944,0.993421,0.867580,0.846154,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,2,0.146748,0.973481,0.849421,0.994665,0.985019,0.916230,0.775701,0.994350,0.917333,0.153846,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,3,0.359333,0.894037,0.871622,0.997290,1.000000,0.370370,0.278075,0.990622,0.912320,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4,0.299990,0.914224,0.905689,0.994992,0.995816,0.748768,0.824786,0.994524,0.865385,0.083333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,5,0.257666,0.928976,0.887785,0.996668,0.998189,0.339100,0.700000,0.997340,0.902532,0.222222,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,6,0.280225,0.919190,0.755120,0.996993,0.998037,0.496000,0.844483,0.985893,0.828810,0.285714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,7,0.254847,0.925988,0.837718,0.998119,0.999096,0.063830,0.858738,1.000000,0.719298,0.739130,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,8,0.328047,0.900167,0.916818,0.997797,0.998542,0.092369,0.844444,0.992548,0.677966,0.794872,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,9,0.360116,0.891356,0.822727,1.000000,1.000000,0.925734,0.828516,1.000000,0.861190,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,10,0.308902,0.909453,0.912997,0.995544,0.996845,0.393939,0.557823,0.993651,0.901526,0.320000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,MEAN,0.282689,0.919641,0.865984,0.997049,0.996896,0.436053,0.733651,0.994235,0.845394,0.481124,0,,N/A,N/A,287.15,N/A,N/A,N/A,N/A,N/A,N/A,0
5,1,0.194649,0.948818,0.920231,0.995650,0.996546,0.024390,0.792683,0.996721,0.872038,0.647059,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,2,0.130966,0.972348,0.848249,0.993130,0.985942,0.928382,0.796460,0.995161,0.910569,0.125000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,3,0.349750,0.888460,0.865385,0.997290,1.000000,0.519481,0.274510,0.994907,0.889393,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,4,0.260622,0.924569,0.922851,0.994992,0.997904,0.829670,0.813492,0.996721,0.850633,0.080000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,5,0.234735,0.931721,0.898949,0.994807,0.998189,0.471154,0.677019,0.998672,0.882238,0.187500,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,6,0.249472,0.928328,0.777480,0.995786,0.998037,0.626263,0.866274,0.990640,0.832230,0.222222,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,7,0.219095,0.936361,0.860258,0.997175,0.999096,0.108108,0.867816,1.000000,0.726841,0.708333,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,8,0.271990,0.917239,0.931315,0.995585,0.998542,0.140244,0.737794,0.994048,0.769231,0.784810,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,9,0.330178,0.895321,0.824053,1.000000,1.000000,0.940141,0.836773,1.000000,0.856305,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,10,0.274512,0.914229,0.921859,0.994264,0.996845,0.509915,0.483871,0.995246,0.883523,0.296296,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,MEAN,0.251597,0.925739,0.877063,0.995868,0.997110,0.509775,0.714669,0.996212,0.847300,0.441719,0,,N/A,N/A,296.25,N/A,N/A,N/A,N/A,N/A,N/A,0
6,1,0.164336,0.961389,0.950893,0.993661,0.996552,0.047619,0.787456,0.998363,0.855895,0.594595,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,2,0.122723,0.974388,0.855072,0.991783,0.986916,0.943396,0.848485,0.998392,0.921053,0.115385,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,3,0.282093,0.925783,0.880977,0.997290,1.000000,0.701754,0.442478,0.996610,0.924932,0.820513,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,4,0.231015,0.941379,0.944248,0.994992,0.997904,0.907463,0.834821,0.996721,0.863208,0.080000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,5,0.200506,0.952307,0.926242,0.992939,0.998191,0.640523,0.759843,0.998672,0.917589,0.171429,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,6,0.262298,0.923311,0.778523,0.994878,0.998037,0.775000,0.842438,0.993779,0.822948,0.190476,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,7,0.218949,0.939725,0.889231,0.997175,0.999247,0.260870,0.844212,1.000000,0.688000,0.723404,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,8,0.213557,0.955094,0.967924,0.993363,0.998542,0.312925,0.748414,0.994796,0.615385,0.765432,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,9,0.324764,0.901665,0.837500,1.000000,1.000000,0.962298,0.832990,1.000000,0.856369,0.545455,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,10,0.218492,0.951045,0.953412,0.992980,0.996845,0.722222,0.683983,0.998420,0.914676,0.275862,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,MEAN,0.223873,0.942609,0.898402,0.994906,0.997223,0.627407,0.762512,0.997575,0.838005,0.428255,0,,N/A,N/A,294.08,N/A,N/A,N/A,N/A,N/A,N/A,0
