round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.685304,0.290632,0.521090,0.000000,0.000000,0.000000,0.232558,0.025237,0.459459,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.795754,0.056890,0.070069,0.000000,0.000000,0.032931,0.187500,0.052067,0.542125,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.647997,0.354354,0.432046,0.000000,0.000000,0.022472,0.034483,0.055738,0.527506,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.653606,0.356034,0.550298,0.000000,0.000000,0.067416,0.218667,0.054280,0.456140,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.743547,0.275347,0.529958,0.000000,0.000000,0.004430,0.139037,0.040921,0.520070,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.769170,0.151586,0.218574,0.000000,0.000000,0.001748,0.200000,0.070692,0.544361,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.830223,0.204514,0.522865,0.000000,0.000000,0.000000,0.234528,0.111111,0.455172,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.506399,0.614585,0.829237,0.000000,0.000000,0.002604,0.290541,0.051724,0.647059,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.807859,0.262490,0.445629,0.000000,0.000000,0.049917,0.172840,0.000000,0.549618,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.622550,0.455721,0.721796,0.000000,0.000000,0.009050,0.100890,0.072727,0.527410,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.706241,0.302215,0.484156,0.000000,0.000000,0.019057,0.181104,0.053450,0.522892,0.000000,0,,N/A,N/A,296.95,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.421824,0.943729,0.944196,0.992880,0.994783,0.400000,0.634518,0.995106,0.530864,0.315789,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.391990,0.927017,0.739812,0.991012,0.993340,0.460317,0.495627,0.988889,0.602007,0.084507,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.609980,0.731017,0.867495,0.983957,0.978723,0.307692,0.096886,0.994958,0.601429,0.588235,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.554246,0.856897,0.908587,0.993311,0.991561,0.470588,0.648986,0.988134,0.525974,0.074074,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.506755,0.880082,0.908033,0.992945,0.996059,0.415584,0.436364,0.993395,0.605070,0.095238,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.491806,0.896614,0.753551,0.994575,0.998031,0.425532,0.805195,0.990783,0.600858,0.076923,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.497919,0.931034,0.879411,0.995769,0.995917,0.148148,0.830709,0.666667,0.512987,0.490566,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.483697,0.945816,0.960327,0.984649,0.997812,0.363636,0.613003,0.997050,0.578947,0.657143,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
