round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.472304,0.549902,0.397913,0.181159,0.000000,0.000000,0.000000,0.791625,0.581179,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.919132,0.156783,0.362140,0.234584,0.000000,0.000000,0.000000,0.217892,0.055556,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.794821,0.320239,0.262626,0.243691,0.000000,0.000000,0.000000,0.415658,0.675206,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.639292,0.325493,0.361100,0.112442,0.000000,0.000000,0.000000,0.294205,0.535888,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.697303,0.409304,0.376238,0.050833,0.000000,0.000000,0.000000,0.785018,0.073434,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.792678,0.208449,0.378685,0.349867,0.000000,0.000000,0.000000,0.016440,0.133085,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.711972,0.278689,0.386113,0.027823,0.000000,0.000000,0.000000,0.496637,0.416143,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.611131,0.432432,0.365555,0.459595,0.000000,0.000000,0.000000,0.316498,0.606266,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.765394,0.295481,0.352113,0.096280,0.000000,0.000000,0.000000,0.600868,0.422018,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.787446,0.202178,0.304348,0.455086,0.000000,0.000000,0.000000,0.001466,0.250599,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.719147,0.317895,0.354683,0.221136,0.000000,0.000000,0.000000,0.393631,0.374937,0.000000,0,,N/A,N/A,293.45,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.618336,0.831050,0.820944,0.995261,1.000000,0.000000,0.187234,0.970660,0.759366,0.761905,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.448796,0.896226,0.742515,0.998288,0.998653,0.000000,0.265060,0.907749,0.086331,0.823529,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.460020,0.904227,0.684825,0.994210,0.996681,0.841026,0.146597,0.955810,0.827014,0.444444,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.635124,0.852373,0.828099,1.000000,0.999213,0.617414,0.000000,0.895928,0.764764,0.322581,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
