round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.778391,0.601074,0.773189,0.608696,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.795306,0.495780,0.792142,0.641026,0.998331,0.038948,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.762052,0.741727,0.238938,0.915595,0.997386,0.341353,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.755505,0.450069,0.757849,0.859599,0.993711,0.037135,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.729711,0.720254,0.256927,0.926775,0.994792,0.178161,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.972432,0.280593,0.585248,0.928416,0.979866,0.038925,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.700446,0.713481,0.768977,0.888377,0.997268,0.209102,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.952411,0.377734,0.767981,0.860927,1.000000,0.091178,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.665375,0.798837,0.644670,0.935909,0.995789,0.047244,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.672382,0.712814,0.724870,0.934407,0.982143,0.208140,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.778401,0.589236,0.631079,0.849973,0.993928,0.119019,0.000000,0.000000,0.000000,0.000000,0,7,0.5000,N/A,305.63,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.791057,0.713190,0.788066,0.947368,0.998735,0.000000,0.441160,0.728298,0.000000,0.333333,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,1.089081,0.617428,0.800966,0.967742,1.000000,0.056818,0.313152,0.731849,0.000000,0.437500,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.447866,0.891018,0.688889,0.998417,0.999214,0.519451,0.495146,0.734694,0.000000,0.344828,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,1.049845,0.591598,0.778637,0.994413,0.987342,0.049383,0.476596,0.721030,0.000000,0.764706,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.494296,0.863181,0.679245,0.998158,0.996510,0.284404,0.409910,0.736999,0.000000,0.484848,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,1.651385,0.318592,0.598015,0.998964,0.993197,0.061916,0.069299,0.745098,0.000000,0.500000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.718007,0.785205,0.792824,0.997792,0.999316,0.249267,0.418440,0.765957,0.000000,0.866667,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.940459,0.680078,0.806183,1.000000,1.000000,0.171301,0.086957,0.738776,0.000000,0.793103,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
