round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.539488,0.658485,0.729317,0.802342,0.339080,0.000000,0.000000,0.000000,0.147541,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.633644,0.607888,0.164295,0.884497,0.341693,0.000000,0.000000,0.000000,0.067961,0.000000,0,0,1,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.624450,0.288717,0.361388,0.807786,0.153846,0.000000,0.000000,0.000000,0.097371,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.639773,0.443534,0.561005,0.702290,0.346021,0.000000,0.000000,0.000000,0.095238,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.620725,0.493395,0.605739,0.627692,0.349776,0.000000,0.000000,0.000000,0.100559,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.691112,0.403154,0.279954,0.763510,0.323166,0.000000,0.000000,0.000000,0.110020,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.727701,0.407205,0.604187,0.416130,0.352766,0.000000,0.000000,0.000000,0.103004,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.434471,0.703284,0.863618,0.569855,0.328867,0.000000,0.000000,0.000000,0.160000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.834049,0.226011,0.367958,0.015444,0.351955,0.000000,0.000000,0.000000,0.109453,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.513751,0.586667,0.749716,0.636523,0.350999,0.000000,0.000000,0.000000,0.107448,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
