round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.460375,0.677941,0.729317,0.824561,0.478947,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.549927,0.631913,0.166339,0.903924,0.540690,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.658857,0.273702,0.354460,0.839196,0.545455,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.625541,0.453879,0.558966,0.738502,0.501567,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.590374,0.528736,0.601101,0.673730,0.522748,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.659607,0.426984,0.278430,0.797031,0.501105,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.704954,0.477993,0.601937,0.472109,0.534863,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.369866,0.724253,0.863964,0.622222,0.524731,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.894866,0.255353,0.363478,0.018957,0.546798,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.480124,0.603383,0.744352,0.676525,0.507862,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.599449,0.505414,0.526234,0.656676,0.520477,0.000000,0.000000,0.000000,0.000000,0.000000,0,7,0.0000,N/A,307.72,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.329533,0.958096,0.944690,0.994868,0.996540,1.000000,0.668750,0.990196,0.850679,0.400000,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.376354,0.937897,0.653951,0.993706,0.986867,0.224299,0.579926,0.990307,0.887139,0.130435,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.540203,0.888460,0.833819,0.981333,1.000000,0.000000,0.305732,0.992353,0.892897,0.606061,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.557332,0.877155,0.893217,0.994992,0.997904,0.213904,0.689655,0.994547,0.834906,0.080000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.397911,0.932922,0.902079,0.994065,0.998491,0.203390,0.611018,0.986702,0.882767,0.121212,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.442900,0.907185,0.730586,0.995483,0.998037,0.222222,0.813088,0.986025,0.795455,0.111111,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.382700,0.927390,0.870919,0.995769,0.998945,0.000000,0.797557,0.451613,0.647887,0.590909,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.379584,0.948228,0.964431,0.985792,0.998542,0.222222,0.594783,0.990335,0.606061,0.676471,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.978751,0.689929,0.641766,0.800000,1.000000,0.174194,0.633600,0.666667,0.816438,0.500000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.435147,0.924577,0.935958,0.994904,0.997370,0.153846,0.428954,0.992101,0.885315,0.307692,0,1,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.482042,0.899184,0.837142,0.973091,0.997270,0.241408,0.612306,0.904085,0.809954,0.352389,0,7,0.0000,N/A,300.48,N/A,N/A,N/A,N/A,N/A,N/A,0
