round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM,norm_guard_rejected,krum_selected,krum_detected_byzantine,dp_epsilon_spent_cumulative,round_time_s,dp_full_run_target_epsilon,dp_per_round_target_epsilon_deprecated,dp_noise_multiplier,krum_scores_byzantine_mean,krum_scores_honest_mean,krum_score_ratio,nan_this_round
1,1,1.611758,0.459230,0.536867,0.444444,0.000000,0.000000,0.000000,0.000000,0.659534,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,1.838641,0.301438,0.396522,0.487826,0.000000,0.000000,0.000000,0.000000,0.075472,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,3,1.803155,0.374111,0.230272,0.538682,0.000000,0.000000,0.000000,0.000000,0.751082,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,4,1.565969,0.472491,0.692654,0.213768,0.000000,0.000000,0.000000,0.000000,0.622060,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,5,1.929943,0.142307,0.340336,0.110017,0.000000,0.000000,0.000000,0.000000,0.113333,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,6,1.644994,0.558163,0.724238,0.692057,0.000000,0.000000,0.000000,0.000000,0.201566,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,7,1.699335,0.309426,0.608414,0.056924,0.000000,0.000000,0.000000,0.000000,0.504467,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,8,1.551183,0.719448,0.582285,0.955812,0.000000,0.000000,0.000000,0.000000,0.680707,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,9,1.837296,0.196987,0.282139,0.178624,0.000000,0.000000,0.000000,0.000000,0.528109,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,10,1.657346,0.491180,0.273876,0.941131,0.000000,0.000000,0.000000,0.000000,0.339312,0.000000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,MEAN,1.713962,0.402478,0.466760,0.461929,0.000000,0.000000,0.000000,0.000000,0.447564,0.000000,0,,N/A,N/A,294.31,N/A,N/A,N/A,N/A,N/A,N/A,0
2,1,0.707016,0.893999,0.917113,1.000000,1.000000,0.000000,0.277778,0.984026,0.870017,0.777778,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,0.677669,0.910602,0.785894,1.000000,0.998653,0.000000,0.296000,0.979253,0.126316,0.838710,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,3,0.651284,0.909839,0.690476,0.999177,0.998895,0.820896,0.212766,0.963731,0.846641,0.518519,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,4,0.707008,0.931121,0.936388,1.000000,1.000000,0.556845,0.193548,0.952618,0.911125,0.370370,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,5,0.666953,0.965043,0.943063,0.995215,0.999004,0.432836,0.170213,0.981474,0.820513,0.761905,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,6,0.601323,0.963474,0.949260,0.998795,0.999737,0.543284,0.333333,0.880000,0.791837,0.142857,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,7,0.721375,0.924863,0.924258,1.000000,0.999117,0.575668,0.296296,0.983051,0.850962,0.482759,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,8,0.594916,0.911281,0.900787,0.999654,1.000000,0.092664,0.264865,0.972727,0.871115,0.808511,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,9,0.814786,0.793743,0.692464,1.000000,1.000000,0.715976,0.260652,0.974453,0.668182,0.285714,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,10,0.870939,0.642890,0.539713,0.998668,0.995885,0.278768,0.290968,0.235294,0.395224,0.585366,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,MEAN,0.701327,0.884685,0.827942,0.999151,0.999129,0.401694,0.259642,0.890663,0.715193,0.557249,0,,N/A,N/A,308.45,N/A,N/A,N/A,N/A,N/A,N/A,0
3,1,0.409229,0.896934,0.914123,1.000000,0.997658,0.019417,0.337778,0.985951,0.872435,0.761905,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,2,0.300772,0.917341,0.803030,0.998288,0.996851,0.000000,0.401515,0.983471,0.134831,0.736842,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,3,0.319095,0.918070,0.686391,0.996700,0.996126,0.903553,0.376147,0.977233,0.849741,0.470588,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,4,0.360457,0.937421,0.937063,1.000000,0.999213,0.655660,0.187500,0.982005,0.915876,0.322581,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,5,0.267280,0.964217,0.943063,0.995169,0.995668,0.511278,0.117647,0.983839,0.888889,0.629630,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,6,0.256944,0.966994,0.955556,0.997990,0.997895,0.568966,0.520548,0.977778,0.878505,0.100000,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,7,0.340647,0.930556,0.926862,1.000000,0.997643,0.618497,0.443350,0.989738,0.866005,0.411765,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,8,0.338593,0.915687,0.902407,0.997571,0.985075,0.111628,0.366834,0.975521,0.876048,0.666667,0,0,0,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A
